,time,open,high,low,close,volume
0,1775645700000,2245.99,2246.18,2244.17,2244.41,346.18
1,1775645760000,2244.41,2244.41,2243.36,2243.89,313.24
2,1775645820000,2243.89,2243.89,2243.2,2243.64,521.52
3,1775645880000,2243.64,2243.64,2242.61,2242.99,433.32
4,1775645940000,2242.99,2243.05,2240.41,2241.51,2373.37
5,1775646000000,2241.51,2242.47,2240.32,2241.54,1548.85
6,1775646060000,2241.54,2242.21,2240.1,2241.87,636.43
7,1775646120000,2241.87,2242.99,2240.96,2242.97,1135.17
8,1775646180000,2242.97,2243.88,2242.84,2243.28,391.44
9,1775646240000,2243.28,2243.72,2242.75,2242.87,400.32
10,1775646300000,2242.87,2243.78,2242.78,2243.78,421.46
11,1775646360000,2243.78,2243.78,2243.11,2243.39,190.53
12,1775646420000,2243.39,2243.6,2242.57,2242.87,146.49
13,1775646480000,2242.87,2243.73,2242.87,2243.17,158.36
14,1775646540000,2243.17,2244.75,2243.13,2244.4,3368.49
15,1775646600000,2244.4,2246.02,2244.39,2245.55,626.01
16,1775646660000,2245.55,2245.75,2244.69,2244.7,242.23
17,1775646720000,2244.7,2245.98,2244.7,2245.85,125.2
18,1775646780000,2245.85,2247.82,2245.76,2247.82,185.86
19,1775646840000,2247.82,2248.69,2246.94,2247.08,519.22
20,1775646900000,2247.08,2248.44,2247.08,2248.16,597.36
21,1775646960000,2248.16,2248.95,2247.42,2248.54,334.8
22,1775647020000,2248.54,2248.64,2247.41,2247.65,441.46
23,1775647080000,2247.65,2247.65,2246.51,2247.16,166.86
24,1775647140000,2247.16,2247.74,2246.85,2247.54,169.15
25,1775647200000,2247.54,2247.66,2247.4,2247.41,78.25
26,1775647260000,2247.41,2247.53,2244.78,2245.06,1751.08
27,1775647320000,2245.06,2245.5,2243.22,2245.5,781.57
28,1775647380000,2245.5,2247.08,2244.99,2246.48,728.8
29,1775647440000,2246.48,2247.96,2246.48,2247.94,111.87
30,1775647500000,2247.94,2251.69,2247.94,2250.21,6579.16
31,1775647560000,2250.21,2251.37,2250.05,2250.94,613.61
32,1775647620000,2250.94,2251.45,2249.9,2251.23,779.47
33,1775647680000,2251.23,2252.1,2250.59,2250.84,652.48
34,1775647740000,2250.84,2254.49,2250.23,2252.59,2882.66
35,1775647800000,2252.59,2252.59,2250.25,2250.91,688.79
36,1775647860000,2250.91,2251.14,2250.34,2251.14,359.8
37,1775647920000,2251.14,2252.26,2249.73,2249.94,392.38
38,1775647980000,2249.94,2250.5,2249.43,2250.33,213.91
39,1775648040000,2250.33,2251.99,2250.33,2251.93,142.78
40,1775648100000,2251.93,2251.93,2249.84,2250.04,209.05
41,1775648160000,2250.04,2250.08,2242.68,2242.88,3298.39
