time,open,high,low,close,volume
1778362200000,2329.41,2329.63,2328.3,2328.3,216.35
1778362500000,2328.3,2328.44,2327.85,2327.9,453.01
1778362800000,2327.9,2329.74,2327.87,2328.58,676.53
1778363100000,2328.58,2329.5,2327.57,2329.49,267.51
1778363400000,2329.49,2330.56,2328.81,2329.72,1197.98
1778363700000,2329.72,2330.5,2329.54,2329.78,482.26
1778364000000,2329.78,2330.5,2328.85,2330.04,500.55
1778364300000,2330.04,2330.37,2328.13,2328.72,235.12
1778364600000,2328.72,2329.56,2328.41,2329.0,146.78
1778364900000,2329.0,2330.8,2328.87,2330.05,570.9
1778365200000,2330.05,2331.12,2329.57,2330.13,1233.51
1778365500000,2330.13,2330.36,2329.66,2329.66,249.17
1778365800000,2329.66,2330.0,2325.89,2330.0,1176.06
1778366100000,2330.0,2330.59,2329.0,2330.54,268.64
1778366400000,2330.54,2332.6,2330.14,2331.51,1006.26
1778366700000,2331.51,2332.0,2330.14,2330.14,410.01
1778367000000,2330.14,2330.91,2329.19,2329.19,279.5
1778367300000,2329.19,2329.84,2328.29,2328.85,231.36
1778367600000,2328.85,2330.8,2327.87,2329.06,787.78
1778367900000,2329.06,2329.64,2326.59,2327.14,586.53
1778368200000,2327.14,2327.83,2326.23,2327.18,470.58
1778368500000,2327.18,2327.3,2326.07,2326.19,522.59
1778368800000,2326.19,2326.19,2325.37,2325.54,407.72
1778369100000,2325.54,2325.96,2324.04,2325.11,839.64
1778369400000,2325.11,2325.56,2323.8,2325.2,754.18
1778369700000,2325.2,2326.2,2324.17,2324.17,271.19
1778370000000,2324.17,2324.17,2323.37,2323.98,484.91
1778370300000,2323.98,2327.06,2323.91,2327.01,488.72
1778370600000,2327.01,2327.27,2326.05,2326.82,345.97
1778370900000,2326.82,2326.83,2325.21,2325.21,206.24
1778371200000,2325.21,2327.06,2323.54,2323.64,1909.16
1778371500000,2323.64,2324.84,2322.62,2324.54,1815.41
1778371800000,2324.54,2326.88,2324.48,2325.93,1020.77
1778372100000,2325.93,2327.2,2325.51,2327.2,406.72
1778372400000,2327.2,2328.77,2326.87,2326.87,684.62
1778372700000,2326.87,2327.31,2325.87,2326.23,237.27
1778373000000,2326.23,2327.59,2324.4,2327.59,851.93
1778373300000,2327.59,2327.71,2324.84,2326.14,949.76
1778373600000,2326.14,2327.17,2325.05,2325.96,1021.87
1778373900000,2325.96,2326.42,2323.8,2324.86,594.46
1778374200000,2324.86,2324.86,2322.9,2323.38,502.47
1778374500000,2323.38,2323.67,2319.64,2322.73,6028.26
1778374800000,2322.73,2322.75,2320.0,2321.57,2393.44
1778375100000,2321.57,2321.81,2320.04,2321.55,2255.08
1778375400000,2321.55,2321.88,2320.24,2321.24,670.9
1778375700000,2321.24,2323.33,2320.2,2321.18,988.36
1778376000000,2321.18,2322.23,2318.09,2319.47,2152.25
1778376300000,2319.47,2319.8,2317.79,2318.83,1542.88
