time,open,high,low,close,volume
1764273600000,2.2227,2.233,2.1936,2.1989,28117244.5
1764288000000,2.1989,2.2036,2.1653,2.1846,32873610.7
1764302400000,2.1846,2.2216,2.1798,2.1958,31938940.2
1764316800000,2.1958,2.2491,2.1838,2.1951,65718548.9
1764331200000,2.1951,2.2748,2.1873,2.2444,101294000.3
1764345600000,2.2444,2.2511,2.1543,2.1862,91759801.9
1764360000000,2.1862,2.191,2.1715,2.1782,30673910.2
1764374400000,2.1782,2.1868,2.1709,2.1845,19901707.0
1764388800000,2.1845,2.1888,2.1636,2.1788,23444540.1
1764403200000,2.1788,2.2142,2.1726,2.2104,29159404.9
1764417600000,2.2104,2.2225,2.1909,2.2172,48600750.3
1764432000000,2.2172,2.2211,2.188,2.1927,37465537.2
1764446400000,2.1927,2.2139,2.1858,2.1997,18481572.0
1764460800000,2.1997,2.2117,2.1869,2.2052,18478208.2
1764475200000,2.2052,2.2082,2.1897,2.1979,13605740.5
1764489600000,2.1979,2.2086,2.1812,2.187,28554336.1
1764504000000,2.187,2.208,2.1832,2.1954,29940301.9
1764518400000,2.1954,2.2145,2.1936,2.1984,21285282.3
1764532800000,2.1984,2.2023,2.1502,2.1537,42015666.5
1764547200000,2.1537,2.1595,2.0403,2.0491,157302724.9
1764561600000,2.0491,2.0578,2.0156,2.0552,58558624.1
1764576000000,2.0552,2.0592,2.0295,2.033,36820298.8
1764590400000,2.033,2.0479,1.9825,2.0064,117596027.0
1764604800000,2.0064,2.0117,1.9854,1.9937,59683082.3
1764619200000,1.9937,2.0435,1.993,2.0283,74409423.8
1764633600000,2.0283,2.0429,2.001,2.0198,40139230.7
1764648000000,2.0198,2.027,2.0083,2.0162,24379253.8
1764662400000,2.0162,2.04,1.994,2.0355,40462749.3
1764676800000,2.0355,2.1644,2.025,2.1541,132933341.1
1764691200000,2.1541,2.1829,2.134,2.1734,70577863.0
1764705600000,2.1734,2.1773,2.147,2.1525,53420194.4
1764720000000,2.1525,2.1905,2.141,2.1752,49107511.8
1764734400000,2.1752,2.2185,2.1716,2.1908,53059047.7
1764748800000,2.1908,2.1944,2.1656,2.1755,31196022.7
1764763200000,2.1755,2.1985,2.1413,2.1681,72319625.2
1764777600000,2.1681,2.1923,2.1583,2.1854,28240126.0
1764792000000,2.1854,2.213,2.1805,2.1961,43314201.3
1764806400000,2.1961,2.2139,2.1854,2.1938,28488467.7
1764820800000,2.1938,2.1991,2.1641,2.1714,29258768.8
1764835200000,2.1714,2.1777,2.1416,2.1503,30746747.9
1764849600000,2.1503,2.1561,2.1126,2.1518,70452285.1
1764864000000,2.1518,2.157,2.0681,2.096,72645107.7
1764878400000,2.096,2.1091,2.0848,2.0949,51130425.8
1764892800000,2.0949,2.1119,2.0862,2.0898,21626623.2
1764907200000,2.0898,2.0976,2.0751,2.0918,23836363.2
1764921600000,2.0918,2.0924,2.0516,2.0675,38966308.7
1764936000000,2.0675,2.1008,2.0552,2.0747,61844852.4
1764950400000,2.0747,2.0767,2.011,2.0364,81357294.6
1764964800000,2.0364,2.037,2.0182,2.0334,21304801.1
1764979200000,2.0334,2.041,2.0161,2.0376,18186543.7
1764993600000,2.0376,2.0496,2.0264,2.029,17774758.4
1765008000000,2.029,2.032,2.0141,2.0307,16899480.2
1765022400000,2.0307,2.0464,2.0206,2.0285,23374552.0
1765036800000,2.0285,2.0378,2.0191,2.0241,16954807.8
1765051200000,2.0241,2.036,2.0216,2.0298,12522568.2
1765065600000,2.0298,2.071,2.0279,2.0671,25008747.5
1765080000000,2.0671,2.0727,2.0265,2.0297,27146952.3
1765094400000,2.0297,2.0347,2.0227,2.0324,18359757.3
1765108800000,2.0324,2.0551,1.988,2.0512,84493112.7
1765123200000,2.0512,2.1104,2.0366,2.0867,71532861.2
1765137600000,2.0867,2.093,2.0109,2.0425,61760880.7
1765152000000,2.0425,2.09,2.0306,2.0708,32198806.7
1765166400000,2.0708,2.0931,2.0684,2.0854,22050243.5
1765180800000,2.0854,2.1226,2.0797,2.0896,40502852.7
1765195200000,2.0896,2.1117,2.0673,2.075,63631032.3
1765209600000,2.075,2.0872,2.0614,2.0769,29186670.6
1765224000000,2.0769,2.093,2.0678,2.0712,23787999.3
1765238400000,2.0712,2.0813,2.0555,2.0688,23873978.6
1765252800000,2.0688,2.0692,2.0397,2.0605,22971418.6
1765267200000,2.0605,2.0698,2.0449,2.0681,19544695.6
1765281600000,2.0681,2.1194,2.0472,2.1149,70716165.5
1765296000000,2.1149,2.1776,2.1146,2.1323,110546335.1
1765310400000,2.1323,2.1334,2.0851,2.1054,47985093.0
1765324800000,2.1054,2.1091,2.08,2.0821,19368344.3
1765339200000,2.0821,2.0956,2.0748,2.0832,22398080.9
1765353600000,2.0832,2.0968,2.0622,2.0706,34764901.5
1765368000000,2.0706,2.0725,2.055,2.0604,39885186.9
1765382400000,2.0604,2.0867,2.035,2.0671,88753000.8
1765396800000,2.0671,2.1093,2.033,2.0404,72981797.4
1765411200000,2.0404,2.0455,1.9912,1.9981,61682241.1
