time,open,high,low,close,volume
1692316800000,0.506,0.523,0.4821,0.5058,1000333451.0
1692403200000,0.5058,0.5252,0.5004,0.5199,374302490.0
1692489600000,0.5199,0.5582,0.5158,0.5382,667812975.0
1692576000000,0.5382,0.5395,0.5009,0.524,640353944.0
1692662400000,0.524,0.5254,0.5021,0.5207,529121549.0
1692748800000,0.5207,0.5367,0.5152,0.5296,357626847.0
1692835200000,0.5296,0.5316,0.5103,0.5184,274744820.0
1692921600000,0.5184,0.5317,0.5075,0.5254,387693332.0
1693008000000,0.5254,0.5281,0.5177,0.523,141124040.0
1693094400000,0.523,0.5302,0.5161,0.5234,189908939.0
1693180800000,0.5234,0.5246,0.5099,0.5229,234280379.0
1693267200000,0.5229,0.5498,0.5129,0.5394,616392300.0
1693353600000,0.5394,0.5402,0.5211,0.5281,267185429.0
1693440000000,0.5281,0.5286,0.4948,0.5108,414991340.0
1693526400000,0.5108,0.5116,0.4862,0.4976,313407928.0
1693612800000,0.4976,0.5024,0.4939,0.4988,122058113.0
1693699200000,0.4988,0.5105,0.4969,0.5044,168118680.0
1693785600000,0.5044,0.5129,0.4963,0.5083,218017532.0
1693872000000,0.5083,0.5087,0.4988,0.5052,151670178.0
1693958400000,0.5052,0.5055,0.4904,0.5029,228743084.0
1694044800000,0.5029,0.5069,0.4964,0.5048,160544352.0
1694131200000,0.5048,0.5074,0.4938,0.5046,168971619.0
1694217600000,0.5046,0.5047,0.501,0.5035,64836765.0
1694304000000,0.5035,0.5036,0.4919,0.4966,178836498.0
1694390400000,0.4966,0.4979,0.4577,0.4741,619569570.0
1694476800000,0.4741,0.4867,0.4698,0.48,356246370.0
1694563200000,0.48,0.4896,0.4719,0.4829,312709294.0
1694649600000,0.4829,0.4939,0.4798,0.489,177788518.0
1694736000000,0.489,0.5085,0.4872,0.5002,281471675.0
1694822400000,0.5002,0.5032,0.4964,0.4994,108959851.0
1694908800000,0.4994,0.5,0.4886,0.4924,147595213.0
1694995200000,0.4924,0.5074,0.4864,0.5026,279938929.0
1695081600000,0.5026,0.5165,0.5001,0.5135,270387474.0
1695168000000,0.5135,0.5252,0.5062,0.5207,386120955.0
1695254400000,0.5207,0.5211,0.4998,0.5067,294299827.0
1695340800000,0.5067,0.5167,0.5033,0.5119,216998511.0
1695427200000,0.5119,0.5133,0.5052,0.5074,104133040.0
1695513600000,0.5074,0.5115,0.4975,0.5019,139256587.0
1695600000000,0.5019,0.5069,0.4911,0.5052,296617944.0
1695686400000,0.5052,0.5072,0.4954,0.5016,233651975.0
1695772800000,0.5016,0.5069,0.4967,0.4991,265888150.0
1695859200000,0.4991,0.5099,0.4948,0.5093,270377577.0
1695945600000,0.5093,0.5495,0.5058,0.5211,970970444.0
1696032000000,0.5211,0.5215,0.5126,0.5146,244126885.0
1696118400000,0.5146,0.5258,0.5133,0.5238,251416405.0
1696204800000,0.5238,0.5266,0.5035,0.5119,392469849.0
1696291200000,0.5119,0.5479,0.5046,0.5385,563555647.0
1696377600000,0.5385,0.5424,0.5183,0.5322,778202741.0
1696464000000,0.5322,0.5322,0.5151,0.5223,357286130.0
1696550400000,0.5223,0.5298,0.5167,0.5249,225811541.0
1696636800000,0.5249,0.5253,0.5193,0.5215,94940757.0
1696723200000,0.5215,0.5233,0.5151,0.5173,109719575.0
1696809600000,0.5173,0.5199,0.483,0.5023,469042810.0
1696896000000,0.5023,0.5024,0.4915,0.4963,235667320.0
1696982400000,0.4963,0.4976,0.4784,0.4885,332654392.0
1697068800000,0.4885,0.4885,0.4725,0.483,286280390.0
1697155200000,0.483,0.4904,0.4785,0.4848,219583290.0
1697241600000,0.4848,0.4881,0.4832,0.4862,83603750.0
1697328000000,0.4862,0.4902,0.4847,0.487,110227504.0
