,time,open,high,low,close,volume
0,1774806300000,1995.57,1996.03,1993.13,1994.01,4808.09
1,1774807200000,1994.01,1995.1,1990.67,1992.74,4225.83
2,1774808100000,1992.74,1995.14,1990.35,1992.65,4194.64
3,1774809000000,1992.65,2001.0,1992.11,1997.84,7129.47
4,1774809900000,1997.84,1998.27,1993.1,1996.34,11762.97
5,1774810800000,1996.34,1997.44,1995.14,1997.24,2197.31
6,1774811700000,1997.24,1999.27,1996.14,1996.92,2764.09
7,1774812600000,1996.92,1998.71,1993.04,1994.37,2059.03
8,1774813500000,1994.37,1996.3,1993.47,1994.82,2870.75
9,1774814400000,1994.82,1998.51,1994.61,1996.37,2626.75
10,1774815300000,1996.37,2009.76,1996.05,2005.25,16818.76
11,1774816200000,2005.25,2005.74,2000.7,2000.7,7924.67
12,1774817100000,2000.7,2001.9,1999.73,2001.3,2277.7
13,1774818000000,2001.3,2004.31,2000.47,2001.37,3676.65
14,1774818900000,2001.37,2004.59,2000.67,2003.34,2685.03
15,1774819800000,2003.34,2007.1,2002.87,2003.57,6579.73
16,1774820700000,2003.57,2006.29,2003.12,2005.62,3153.88
17,1774821600000,2005.62,2005.62,1986.5,1991.28,21020.38
18,1774822500000,1991.28,1997.28,1990.62,1993.49,8492.34
19,1774823400000,1993.49,1994.4,1962.63,1965.78,75594.9
20,1774824300000,1965.78,1976.43,1936.39,1972.74,107187.31
21,1774825200000,1972.74,1994.16,1972.35,1985.3,48677.99
22,1774826100000,1985.3,1993.71,1980.01,1982.27,18887.17
23,1774827000000,1982.27,1986.55,1977.2,1984.76,14378.35
24,1774827900000,1984.76,1990.73,1973.33,1983.52,20509.09
25,1774828800000,1983.52,1985.71,1978.92,1982.76,7858.86
26,1774829700000,1982.76,2023.3,1980.66,2006.76,84797.44
27,1774830600000,2006.76,2012.48,1993.65,1997.6,18390.6
28,1774831500000,1997.6,2001.0,1990.5,1996.37,25818.86
29,1774832400000,1996.37,2007.21,1996.1,2000.32,11589.63
30,1774833300000,2000.32,2010.95,1997.51,2006.55,9382.74
31,1774834200000,2006.55,2012.88,2004.91,2009.47,7750.67
32,1774835100000,2009.47,2016.3,2007.89,2009.87,14735.21
33,1774836000000,2009.87,2019.31,2007.62,2017.92,10045.23
34,1774836900000,2017.92,2021.4,2011.75,2013.67,6626.04
35,1774837800000,2013.67,2019.8,2003.67,2018.5,20465.98
36,1774838700000,2018.5,2042.95,2017.57,2029.15,91357.85
37,1774839600000,2029.15,2033.0,2026.55,2028.99,8371.52
38,1774840500000,2028.99,2039.35,2028.14,2037.24,12345.62
39,1774841400000,2037.24,2038.56,2032.76,2035.29,4985.28
40,1774842300000,2035.29,2041.75,2033.37,2035.31,5450.97
41,1774843200000,2035.31,2047.95,2035.24,2043.73,18912.87
42,1774844100000,2043.73,2052.89,2041.74,2046.24,18460.85
