strategy_id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,weight_MaxSharpe_MV_%,weight_MinVariance_MV_%,weight_MinCVaR_%,weight_MaxReturn_CVaRCap_%,weight_ScoreWeighted_%,weight_EqualWeight_%
fe8bdd19,bear,s13|s76|s51|s61|s100,5,0.035178,0.016497,29.1369,0.0,-16.0357,101,45.5446,24.6111,0.0,-5.9608,31,54.8387,0.151948,0.0,0.0832,0.0,0.0,1.9063,0.5376
6d642f4b,bear,s13|s76|s51|s72,4,0.033088,0.015565,33.3473,0.0,-9.4634,71,49.2958,15.7608,0.0,-8.4679,24,54.1667,0.096067,0.0,0.0832,0.0,0.0,1.2052,0.5376
029f8ff5,bear,s28|s86|s22|s25|s62,5,0.067931,0.016092,65.0217,0.0,-21.6256,67,34.3284,10.9864,0.0,-8.3734,23,30.4348,0.05066,0.001,0.0832,0.0,0.0,0.6356,0.5376
081de5df,bear,s100|s19|s51|s29|s22,5,0.044857,0.018277,52.0853,0.0,-20.6877,100,43.0,4.7759,0.0,-8.9541,34,38.2353,0.072724,0.0009,0.0832,0.0,0.0,0.9124,0.5376
8c0beff2,bear,s81|s50|s89|s13|s67,5,0.065502,0.016074,64.3352,0.0,-11.9098,46,39.1304,7.9477,0.0,-9.289,16,31.25,0.031256,0.0011,0.0832,0.0,0.0,0.3921,0.5376
63a663e2,bear,s28|s23|s101|s61,4,0.061372,0.016433,42.2696,0.0,-15.4589,67,34.3284,37.7486,0.0,-9.2426,21,47.619,0.111772,0.0005,0.0832,0.0,0.0,1.4023,0.5376
0b9a584a,bear,s72|s23|s25|s98,4,0.061641,0.01559,46.1491,0.0,-15.3299,75,33.3333,27.8527,0.0,-8.8658,22,40.9091,0.091318,0.0,0.0832,0.0,0.0,1.1456,0.5376
108cb2bc,bear,s97|s29|s22|s100|s31,5,0.069257,0.017936,45.504,0.0,-13.408,51,35.2941,27.991,0.0,-8.6164,19,42.1053,0.080724,0.0,0.0832,0.0,0.0,1.0127,0.5376
d05d9a45,bear,s81|s101|s66|s23|s25,5,0.077054,0.015087,66.1583,0.0,-21.5001,73,28.7671,10.659,0.0,-14.2688,27,25.9259,0.041908,0.001,0.0832,0.0,0.0,0.5258,0.5376
0ba0bf7e,bear,s101|s23|s28|s77,4,0.067068,0.019601,45.315,0.0,-21.0846,75,33.3333,40.8692,0.0,-15.2308,21,47.619,0.109469,48.7898,0.0832,100.0,100.0,1.3734,0.5376
500ee2d8,bear,s23|s101|s77|s85,4,0.043536,0.016116,46.242,0.0,-14.519,76,43.4211,6.6497,0.0,-13.5336,23,39.1304,0.047559,0.0006,0.0832,0.0,0.0,0.5967,0.5376
af69157b,bull,s73|s92|s91|s33,4,0.053435,0.015659,52.4662,0.0,-11.184,64,39.0625,3.7236,0.0,-9.7157,12,33.3333,0.020579,0.001,0.0832,0.0,0.0,0.2582,0.5376
1897565c,bear,s76|s22|s16|s51|s89,5,0.028947,0.018469,21.8242,0.0,-12.7838,66,54.5455,15.8781,0.0,-5.1118,20,65.0,0.097271,0.0,0.0832,0.0,0.0,1.2203,0.5376
06f7a98d,bear,s23|s51|s18|s85|s22,5,0.041204,0.017941,38.8695,0.0,-12.9947,45,51.1111,9.0347,0.0,-8.3301,22,45.4545,0.064905,0.0003,0.0832,0.0,0.0,0.8143,0.5376
e3450113,bull,s41|s95|s87|s55,4,0.070329,0.016137,56.265,0.0,-14.7884,56,33.9286,3.3327,0.0,-9.4232,15,26.6667,0.019518,0.0011,0.0832,0.0,0.0,0.2449,0.5376
37007dd6,bear,s72|s89|s13|s97,4,0.029395,0.015217,21.4571,0.0,-10.2014,62,50.0,19.5834,0.0,-4.948,18,66.6667,0.094856,0.0,0.0832,0.0,0.0,1.19,0.5376
f95dd4d0,bear,s13|s85|s20|s89,4,0.030142,0.015608,23.9801,0.0,-8.0739,54,51.8519,11.0492,0.0,-5.8367,15,60.0,0.062006,0.0,0.0832,0.0,0.0,0.7779,0.5376
a9793ecc,bear,s76|s50|s22|s81|s23,5,0.061958,0.018386,52.7537,0.0,-9.0734,43,41.8605,4.4513,0.0,-8.4392,12,33.3333,0.022197,0.0009,0.0832,0.0,0.0,0.2785,0.5376
