id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score
894d7c1f,bear,s66|s52|s62|s86|s17,5,0.0195981154,0.0126280086,9.4054,0.0,-7.2531,41,58.5366,0.157007
e2e59e33,bear,s81|s37|s16|s71,4,0.0247682376,0.0152075597,18.7533,0.0,-8.1965,32,62.5,0.152271
a8c4807d,bear,s52|s85|s62|s72,4,0.0201824801,0.0120544583,10.2359,0.0,-5.0034,38,57.8947,0.151709
103f7a9d,bear,s20|s17|s89|s81|s49,5,0.0244555974,0.0114808973,16.7893,0.0,-7.4073,35,57.1429,0.151455
73c93f68,bear,s72|s66|s62|s52,4,0.0198104739,0.0125328633,12.5664,0.0,-5.2517,34,61.7647,0.149467
a954d732,bear,s81|s51|s20|s16,4,0.0236613734,0.0145169297,10.6102,0.0,-12.0928,43,55.814,0.1493
2f31afd1,bear,s19|s81|s86|s76|s57,5,0.0215466458,0.0131168474,7.6903,0.0,-8.9734,43,55.814,0.147303
3aef6214,bear,s89|s99|s81|s37,4,0.0260223077,0.0162150626,10.2054,0.0,-13.2826,45,53.3333,0.144876
cf5368e6,bear,s62|s86|s16|s81|s76,5,0.0202703162,0.0125400913,11.1072,0.0,-6.354,35,60.0,0.143757
04de004f,bear,s66|s62|s19|s81|s86,5,0.0256487556,0.0120159756,21.6655,0.0,-4.8246,27,62.963,0.140982
46e4338d,bear,s100|s81|s16,3,0.023279216,0.0133634066,5.6506,0.0,-11.5164,49,51.0204,0.138292
199857d5,bear,s89|s81|s17|s20|s98,5,0.0236859255,0.0136285037,15.8236,0.0,-8.2242,31,61.2903,0.137945
85f648da,bear,s99|s28|s86|s77|s23,5,0.0258412046,0.015765384,7.2365,0.0,-9.8814,44,52.2727,0.137386
d30041a9,bear,s99|s51|s37|s28,4,0.0298898554,0.015414098,19.4874,0.0,-10.69,32,56.25,0.137363
e27ab475,bear,s29|s28|s81|s51|s101,5,0.029738925,0.0183231005,13.4751,0.0,-10.0848,36,55.5556,0.137025
a46f97c1,bear,s62|s99|s80|s18,4,0.025450935,0.0158484314,7.8974,0.0,-13.2085,46,52.1739,0.136607
ce4cba26,bear,s99|s81|s26,3,0.0249145549,0.0159970899,7.6625,0.0,-9.5116,41,53.6585,0.133734
0aa90467,bear,s23|s76|s86|s52|s31,5,0.0321946219,0.0171096697,29.7371,0.0,-7.4117,22,68.1818,0.132554
02a58530,bear,s99|s37|s76|s28,4,0.0325917957,0.0197181244,20.3872,0.0,-10.7126,29,58.6207,0.130658
a3a597f1,bear,s18|s99|s66|s51|s29,5,0.0296102401,0.0187963624,16.9996,0.0,-10.7979,31,58.0645,0.130075
3897b8f7,bear,s81|s16|s76,3,0.0251502254,0.011532053,8.3428,0.0,-9.6615,44,47.7273,0.12986
1b35b5f8,bear,s23|s81|s72|s97|s20,5,0.0263492407,0.0139486962,7.7353,0.0,-6.3105,40,50.0,0.129608
2827f5be,bear,s18|s81|s71|s16,4,0.0293781568,0.0175260199,13.3219,0.0,-13.7133,37,54.0541,0.128989
a88d8aca,bear,s81|s86|s72|s62,4,0.0330480494,0.0154003375,16.3619,0.0,-8.8926,34,50.0,0.128363
a6036d16,bear,s62|s99|s80,3,0.0261473388,0.0147915893,6.3436,0.0,-13.7823,49,48.9796,0.128347
78098357,bear,s51|s23|s16|s37|s81,5,0.0257926333,0.0149614454,7.7123,0.0,-9.6674,40,52.5,0.127478
fa5d7e3e,bear,s52|s71|s29|s86,4,0.0270784166,0.013176959,9.6272,0.0,-6.9551,38,50.0,0.127409
528bda36,bear,s16|s52|s71|s81,4,0.0217593041,0.0119771735,4.879,0.0,-10.641,45,51.1111,0.126834
81e4e5c3,bear,s80|s86|s76|s20,4,0.0317750917,0.0198510414,15.1923,0.0,-6.683,30,56.6667,0.126432
b028affc,bear,s18|s50|s98|s57|s28,5,0.0279359652,0.0182281701,8.1836,0.0,-8.2797,37,54.0541,0.125843
dcbcd9f8,bear,s28|s29|s86|s50|s89,5,0.0286946505,0.0132693711,6.9297,0.0,-7.0775,44,45.4545,0.125708
da4ef107,bear,s98|s52|s29|s18,4,0.029733915,0.009421404,10.5653,0.0,-7.419,44,40.9091,0.125604
8de8f32a,bear,s18|s71|s51|s86|s62,5,0.0299612269,0.01910873,14.4342,0.0,-7.0379,30,56.6667,0.123974
58d1e6b2,bear,s77|s22|s86|s90,4,0.0302072369,0.0127088895,15.1482,0.0,-5.7156,32,50.0,0.123805
896a7183,bear,s20|s99|s81|s101,4,0.0200487821,0.0127995016,0.3088,0.0,-11.2078,50,52.0,0.123612
459bbae7,bear,s89|s80|s99|s86,4,0.0279674101,0.0171819223,9.3259,0.0,-11.0644,38,52.6316,0.123124
682e344c,bear,s61|s86|s50|s66|s28,5,0.0287674189,0.015720887,13.8319,0.0,-7.0951,31,54.8387,0.123106
5680ebbd,bear,s99|s81|s49|s16|s37,5,0.0295001514,0.0153542095,9.2794,0.0,-11.2198,41,48.7805,0.122836
aace2a11,bear,s31|s20|s81|s22|s99,5,0.0231483853,0.0133155838,5.7585,0.0,-6.5714,38,52.6316,0.122523
34b124d5,bear,s16|s85|s72|s81|s76,5,0.0301807681,0.0162035224,12.7606,0.0,-10.1816,35,51.4286,0.122348
711485af,bear,s80|s49|s62,3,0.0227124368,0.00975867,7.6139,0.0,-9.2034,41,48.7805,0.122333
0f46f418,bear,s71|s99|s86|s28,4,0.0338563318,0.008414002,15.9412,0.0,-7.0944,38,39.4737,0.122286
adefd6e9,bear,s51|s67|s28|s86|s99,5,0.0241071507,0.0090047104,5.0798,0.0,-8.0481,49,42.8571,0.122251
c01c4b47,bear,s50|s61|s81|s76|s16,5,0.0296122907,0.0186946789,11.3836,0.0,-14.1761,37,54.0541,0.122225
821d69b5,bear,s18|s29|s99|s100,4,0.0180208024,0.0089155338,1.1031,0.0,-10.2736,67,49.2537,0.121353
e48e5fb9,bear,s100|s29|s56|s86|s89,5,0.0270906127,0.0169415178,8.8489,0.0,-8.3404,35,54.2857,0.121262
357629bb,bear,s76|s56|s89|s61|s86,5,0.0301106989,0.0192217067,12.8866,0.0,-10.3423,32,56.25,0.121132
b3b79c4b,bear,s52|s90|s62|s16,4,0.0341012378,0.0170447873,20.6595,0.0,-8.4855,27,55.5556,0.120878
ddc67de6,bear,s99|s86|s28|s61,4,0.0326583091,0.0123041869,10.0907,0.0,-8.5323,43,41.8605,0.120699
3c7ca493,bear,s22|s62|s86|s18,4,0.0269383314,0.016126527,12.1088,0.0,-9.7621,32,56.25,0.120255
cdaeb2a0,bear,s61|s56|s22|s99|s81,5,0.0297366916,0.018901857,10.5754,0.0,-11.1341,35,54.2857,0.120229
f1b971ae,bear,s62|s28|s98|s16|s52,5,0.0208787908,0.0092283442,6.2024,0.0,-8.2742,41,48.7805,0.119989
4f40c472,bear,s31|s56|s86|s90,4,0.0295122702,0.0180895612,20.8335,0.0,-6.2057,23,65.2174,0.11977
d99a4577,bear,s86|s72|s66|s81|s62,5,0.028754175,0.0148485046,8.301,0.0,-8.7207,39,48.7179,0.119493
326ed236,bear,s62|s97|s16,3,0.027101288,0.0137702851,4.3323,0.0,-11.9639,50,46.0,0.119438
1501f5c0,bear,s97|s18|s31|s81,4,0.0181151573,0.0107636123,1.8252,0.0,-7.5543,41,53.6585,0.119403
422c6bb6,bear,s19|s62|s66,3,0.0255734537,0.0158057263,8.0127,0.0,-11.1929,37,54.0541,0.118869
498d63f7,bear,s81|s20|s26,3,0.0245750657,0.014302182,16.4886,0.0,-6.8074,25,64.0,0.118766
