id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
a8c4807d,bear,s52|s85|s62|s72,4,0.0201824801,0.0120544583,10.2359,0.0,-5.0034,38,57.8947,0.151709,-3.4538,0.0,-6.5208,8,37.5,0.01266
73c93f68,bear,s72|s66|s62|s52,4,0.0198104739,0.0125328633,12.5664,0.0,-5.2517,34,61.7647,0.149467,-2.1929,0.0,-5.6058,7,42.8571,0.014418
e2e59e33,bear,s81|s37|s16|s71,4,0.0247682376,0.0152075597,18.7533,0.0,-8.1965,32,62.5,0.152271,-5.3307,0.0,-8.3291,7,28.5714,0.005517
2f31afd1,bear,s19|s81|s86|s76|s57,5,0.0215466458,0.0131168474,7.6903,0.0,-8.9734,43,55.814,0.147303,-6.5467,0.0,-9.7156,10,30.0,0.006933
894d7c1f,bear,s66|s52|s62|s86|s17,5,0.0195981154,0.0126280086,9.4054,0.0,-7.2531,41,58.5366,0.157007,-9.3653,0.0,-10.6651,8,12.5,-0.005113
cf5368e6,bear,s62|s86|s16|s81|s76,5,0.0202703162,0.0125400913,11.1072,0.0,-6.354,35,60.0,0.143757,-6.4281,0.0,-10.5265,10,30.0,0.006542
3aef6214,bear,s89|s99|s81|s37,4,0.0260223077,0.0162150626,10.2054,0.0,-13.2826,45,53.3333,0.144876,-1.5181,0.0,-6.8982,3,33.3333,0.004394
a46f97c1,bear,s62|s99|s80|s18,4,0.025450935,0.0158484314,7.8974,0.0,-13.2085,46,52.1739,0.136607,-3.2872,0.0,-7.03,6,33.3333,0.007891
821d69b5,bear,s18|s29|s99|s100,4,0.0180208024,0.0089155338,1.1031,0.0,-10.2736,67,49.2537,0.121353,-0.7662,0.0,-3.1745,9,44.4444,0.021734
103f7a9d,bear,s20|s17|s89|s81|s49,5,0.0244555974,0.0114808973,16.7893,0.0,-7.4073,35,57.1429,0.151455,-11.339,0.0,-12.55,10,10.0,-0.010601
ce4cba26,bear,s99|s81|s26,3,0.0249145549,0.0159970899,7.6625,0.0,-9.5116,41,53.6585,0.133734,-4.0739,0.0,-8.8718,6,33.3333,0.006851
a954d732,bear,s81|s51|s20|s16,4,0.0236613734,0.0145169297,10.6102,0.0,-12.0928,43,55.814,0.1493,-12.0313,0.0,-13.6587,9,11.1111,-0.010038
e27ab475,bear,s29|s28|s81|s51|s101,5,0.029738925,0.0183231005,13.4751,0.0,-10.0848,36,55.5556,0.137025,-4.7055,0.0,-7.8243,5,20.0,0.001771
a6036d16,bear,s62|s99|s80,3,0.0261473388,0.0147915893,6.3436,0.0,-13.7823,49,48.9796,0.128347,-2.8129,0.0,-6.6249,6,33.3333,0.008265
896a7183,bear,s20|s99|s81|s101,4,0.0200487821,0.0127995016,0.3088,0.0,-11.2078,50,52.0,0.123612,-4.006,0.0,-6.3086,8,37.5,0.012408
84989879,bear,s100|s62|s72|s98|s52,5,0.0207515825,0.0122231163,1.8553,0.0,-13.1563,47,51.0638,0.113875,-0.0682,0.0,-6.244,8,50.0,0.020959
46e4338d,bear,s100|s81|s16,3,0.023279216,0.0133634066,5.6506,0.0,-11.5164,49,51.0204,0.138292,-9.5215,0.0,-13.0845,10,20.0,-0.003468
711485af,bear,s80|s49|s62,3,0.0227124368,0.00975867,7.6139,0.0,-9.2034,41,48.7805,0.122333,-3.2584,0.0,-8.0131,9,33.3333,0.011327
85f648da,bear,s99|s28|s86|s77|s23,5,0.0258412046,0.015765384,7.2365,0.0,-9.8814,44,52.2727,0.137386,-9.6076,0.0,-11.7538,7,14.2857,-0.004317
04de004f,bear,s66|s62|s19|s81|s86,5,0.0256487556,0.0120159756,21.6655,0.0,-4.8246,27,62.963,0.140982,-9.0722,0.0,-10.2042,6,0.0,-0.008028
d30041a9,bear,s99|s51|s37|s28,4,0.0298898554,0.015414098,19.4874,0.0,-10.69,32,56.25,0.137363,-6.5515,0.0,-9.8541,4,0.0,-0.004461
199857d5,bear,s89|s81|s17|s20|s98,5,0.0236859255,0.0136285037,15.8236,0.0,-8.2242,31,61.2903,0.137945,-10.1012,0.0,-11.3241,8,12.5,-0.0059
f1b971ae,bear,s62|s28|s98|s16|s52,5,0.0208787908,0.0092283442,6.2024,0.0,-8.2742,41,48.7805,0.119989,-4.7296,0.0,-8.0275,11,27.2727,0.00854
