id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score
fd3bdad4,bull,s8|s21|s33|s59,4,0.0782621692,0.019482152,90.4214,0.0,-7.6124,41,41.4634,0.379856
b7d2ecbb,bull,s33|s9|s73|s21,4,0.0728403544,0.0152630601,84.8846,0.0,-5.7247,39,41.0256,0.347444
0cc353c4,bull,s46|s82|s41|s21,4,0.0736517036,0.019931591,73.8058,0.0,-21.6238,64,35.9375,0.338164
a184cad1,bull,s94|s59|s78|s21|s36,5,0.0569647855,0.0183823464,63.5528,0.0,-12.0933,47,44.6809,0.330856
9c98c8a0,bull,s21|s93|s73|s82|s9,5,0.0797408798,0.0154775934,71.8663,0.0,-11.1617,43,34.8837,0.308423
d8875851,bull,s47|s10|s15|s96,4,0.0712870904,0.0190489747,64.27,0.0,-23.1957,81,33.3333,0.287493
c01c863c,bull,s59|s33|s21,3,0.0700797677,0.0122573979,64.549,0.0,-12.2367,43,34.8837,0.280478
8f177616,bull,s34|s21|s33|s55,4,0.0580248938,0.0195314888,46.699,0.0,-9.0445,48,41.6667,0.273276
31b6b361,bull,s33|s54|s21|s96,4,0.0514176203,0.014908359,49.3036,0.0,-7.3211,44,43.1818,0.268221
7430851f,bull,s93|s34|s21,3,0.0715624816,0.0195470102,55.5551,0.0,-12.7825,45,37.7778,0.267486
4dccd68a,bull,s96|s33|s93|s21|s78,5,0.054868125,0.0193434229,48.0655,0.0,-15.6187,67,40.2985,0.266301
4987ce34,bull,s14|s21|s64|s78,4,0.0590929039,0.0170862222,54.2685,0.0,-19.9312,78,35.8974,0.264973
980c9800,bull,s84|s94|s59|s34,4,0.0556258488,0.0179215867,55.89,0.0,-14.7363,42,45.2381,0.264655
5882ab0a,bear,s71|s61|s20|s99|s86,5,0.0728542509,0.0184575526,52.9482,0.0,-16.7185,56,33.9286,0.263423
3503b3c2,bull,s21|s83|s9,3,0.0775934663,0.0175935109,52.0698,0.0,-14.1104,53,32.0755,0.262174
26916188,bull,s21|s47|s96|s34,4,0.0723421455,0.0198687616,69.8852,0.0,-9.9681,34,44.1176,0.259753
8b3979a3,bull,s21|s55|s33,3,0.0729297591,0.0188229786,47.2724,0.0,-11.3127,57,33.3333,0.255151
507dcd44,bull,s10|s94|s64|s47,4,0.0662316573,0.0191786296,49.9207,0.0,-17.6615,72,34.7222,0.250865
b46ef191,bull,s21|s36|s78|s44,4,0.0633243134,0.0192497566,48.811,0.0,-20.2517,52,38.4615,0.249873
2ca23080,bull,s34|s21|s41|s93,4,0.0755657735,0.0180723839,57.4599,0.0,-12.1344,41,36.5854,0.248618
67edd3ea,bull,s78|s91|s10|s44,4,0.0609856477,0.0194687974,49.3866,0.0,-18.5085,93,35.4839,0.248473
34d08993,bull,s21|s59|s4|s9,4,0.0715250822,0.0143945553,49.5673,0.0,-8.8219,46,32.6087,0.248059
7dcc82ef,bull,s32|s59|s94|s10,4,0.0648927353,0.0199066063,49.1328,0.0,-19.2554,66,36.3636,0.247856
123f358f,bull,s30|s21|s34|s33,4,0.0606969845,0.0181837842,46.4028,0.0,-18.4074,59,37.2881,0.242253
a4cc90d8,bull,s43|s21|s63,3,0.0723566583,0.0193596555,47.5724,0.0,-15.1828,48,35.4167,0.240952
0e9107bd,bull,s21|s93|s34|s33,4,0.0601912957,0.0198053406,58.8023,0.0,-5.226,33,48.4848,0.24089
d5ce71c7,bull,s21|s10|s92|s87|s43,5,0.0589993749,0.0191588182,39.9299,0.0,-9.208,48,39.5833,0.240812
810324a1,bull,s43|s54|s34|s21|s63,5,0.0430240851,0.017292966,35.6288,0.0,-12.0699,58,44.8276,0.240788
35d3b6c9,bull,s73|s14|s21,3,0.0743187327,0.0184822564,60.2018,0.0,-7.0452,35,40.0,0.23777
26a40cd5,bull,s94|s30|s95|s87|s7,5,0.0437653998,0.0191056801,32.2273,0.0,-10.9818,52,46.1538,0.234425
1b70db48,bull,s78|s95|s73|s41|s60,5,0.0630386271,0.0184173628,42.1421,0.0,-15.0177,55,36.3636,0.232606
45cb554c,bull,s87|s21|s14,3,0.0682934659,0.0151578507,50.7046,0.0,-11.3262,42,35.7143,0.231825
73e2b916,bull,s43|s73|s94,3,0.0589255678,0.0185364597,43.5589,0.0,-18.592,61,37.7049,0.231574
09d62450,bull,s2|s21|s78,3,0.0644623281,0.0189057886,42.1275,0.0,-14.2817,66,34.8485,0.23021
2b9951fc,bull,s68|s4|s93|s21|s9,5,0.0795881991,0.0166371662,46.5282,0.0,-14.4345,49,30.6122,0.229953
0034eb33,bull,s94|s30|s64|s87,4,0.0445697982,0.0196227239,34.8833,0.0,-11.213,46,47.8261,0.229423
ac8dcfa3,bull,s95|s82|s41|s21,4,0.0614640785,0.0168733743,42.9026,0.0,-10.0442,45,37.7778,0.22933
0c9851aa,bull,s64|s78|s96|s21,4,0.0772008845,0.0182110213,46.8215,0.0,-16.366,74,29.7297,0.227377
6a97127f,bull,s40|s82|s9|s21,4,0.070787123,0.0165336389,44.9244,0.0,-16.9585,52,32.6923,0.226899
7682449a,bull,s70|s87|s21|s4,4,0.07036032,0.0141763492,48.7448,0.0,-7.0467,41,34.1463,0.226548
d2a69d74,bull,s47|s42|s94,3,0.0569861906,0.0197887923,41.8537,0.0,-19.3961,64,39.0625,0.226414
ff7801e6,bull,s83|s34|s82|s21,4,0.0779127049,0.0149171675,59.3724,0.0,-12.4619,37,35.1351,0.226077
22ebdfcd,bull,s21|s42|s78|s36,4,0.0797142525,0.0195408478,51.0725,0.0,-23.3336,72,30.5556,0.225956
2686d8a2,bull,s10|s94|s35|s87|s21,5,0.0637892477,0.0193234395,44.9664,0.0,-18.8681,88,34.0909,0.225534
6bca3155,bull,s87|s21|s9,3,0.0642097281,0.0182001615,39.4094,0.0,-11.7713,68,33.8235,0.223794
f77f8299,bull,s68|s10|s94,3,0.0630015825,0.0187287807,45.2576,0.0,-21.3975,78,34.6154,0.220684
0d6d98a1,bull,s95|s21|s82|s34,4,0.0609481022,0.0156811407,44.3494,0.0,-10.0751,42,38.0952,0.219625
03dc1a4c,bull,s32|s65|s48|s78|s87,5,0.0513464357,0.0169360735,33.9924,0.0,-11.8649,53,39.6226,0.219243
024026f6,bull,s14|s43|s96|s21,4,0.0703317325,0.0198988552,45.5854,0.0,-20.0913,105,31.4286,0.216354
b7efdf42,bull,s30|s84|s24|s78,4,0.0515531641,0.0160153615,36.1782,0.0,-7.7348,44,40.9091,0.214927
f55cfe39,bull,s59|s3|s91|s96,4,0.0750831445,0.0148319579,44.2579,0.0,-16.3998,59,28.8136,0.214273
4c3ed70d,bull,s44|s9|s68|s3,4,0.0779810166,0.0133904501,44.5945,0.0,-14.2906,65,26.1538,0.213968
23a94863,bull,s63|s21|s33,3,0.0678475452,0.0122828991,55.4324,0.0,-9.3412,35,37.1429,0.213594
451bd1f7,bull,s21|s34|s33|s83,4,0.054177641,0.0173458348,44.9566,0.0,-4.2059,35,45.7143,0.213046
1c4cfa73,bull,s21|s78|s10,3,0.0585809942,0.0183925019,45.8191,0.0,-26.4782,87,35.6322,0.210738
bbbcbba7,bull,s95|s94|s91,3,0.0718587699,0.0194086126,43.2976,0.0,-19.3809,79,31.6456,0.209985
79189755,bull,s42|s33|s95|s93|s21,5,0.0713809882,0.0174429736,57.6415,0.0,-6.2674,31,41.9355,0.209294
52f8c2ea,bull,s21|s14|s82|s95,4,0.0622979254,0.0183863737,60.6482,0.0,-6.5358,28,50.0,0.208872
8ca18f7c,bull,s95|s33|s21,3,0.0658565425,0.0142171152,38.8796,0.0,-8.8177,46,32.6087,0.20874
