id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
05b1b66f,bull,s14|s8|s35|s58,4,0.0067258969,0.0044741045,-3.0935,0.0,-4.4258,29,48.2759,0.069122,10,0.3448,30281.78,3.0282,70.0,0.3366,3.3659,7,0.2414,-8931.72,-0.8932,28.5714,-0.1274,-0.8919,12,0.4138,2568.25,0.2568,41.6667,0.0193,0.2311,0.0674,-0.1208,-0.9607,5,60.0,0.017739,3,0.6,19649.19,1.9649,100.0,0.6726,2.0178,1,0.2,-4357.5,-0.4357,0.0,-0.4474,-0.4474,1,0.2,-4391.05,-0.4391,0.0,-0.4474,-0.4474
76990fd6,bull,s88|s16|s20|s25,4,0.0076234853,0.0059159297,0.947,0.0,-3.2431,16,62.5,0.058099,6,0.375,17720.13,1.772,66.6667,0.311,1.8662,4,0.25,16339.42,1.6339,75.0,0.4239,1.6955,6,0.375,4644.31,0.4644,50.0,0.0854,0.5123,0.635,-2.3135,-1.5168,6,66.6667,0.023759,2,0.3333,14744.73,1.4745,100.0,0.7623,1.5247,3,0.5,-4152.42,-0.4152,33.3333,-0.1403,-0.4208,1,0.1667,7374.01,0.7374,100.0,0.7623,0.7623
8d8c64d7,bull,s20|s84|s88,3,0.0071667581,0.0049671761,2.9018,0.0,-1.9239,15,73.3333,0.067751,7,0.4667,24582.17,2.4582,71.4286,0.37,2.5899,3,0.2,20724.85,2.0725,100.0,0.7167,2.15,5,0.3333,10963.72,1.0964,60.0,0.2313,1.1566,0.3215,-8.0713,-1.1004,3,66.6667,0.011879,1,0.3333,6940.9,0.6941,100.0,0.7167,0.7167,2,0.6667,2082.58,0.2083,50.0,0.11,0.22,0,0.0,0.0,0.0,0.0,0.0,0.0
7077a3c5,bull,s69|s10|s7,3,0.0067897378,0.0048941806,-5.3808,0.0,-5.8651,30,43.3333,0.054529,13,0.4333,16332.42,1.6332,53.8462,0.1397,1.8163,5,0.1667,-1687.56,-0.1688,40.0,-0.0221,-0.1103,12,0.4,-10322.62,-1.0323,33.3333,-0.1,-1.1994,0.554,-2.5849,-1.4875,6,66.6667,0.02373,3,0.5,8495.99,0.8496,66.6667,0.2895,0.8685,1,0.1667,6556.64,0.6557,100.0,0.679,0.679,2,0.3333,1772.45,0.1772,50.0,0.0948,0.1896
dd510d98,bull,s35|s69|s18|s9,4,0.0069203401,0.0050324215,-5.26,0.0,-6.1559,30,43.3333,0.054295,10,0.3333,19016.21,1.9016,60.0,0.2139,2.1392,6,0.2,-17950.64,-1.7951,16.6667,-0.304,-1.8242,14,0.4667,2023.92,0.2024,42.8571,0.009,0.1263,0.5777,-2.6168,-1.5136,6,66.6667,0.023732,3,0.5,8616.42,0.8616,66.6667,0.2936,0.8808,1,0.1667,6682.76,0.6683,100.0,0.692,0.692,2,0.3333,1763.2,0.1763,50.0,0.0944,0.1888
bbd390a8,bull,s60|s6|s70|s34,4,0.0071463341,0.0048778812,-2.1152,0.0,-3.4391,24,50.0,0.062987,8,0.3333,19662.36,1.9662,62.5,0.2637,2.1098,7,0.2917,249.19,0.0249,42.8571,0.0275,0.1927,9,0.375,4530.16,0.453,44.4444,0.0466,0.4196,0.2836,2.7578,-0.7009,3,66.6667,0.011942,1,0.3333,6913.07,0.6913,100.0,0.7146,0.7146,2,0.6667,2230.12,0.223,50.0,0.1134,0.2268,0,0.0,0.0,0.0,0.0,0.0,0.0
5178002e,bull,s16|s94,2,0.0076077491,0.0059803288,0.4279,0.0,-3.5518,18,61.1111,0.06278,7,0.3889,25020.98,2.5021,71.4286,0.3725,2.6078,6,0.3333,17794.17,1.7794,66.6667,0.3078,1.847,5,0.2778,-2746.72,-0.2747,40.0,-0.0545,-0.2725,0.3705,-8.0888,-1.0423,3,66.6667,0.011901,1,0.3333,7367.99,0.7368,100.0,0.7608,0.7608,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6667,1505.01,0.1505,50.0,0.0814,0.1627
f0ee1ff9,bull,s32|s36|s96|s30,4,0.0068062421,0.0041071717,-1.4479,0.0,-3.2644,22,50.0,0.059143,7,0.3182,25011.41,2.5011,71.4286,0.3688,2.5817,5,0.2273,1067.63,0.1068,40.0,0.0258,0.1291,10,0.4545,2137.09,0.2137,40.0,0.0258,0.2582,0.512,6.975,-0.8303,3,66.6667,0.011973,3,1.0,9294.92,0.9295,66.6667,0.3168,0.9505,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
cd81d502,bull,s41|s96|s34|s69,4,0.0076275772,0.005352424,-3.4962,0.0,-4.4256,24,45.8333,0.052914,9,0.375,28610.07,2.861,66.6667,0.3301,2.9708,3,0.125,-15286.28,-1.5286,0.0,-0.5352,-1.6057,12,0.5,338.09,0.0338,41.6667,0.0056,0.0671,0.2406,-2.3483,-1.5807,5,60.0,0.017622,1,0.2,-5218.36,-0.5218,0.0,-0.5352,-0.5352,3,0.6,9554.74,0.9555,66.6667,0.3301,0.9903,1,0.2,7395.73,0.7396,100.0,0.7628,0.7628
756fa2a2,bull,s88|s29|s19|s64,4,0.0063344503,0.0041028971,1.129,0.0,-1.3046,12,66.6667,0.048145,6,0.5,16355.07,1.6355,66.6667,0.2855,1.7132,2,0.1667,12291.17,1.2291,100.0,0.6334,1.2669,4,0.3333,4204.68,0.4205,50.0,0.1116,0.4463,0.0695,-2.5481,-1.3718,5,60.0,0.017616,2,0.4,12250.84,1.2251,100.0,0.6334,1.2669,2,0.4,2109.89,0.211,50.0,0.1116,0.2232,1,0.2,-3989.34,-0.3989,0.0,-0.4103,-0.4103
