id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
9f80fb30,bull,s21|s39|s32|s38|s40|s34|s2,7,0.0181652,0.009827,0.1739,0.0,-7.0625,24,50.0,0.062164,0.0541,0.0,-4.0701,8,50.0,0.022081
14a0d11f,bull,s40|s34|s1|s32|s7|s5,6,0.0230802,0.013874,2.764,0.0,-8.3534,21,52.381,0.060118,0.0033,0.0,-5.3285,6,50.0,0.016083
ea96041c,bull,s32|s38|s1|s5|s44|s11,6,0.022442,0.011789,2.357,0.0,-5.9862,20,50.0,0.056588,2.3077,0.0,-3.0847,5,60.0,0.017998
e6a5e804,bull,s44|s15|s30|s40|s32,5,0.0210608,0.012097,0.742,0.0,-8.7135,22,50.0,0.055804,1.8322,0.0,-3.115,5,60.0,0.017798
c8059058,bull,s4|s2|s38|s21|s32|s34,6,0.0205738,0.011473,0.2697,0.0,-5.2915,18,50.0,0.048674,0.3315,0.0,-4.5514,8,50.0,0.022027
95b19427,bull,s24|s32|s4,3,0.0233634,0.011823,2.9197,0.0,-5.8002,18,50.0,0.05194,2.58,0.0,-3.0864,5,60.0,0.018106
586b73f4,bull,s15|s11|s30|s1|s4|s9,6,0.0242082,0.015081,2.1143,0.0,-4.8517,17,52.9412,0.051927,2.1604,0.0,-3.0639,5,60.0,0.017945
be718c0d,bull,s12|s11|s1|s32|s34|s42,6,0.02417,0.015105,2.5416,0.0,-4.8719,17,52.9412,0.052487,0.1952,0.0,-4.1336,6,50.0,0.016606
78073711,bull,s12|s32|s5|s38|s44|s39,6,0.0215442,0.012843,0.3834,0.0,-6.5654,20,50.0,0.052735,0.1126,0.0,-4.8109,6,50.0,0.016322
e561ee8b,bull,s33|s6|s9|s39|s40|s7,6,0.022523,0.012526,1.1931,0.0,-7.7443,20,50.0,0.052616,0.2471,0.0,-5.0658,6,50.0,0.016295
474928b3,bull,s11|s24|s3|s40|s36|s8|s32,7,0.0230003,0.014027,0.1389,0.0,-6.5997,20,50.0,0.052303,0.1875,0.0,-5.0333,6,50.0,0.016278
1bf14234,bull,s38|s1|s14|s33|s43|s9|s44,7,0.0236424,0.015146,0.1146,0.0,-6.7341,20,50.0,0.052102,0.0313,0.0,-5.2538,6,50.0,0.016124
9303e4f3,bull,s8|s9|s4|s2|s40|s6|s43,7,0.0242929,0.014566,0.854,0.0,-8.1882,20,50.0,0.051541,0.1441,0.0,-4.3489,6,50.0,0.016504
a0a33b29,bull,s38|s40|s11|s12|s32,5,0.0232934,0.010557,2.0525,0.0,-5.4351,19,47.3684,0.050924,1.3337,0.0,-4.3658,6,50.0,0.017068
ef598ed8,bull,s35|s32|s11|s6|s40|s2,6,0.0236141,0.013328,1.7612,0.0,-6.2248,18,50.0,0.049813,2.344,0.0,-3.2363,5,60.0,0.017967
da7c6c4b,bull,s15|s1|s6|s30|s40|s32,6,0.021585,0.01379,1.3164,0.0,-6.4079,17,52.9412,0.049254,1.6377,0.0,-3.2816,5,60.0,0.017671
fe57d11b,bull,s32|s6|s24|s1,4,0.0237775,0.013155,2.0462,0.0,-6.5075,18,50.0,0.049918,0.682,0.0,-3.7512,6,50.0,0.016977
607b05c7,bull,s12|s32|s9|s40|s36,5,0.02327,0.01436,2.354,0.0,-6.5182,17,52.9412,0.050553,0.1574,0.0,-5.1057,6,50.0,0.016237
396eef5a,bull,s9|s1|s32|s42|s2|s38,6,0.0223985,0.011154,1.1263,0.0,-5.3001,19,47.3684,0.04967,0.8851,0.0,-4.4834,6,50.0,0.016811
6ebb19c0,bull,s24|s40|s33|s21|s15|s43,6,0.0200908,0.010573,1.1398,0.0,-5.6809,18,50.0,0.049506,0.3765,0.0,-3.599,6,50.0,0.016885
75892c21,bull,s41|s32|s35|s40|s44|s43,6,0.0231424,0.014349,2.2546,0.0,-6.818,17,52.9412,0.050112,0.1303,0.0,-5.0954,6,50.0,0.016228
669bfd10,bull,s43|s40|s7|s11|s12|s24,6,0.0229784,0.009382,1.6049,0.0,-6.5936,20,45.0,0.048656,0.2489,0.0,-4.138,7,42.8571,0.016401
6ed17b74,bull,s40|s32|s38,3,0.0264989,0.009638,3.4942,0.0,-7.261,21,42.8571,0.050721,0.3276,0.0,-4.6474,5,40.0,0.010737
da8e9610,bull,s30|s11|s40,3,0.0251562,0.015394,1.3297,0.0,-6.3862,18,50.0,0.049018,0.2676,0.0,-3.8943,4,50.0,0.011151
0f0aacf7,bull,s2|s35|s32,3,0.0257449,0.011944,4.4307,0.0,-5.5388,16,50.0,0.048354,1.0873,0.0,-3.557,4,50.0,0.011494
