id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
64c9fcf0,bull,s73|s4|s32,3,0.0185140513,0.0114833221,4.8824,0.0,-6.6716,20,60.0,0.071806,2.5364,0.0,-3.0602,8,62.5,0.030154
29092b68,bull,s47|s1|s75|s32|s64,5,0.0230778189,0.0121586032,5.9972,0.0,-6.1185,18,55.5556,0.062028,2.4279,0.0,-3.1162,5,60.0,0.018036
9ebbc326,bull,s40|s35|s48|s24,4,0.0241772114,0.0153911011,4.3637,0.0,-5.135,18,55.5556,0.060738,2.0813,0.0,-2.6765,5,60.0,0.01803
3abf3b91,bull,s43|s47|s40|s32|s65,5,0.0218847813,0.0114850104,2.1204,0.0,-6.1735,20,50.0,0.055984,0.8451,0.0,-4.5515,8,50.0,0.022356
0b01b0dd,bull,s58|s40|s32,3,0.0223119048,0.011501569,4.1305,0.0,-6.5763,19,52.6316,0.058781,0.7491,0.0,-4.5539,6,50.0,0.01672
40ec761f,bull,s5|s32,2,0.0200827324,0.0117908101,1.6255,0.0,-8.4127,19,52.6316,0.05288,0.0094,0.0,-4.6447,8,50.0,0.021777
18be0b77,bull,s53|s40|s68|s7,4,0.023515077,0.0138167998,3.0808,0.0,-6.2626,19,52.6316,0.057543,0.1456,0.0,-5.3156,6,50.0,0.016156
7386e941,bull,s36|s39|s43,3,0.0238392423,0.0152748008,1.6459,0.0,-4.9391,19,52.6316,0.056871,0.0499,0.0,-4.1633,6,50.0,0.016525
3a1586e9,bull,s40|s44|s55|s30,4,0.0236652983,0.0147780669,0.6701,0.0,-8.1648,22,50.0,0.056402,0.1529,0.0,-5.1808,6,50.0,0.016208
77094fa6,bull,s38|s32|s73,3,0.0212499947,0.0118435522,2.5092,0.0,-4.1099,15,53.3333,0.047312,2.0529,0.0,-3.1308,7,57.1429,0.023835
ee363ec2,bull,s55|s32|s4,3,0.0204425491,0.0104982435,0.0543,0.0,-6.2961,19,47.3684,0.046905,2.1464,0.0,-2.8667,7,57.1429,0.023998
48fc92f9,bull,s24|s34|s32,3,0.024294618,0.0156584587,4.2672,0.0,-5.4968,16,56.25,0.054185,0.0678,0.0,-4.2401,6,50.0,0.016506
92e3c558,bull,s11|s63|s47|s32|s38,5,0.0222426885,0.0099733995,2.2084,0.0,-4.8571,19,47.3684,0.05182,2.6258,0.0,-2.9031,5,60.0,0.018179
d9eafe0a,bull,s75|s35|s32,3,0.0235348603,0.0136150175,3.2389,0.0,-6.3076,17,52.9412,0.051971,2.2617,0.0,-3.2593,5,60.0,0.017927
47cac867,bull,s39|s12|s59|s6,4,0.0220081783,0.0114377499,0.3667,0.0,-5.9578,21,47.619,0.053109,0.6814,0.0,-4.5357,6,50.0,0.016694
d03abdfe,bull,s32|s11,2,0.0223697338,0.0107695522,3.0285,0.0,-6.258,18,50.0,0.051602,2.4984,0.0,-2.9823,5,60.0,0.018105
dfc4f3a0,bull,s48|s32|s11,3,0.0273205526,0.0140246046,6.3724,0.0,-5.9584,17,52.9412,0.056589,0.9708,0.0,-3.7641,4,50.0,0.011407
0d1a206d,bull,s39|s40|s75,3,0.0229340807,0.0089417524,2.0653,0.0,-5.2075,20,45.0,0.051055,0.4065,0.0,-4.0582,7,42.8571,0.016523
9087628f,bull,s32|s39|s55,3,0.0232974574,0.0149329148,1.9288,0.0,-6.6845,17,52.9412,0.049805,1.9191,0.0,-3.3879,5,60.0,0.017751
243013d9,bull,s32|s35|s1,3,0.0233628646,0.0118671375,1.258,0.0,-5.8107,19,47.3684,0.049288,2.5696,0.0,-3.0909,5,60.0,0.018101
2b14a083,bull,s65|s32|s46|s75,4,0.0199936938,0.0120236979,1.348,0.0,-6.3285,17,52.9412,0.049378,1.529,0.0,-3.104,5,60.0,0.01768
1c337c95,bull,s34|s60|s40|s74|s30,5,0.0242899313,0.0140713939,1.7759,0.0,-6.2869,18,50.0,0.049767,0.5478,0.0,-3.9301,6,50.0,0.016848
54d2aabd,bull,s9|s40|s64|s24,4,0.023471829,0.0155558551,1.6746,0.0,-5.5855,17,52.9412,0.05058,0.0685,0.0,-5.5735,6,50.0,0.016026
d9e1680b,bull,s10|s24|s63|s33|s21,5,0.0224689389,0.0125517352,1.4284,0.0,-6.2178,18,50.0,0.049342,0.4784,0.0,-4.7508,6,50.0,0.016519
b5c59f3c,bull,s65|s21|s12|s48,4,0.0201890102,0.0114512962,0.4239,0.0,-5.0989,18,50.0,0.049104,0.1393,0.0,-4.2022,6,50.0,0.016554
fa6d3d15,bull,s60|s45|s30|s10,4,0.0240623288,0.0151664275,0.5584,0.0,-5.6908,18,50.0,0.048658,0.1455,0.0,-4.1444,6,50.0,0.016578
07d3e788,bull,s39|s32|s68,3,0.0217703888,0.0109138381,0.8322,0.0,-6.678,19,47.3684,0.047652,0.7696,0.0,-4.4368,6,50.0,0.016772
196157eb,bull,s46|s75|s39,3,0.0214531646,0.0104044625,2.2385,0.0,-4.1138,16,50.0,0.046916,0.8297,0.0,-4.2305,6,50.0,0.016875
0a1902e7,bull,s43|s69|s40,3,0.0261902784,0.0160930069,1.3986,0.0,-6.6981,18,50.0,0.04878,0.0689,0.0,-4.2898,4,50.0,0.010992
dadf8e43,bull,s40|s58|s48|s7|s55,5,0.0228199796,0.0143990238,3.8111,0.0,-4.9084,14,57.1429,0.048145,0.0102,0.0,-2.3542,4,50.0,0.011438
804f850e,bull,s40|s53|s42|s75|s32,5,0.0264114169,0.0103741934,4.7778,0.0,-6.4555,17,47.0588,0.047913,0.0825,0.0,-4.7906,5,40.0,0.010596
