id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
cd15435c,bull,s53|s92|s43|s69|s87,5,0.0188899765,0.0119356308,5.8668,0.0,-3.3111,11,63.6364,0.044977,5,0.4545,32188.53,3.2189,60.0,0.656,3.2799,3,0.2727,58373.67,5.8374,100.0,1.889,5.667,3,0.2727,-5136.39,-0.5136,33.3333,-0.166,-0.4981
c02f7ce5,bull,s87|s53|s32,3,0.0190009477,0.0080602696,4.4098,0.0,-3.7653,14,50.0,0.043776,4,0.2857,48986.71,4.8987,75.0,1.2236,4.8943,6,0.4286,34277.66,3.4278,50.0,0.547,3.2822,4,0.2857,-6327.33,-0.6327,25.0,-0.1295,-0.518
d21cceaf,bull,s21|s14|s35,3,0.0183790465,0.0082924734,0.182,0.0,-4.432,20,40.0,0.042973,7,0.35,74424.03,7.4424,71.4286,1.0759,7.531,5,0.25,12197.43,1.2197,40.0,0.2376,1.1881,8,0.4,-40496.41,-4.0496,12.5,-0.4959,-3.9668
fb8cc896,bull,s45|s5|s27,3,0.0191645272,0.0080578229,3.8896,0.0,-4.1922,15,46.6667,0.042895,4,0.2667,77136.79,7.7137,100.0,1.9165,7.6658,6,0.4,6562.96,0.6563,33.3333,0.1016,0.6098,5,0.3333,-14220.21,-1.422,20.0,-0.2613,-1.3067
10775cf6,bull,s1|s39|s35|s43,4,0.0201612897,0.0087476695,1.8024,0.0,-4.0002,17,41.1765,0.040371,6,0.3529,61731.02,6.1731,66.6667,1.0525,6.315,5,0.2941,43822.27,4.3822,60.0,0.8598,4.2989,6,0.3529,-53332.3,-5.3332,0.0,-0.8748,-5.2486
0e4b5080,bull,s84|s69|s54,3,0.0204678694,0.0134733859,7.7326,0.0,-2.2994,8,75.0,0.039845,3,0.375,27329.56,2.733,66.6667,0.9154,2.7462,4,0.5,50267.18,5.0267,75.0,1.1983,4.793,1,0.125,20502.6,2.0503,100.0,2.0468,2.0468
18e06ff4,bull,s38|s14|s94|s44,4,0.0184293009,0.0098209671,1.9054,0.0,-5.5154,15,46.6667,0.039323,4,0.2667,17292.67,1.7293,50.0,0.4304,1.7217,6,0.4,54677.29,5.4677,66.6667,0.9013,5.4075,5,0.3333,-22284.32,-2.2284,20.0,-0.4171,-2.0855
030dbf8b,bull,s24|s5|s1,3,0.0206366903,0.0128968166,5.3283,0.0,-3.7706,10,60.0,0.038,4,0.4,49205.34,4.9205,75.0,1.2253,4.9013,4,0.4,51253.52,5.1254,75.0,1.2253,4.9013,2,0.2,-27723.03,-2.7723,0.0,-1.2897,-2.5794
31072dba,bull,s43|s59|s27,3,0.0221471155,0.0132567161,4.3631,0.0,-4.3083,11,54.5455,0.036996,3,0.2727,31288.2,3.1288,66.6667,1.0346,3.1038,3,0.2727,31676.92,3.1677,66.6667,1.0346,3.1038,5,0.4545,3435.41,0.3435,40.0,0.0905,0.4524
6a5cc66c,bull,s53|s58|s27,3,0.0228694702,0.0113695721,4.4004,0.0,-5.0499,12,50.0,0.036588,5,0.4167,46323.73,4.6324,60.0,0.9174,4.5869,2,0.1667,11908.53,1.1909,50.0,0.575,1.15,5,0.4167,10792.43,1.0792,40.0,0.2326,1.163
