id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
fd3bdad4,bull,s8|s21|s33|s59,4,0.0782621692,0.019482152,90.4214,0.0,-7.6124,41,41.4634,0.379856,-13.1844,0.0,-16.7168,10,10.0,-0.014578
b7d2ecbb,bull,s33|s9|s73|s21,4,0.0728403544,0.0152630601,84.8846,0.0,-5.7247,39,41.0256,0.347444,-0.3009,0.0,-7.4502,9,22.2222,0.00776
a184cad1,bull,s94|s59|s78|s21|s36,5,0.0569647855,0.0183823464,63.5528,0.0,-12.0933,47,44.6809,0.330856,-1.6156,0.0,-4.4055,4,25.0,0.004426
776567f4,bear,s18|s76|s99|s23|s86,5,0.0783156013,0.0190787892,55.4683,0.0,-17.0118,34,38.2353,0.19417,20.5208,0.0,-13.5628,49,28.5714,0.124567
9c98c8a0,bull,s21|s93|s73|s82|s9,5,0.0797408798,0.0154775934,71.8663,0.0,-11.1617,43,34.8837,0.308423,-1.1219,0.0,-7.5285,10,20.0,0.006585
0cc353c4,bull,s46|s82|s41|s21,4,0.0736517036,0.019931591,73.8058,0.0,-21.6238,64,35.9375,0.338164,-14.1487,0.0,-25.4109,29,20.6897,-0.04104
d8875851,bull,s47|s10|s15|s96,4,0.0712870904,0.0190489747,64.27,0.0,-23.1957,81,33.3333,0.287493,-8.1948,0.0,-14.4018,11,18.1818,-0.004717
0ef11881,bear,s61|s86|s90|s19|s71,5,0.0651596613,0.0194349448,34.6627,0.0,-19.1869,40,37.5,0.154872,28.3946,0.0,-7.5761,28,39.2857,0.116876
980c9800,bull,s84|s94|s59|s34,4,0.0556258488,0.0179215867,55.89,0.0,-14.7363,42,45.2381,0.264655,5.1254,0.0,-0.5627,1,100.0,0.006376
31b6b361,bull,s33|s54|s21|s96,4,0.0514176203,0.014908359,49.3036,0.0,-7.3211,44,43.1818,0.268221,-5.8125,0.0,-12.1822,10,20.0,4.1e-05
8f177616,bull,s34|s21|s33|s55,4,0.0580248938,0.0195314888,46.699,0.0,-9.0445,48,41.6667,0.273276,-10.7303,0.0,-10.7303,8,12.5,-0.006018
3503b3c2,bull,s21|s83|s9,3,0.0775934663,0.0175935109,52.0698,0.0,-14.1104,53,32.0755,0.262174,-6.8085,0.0,-9.797,16,18.75,-0.00012
2b9951fc,bull,s68|s4|s93|s21|s9,5,0.0795881991,0.0166371662,46.5282,0.0,-14.4345,49,30.6122,0.229953,13.1843,0.0,-7.9732,12,33.3333,0.030916
