id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
862af6ce,bull,s55|s24|s35|s14,4,0.0648807563,0.0189764948,89.2189,0.0,-20.5608,129,31.7829,0.390542,53,0.4109,297432.51,29.7433,28.3019,0.4757,25.2105,45,0.3488,1059421.21,105.9421,42.2222,1.643,73.9346,31,0.2403,-13964.31,-1.3964,22.5806,-0.0041,-0.1271
483f039a,bull,s4|s53|s68,3,0.0630177524,0.0146815332,77.4452,0.0,-13.0426,83,31.3253,0.364629,31,0.3735,67577.83,6.7578,22.5806,0.2863,8.8767,35,0.4217,751641.23,75.1641,40.0,1.6398,57.3936,17,0.2048,210921.09,21.0921,29.4118,0.8171,13.891
fcc43471,bull,s69|s46|s21|s5|s15,5,0.0633301136,0.0199965479,74.7846,0.0,-15.8685,96,34.375,0.354658,47,0.4896,142023.89,14.2024,27.6596,0.3051,14.3409,31,0.3229,693233.48,69.3233,45.1613,1.7635,54.668,18,0.1875,195782.05,19.5782,33.3333,0.7779,14.0022
be1ffd15,bull,s42|s78|s91,3,0.0608749813,0.0178177937,78.3202,0.0,-19.6802,121,32.2314,0.350934,46,0.3802,658960.95,65.8961,36.9565,1.1264,51.8159,38,0.314,550080.36,55.008,36.8421,1.1174,42.4623,37,0.3058,-64928.97,-6.4929,21.6216,-0.0803,-2.9716
addcba81,bull,s15|s64|s27,3,0.0772846665,0.0190763696,89.95,0.0,-32.3435,162,26.5432,0.342399,59,0.3642,477839.18,47.7839,27.1186,0.7055,41.6271,45,0.2778,1145920.07,114.592,37.7778,1.7327,77.9701,58,0.358,-268494.51,-26.8495,17.2414,-0.2462,-14.2819
a0052c6b,bull,s63|s91|s1|s15,4,0.0635488057,0.0187873781,66.6735,0.0,-14.5997,52,38.4615,0.338279,20,0.3846,437738.17,43.7738,45.0,1.8264,36.5278,18,0.3462,164715.48,16.4715,33.3333,0.8658,15.5844,14,0.2692,211746.93,21.1747,35.7143,1.0618,14.8658
bb3a2a62,bull,s63|s69|s91,3,0.0705170292,0.0191998051,72.8719,0.0,-15.4989,97,30.9278,0.337774,39,0.4021,687540.33,68.754,35.8974,1.3006,50.7243,31,0.3196,461089.71,46.109,35.4839,1.2635,39.1691,27,0.2784,-125678.84,-12.5679,18.5185,-0.2586,-6.9811
7422484e,bull,s7|s91|s48|s9,4,0.0705754482,0.0148138788,75.7973,0.0,-16.6445,104,26.9231,0.334025,44,0.4231,619511.37,61.9511,31.8182,1.2355,54.364,30,0.2885,304350.69,30.4351,26.6667,0.7957,23.8698,30,0.2885,88336.83,8.8337,20.0,0.2264,6.792
92ed8c37,bull,s48|s84|s14,3,0.0783654007,0.016841976,75.1297,0.0,-8.8471,43,34.8837,0.325621,26,0.6047,399175.03,39.9175,30.7692,1.2453,32.3768,13,0.3023,418722.45,41.8722,46.1538,2.71,35.2299,4,0.093,58211.18,5.8211,25.0,0.696,2.7839
b8869a7d,bull,s41|s1|s59|s75,4,0.0591225073,0.0197248252,61.2325,0.0,-15.8191,66,37.8788,0.311109,22,0.3333,161769.13,16.1769,31.8182,0.5363,11.7985,32,0.4848,541398.03,54.1398,43.75,1.4771,47.2668,12,0.1818,101536.59,10.1537,33.3333,0.6558,7.8691
0705cd9d,bull,s84|s68|s10,3,0.0410639348,0.0197586299,46.5453,0.0,-8.5208,53,49.0566,0.307789,33,0.6226,291831.47,29.1831,45.4545,0.7888,26.0304,13,0.2453,301289.58,30.129,69.2308,2.2349,29.0541,7,0.1321,-15035.82,-1.5036,28.5714,-0.2381,-1.6665
9169f2aa,bull,s14|s46|s91,3,0.0668046026,0.019420172,70.7091,0.0,-29.052,111,31.5315,0.290275,40,0.3604,418234.96,41.8235,32.5,0.8603,34.4115,37,0.3333,752948.47,75.2948,40.5405,1.5536,57.4825,34,0.3063,-126303.34,-12.6303,20.5882,-0.1668,-5.6712
cb321fb6,bull,s70|s14|s94|s24,4,0.0579314488,0.0180937203,62.7089,0.0,-19.2619,130,32.3077,0.289973,52,0.4,430249.07,43.0249,32.6923,0.6761,35.1554,52,0.4,742607.71,74.2608,38.4615,1.1147,57.963,26,0.2,-160152.37,-16.0152,19.2308,-0.3473,-9.0311
2a07a309,bull,s6|s36,2,0.0616158996,0.0177345429,58.8912,0.0,-15.7571,78,33.3333,0.288293,39,0.5,418315.36,41.8315,33.3333,0.8716,33.9909,27,0.3462,368649.71,36.865,37.037,1.1655,31.4672,12,0.1538,25179.68,2.518,25.0,0.2103,2.5237
1688f397,bull,s46|s70|s91,3,0.0633686523,0.0190048055,67.9313,0.0,-25.7876,132,31.0606,0.287544,58,0.4394,447413.07,44.7413,31.0345,0.6559,38.0444,37,0.2803,813604.08,81.3604,43.2432,1.6616,61.4798,37,0.2803,-216215.57,-21.6216,18.9189,-0.3421,-12.6564
d41e7cfc,bull,s9|s83|s21,3,0.0333536187,0.0164008723,39.5393,0.0,-7.4979,48,52.0833,0.280237,20,0.4167,194165.34,19.4165,50.0,0.8476,16.9527,14,0.2917,179430.75,17.9431,57.1429,1.203,16.8424,14,0.2917,129289.9,12.929,50.0,0.8476,11.8669
e66b2149,bull,s48|s53|s75,3,0.063641615,0.0190051188,57.8147,0.0,-16.1235,47,38.2979,0.279915,14,0.2979,-40676.28,-4.0676,21.4286,-0.1295,-1.8131,25,0.5319,743465.92,74.3466,52.0,2.3971,59.928,8,0.1702,19045.34,1.9045,25.0,0.1657,1.3253
124e075e,bull,s73|s15|s7|s43|s12,5,0.0664376395,0.0184823448,69.4135,0.0,-30.2623,115,30.4348,0.278172,47,0.4087,-31634.36,-3.1634,23.4043,0.1393,6.545,44,0.3826,995432.97,99.5433,40.9091,1.6258,71.5337,24,0.2087,104622.58,10.4623,25.0,0.2748,6.5944
01297f2a,bull,s69|s14|s45,3,0.0773647051,0.0190689797,68.7059,0.0,-26.627,112,27.6786,0.277978,45,0.4018,251437.75,25.1438,24.4444,0.4504,20.2666,39,0.3482,892751.12,89.2751,38.4615,1.8021,70.2815,28,0.25,-106664.0,-10.6664,17.8571,-0.1849,-5.1763
b0eab91c,bull,s69|s44|s21|s11|s42,5,0.0718664308,0.0197682783,65.9079,0.0,-24.9109,115,29.5652,0.277595,48,0.4174,344518.49,34.4518,29.1667,0.6959,33.4009,41,0.3565,450041.29,45.0041,31.7073,0.9287,38.0752,26,0.2261,173901.28,17.3901,26.9231,0.4903,12.7468
92568f2b,bull,s70|s63|s5,3,0.0591405137,0.0153890879,61.9562,0.0,-21.4148,122,29.5082,0.272105,58,0.4754,438765.32,43.8765,29.3103,0.6456,37.4436,40,0.3279,431632.78,43.1633,32.5,0.8833,35.3321,24,0.1967,100605.86,10.0606,25.0,0.3243,7.7839
0df499f1,bull,s41|s55|s64|s74,4,0.0764732303,0.0186861841,66.2777,0.0,-24.8424,119,26.8908,0.271256,57,0.479,288991.33,28.8991,24.5614,0.4686,26.7119,40,0.3361,943305.54,94.3306,37.5,1.6999,67.9944,22,0.1849,-226347.78,-22.6348,13.6364,-0.571,-12.5618
c0e20d2f,bull,s2|s91|s47|s8,4,0.0717081853,0.0083756319,61.7814,0.0,-12.4205,94,20.2128,0.270502,39,0.4149,466593.98,46.6594,23.0769,1.0105,39.4105,35,0.3723,503407.37,50.3407,25.7143,1.2217,42.7607,20,0.2128,-108796.46,-10.8796,5.0,-0.4371,-8.7429
88535d1b,bull,s58|s65|s11,3,0.0799240749,0.0191653185,71.6233,0.0,-32.7356,141,26.2411,0.26701,62,0.4397,-47133.05,-4.7133,20.9677,0.1611,9.9912,40,0.2837,1184884.51,118.4885,40.0,2.047,81.8818,39,0.2766,50930.99,5.0931,20.5128,0.1161,4.5268
53ff8962,bull,s48|s58|s36|s65,4,0.0600983932,0.0198106079,62.2368,0.0,-27.0221,160,31.875,0.263506,67,0.4188,71633.57,7.1634,26.8657,0.1657,11.1051,53,0.3312,1081765.17,108.1765,43.3962,1.4867,78.7945,40,0.25,1245.86,0.1246,25.0,0.0167,0.6666
4c238859,bull,s1|s24|s58,3,0.0768569281,0.0196783623,65.164,0.0,-26.4775,148,27.027,0.262304,63,0.4257,-23956.92,-2.3957,22.2222,0.1774,11.1757,45,0.3041,1224295.87,122.4296,40.0,1.8936,85.2109,40,0.2703,-57292.47,-5.7292,20.0,-0.0371,-1.4852
b9a6aa47,bull,s42|s53|s26,3,0.0635010883,0.0148870354,55.1282,0.0,-16.9403,73,30.137,0.260103,26,0.3562,-65359.88,-6.536,19.2308,0.0188,0.4878,35,0.4795,741693.99,74.1694,40.0,1.6468,57.6387,12,0.1644,90575.0,9.0575,25.0,0.471,5.652
d9d1ee9c,bull,s84|s1|s91,3,0.0706035267,0.0198998041,62.783,0.0,-26.4016,126,29.3651,0.260023,63,0.5,395616.61,39.5617,28.5714,0.5958,37.5372,36,0.2857,582510.37,58.251,36.1111,1.2782,46.015,27,0.2143,-12543.01,-1.2543,22.2222,0.0212,0.5725
73104aac,bull,s42|s9|s73,3,0.0755376428,0.0192210703,64.095,0.0,-27.1174,103,28.1553,0.259494,48,0.466,403675.19,40.3675,29.1667,0.8417,40.4011,29,0.2816,378216.34,37.8216,31.0345,1.0187,29.5417,26,0.2524,90642.15,9.0642,23.0769,0.2646,6.8804
64986568,bull,s53|s59|s10,3,0.0603349348,0.0157378122,55.8647,0.0,-19.6428,79,31.6456,0.259467,32,0.4051,108368.01,10.8368,25.0,0.328,10.4972,34,0.4304,750427.87,75.0428,44.1176,1.7824,60.6006,13,0.1646,-81136.91,-8.1137,15.3846,-0.4034,-5.2446
ea8b9e49,bull,s59|s43|s46|s12|s53,5,0.0617683056,0.0190219999,55.8426,0.0,-23.3572,68,35.2941,0.259181,35,0.5147,28666.91,2.8667,25.7143,0.1753,6.1343,25,0.3676,837145.34,83.7145,56.0,2.6221,65.5514,8,0.1176,-110786.64,-11.0787,12.5,-0.8923,-7.1386
2d2329b1,bull,s91|s70|s38,3,0.0780699718,0.0180300734,63.0647,0.0,-23.9885,115,26.087,0.258554,48,0.4174,694810.72,69.4811,31.25,1.2001,57.6057,32,0.2783,479714.78,47.9715,31.25,1.2001,38.4038,35,0.3043,-234298.47,-23.4298,14.2857,-0.4301,-15.0552
4f491c85,bull,s24|s95|s53,3,0.077807731,0.0193775881,53.997,0.0,-16.5468,63,30.1587,0.256824,23,0.3651,156600.77,15.6601,26.087,0.5975,13.7427,26,0.4127,676079.86,67.608,42.3077,2.1739,56.5221,14,0.2222,-111080.59,-11.1081,14.2857,-0.5494,-7.6916
d1d31fff,bull,s94|s6|s43|s96,4,0.0729829504,0.0167033758,55.084,0.0,-17.8885,64,29.6875,0.255733,30,0.4688,459059.16,45.9059,33.3333,1.3192,39.5762,23,0.3594,280139.32,28.0139,30.4348,1.0592,24.3627,11,0.1719,-12324.6,-1.2325,18.1818,-0.0397,-0.4364
c5f87a83,bull,s42|s69,2,0.0583962328,0.0196668433,53.931,0.0,-21.2166,110,33.6364,0.252983,51,0.4636,159620.23,15.962,29.4118,0.3293,16.7937,39,0.3545,592017.09,59.2017,41.0256,1.2359,48.2002,20,0.1818,112666.92,11.2667,30.0,0.3752,7.5042
7d4ca283,bull,s84|s41|s91|s64,4,0.050297405,0.0174051449,59.1679,0.0,-27.757,179,32.9609,0.252283,77,0.4302,399982.89,39.9983,32.4675,0.4576,35.2368,49,0.2737,738542.71,73.8543,42.8571,1.161,56.8901,53,0.2961,-83388.93,-8.3389,24.5283,-0.0799,-4.234
ecd140e7,bull,s8|s60|s27,3,0.0581247688,0.0197497949,67.5016,0.0,-38.242,180,32.2222,0.251947,70,0.3889,19057.88,1.9058,27.1429,0.1388,9.7131,54,0.3,1321099.16,132.1099,46.2963,1.6303,88.0375,56,0.3111,-105425.59,-10.5426,25.0,-0.0281,-1.5745
3b791a0b,bull,s60|s91|s9|s79,4,0.0689247587,0.0141198098,56.0177,0.0,-19.8476,82,26.8293,0.245016,40,0.4878,363335.37,36.3335,27.5,0.8717,34.8698,29,0.3537,430799.67,43.08,31.0345,1.1653,33.7927,13,0.1585,-17055.87,-1.7056,15.3846,-0.1344,-1.7468
73afe797,bull,s84|s64,2,0.0713267014,0.0193048615,47.0589,0.0,-13.6667,65,30.7692,0.239543,47,0.7231,281549.8,28.155,27.6596,0.5763,27.0882,12,0.1846,331374.88,33.1375,50.0,2.6011,31.2131,6,0.0923,-30236.53,-3.0237,16.6667,-0.42,-2.5198
8c31504f,bull,s91|s5|s14,3,0.05118655,0.0169583034,54.1469,0.0,-25.3773,174,32.1839,0.237007,73,0.4195,274212.71,27.4213,30.137,0.3579,26.1231,58,0.3333,747329.75,74.733,39.6552,1.0065,58.375,43,0.2471,10088.95,1.0089,25.5814,0.0474,2.0386
