id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
862af6ce,bull,s55|s24|s35|s14,4,0.0648807563,0.0189764948,89.2189,0.0,-20.5608,129,31.7829,0.390542,53,0.4109,297432.51,29.7433,28.3019,0.4757,25.2105,45,0.3488,1059421.21,105.9421,42.2222,1.643,73.9346,31,0.2403,-13964.31,-1.3964,22.5806,-0.0041,-0.1271,-7.9092,-0.9001,-16.4787,20,20.0,-0.008429,16,0.8,11426.81,1.1427,25.0,0.1988,3.1805,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.2,-65163.88,-6.5164,0.0,-1.8976,-7.5906
fcc43471,bull,s69|s46|s21|s5|s15,5,0.0633301136,0.0199965479,74.7846,0.0,-15.8685,96,34.375,0.354658,47,0.4896,142023.89,14.2024,27.6596,0.3051,14.3409,31,0.3229,693233.48,69.3233,45.1613,1.7635,54.668,18,0.1875,195782.05,19.5782,33.3333,0.7779,14.0022,1.4264,0.1202,-11.3674,19,26.3158,0.019209,10,0.5263,38952.33,3.8952,30.0,0.5001,5.0015,1,0.0526,-20069.71,-2.007,0.0,-1.9997,-1.9997,8,0.4211,3176.22,0.3176,25.0,0.0835,0.6681
483f039a,bull,s4|s53|s68,3,0.0630177524,0.0146815332,77.4452,0.0,-13.0426,83,31.3253,0.364629,31,0.3735,67577.83,6.7578,22.5806,0.2863,8.8767,35,0.4217,751641.23,75.1641,40.0,1.6398,57.3936,17,0.2048,210921.09,21.0921,29.4118,0.8171,13.891,-3.1903,-0.4533,-8.1566,13,15.3846,0.00232,9,0.6923,-51470.34,-5.147,11.1111,-0.6048,-5.4435,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.3077,16979.37,1.6979,25.0,0.4743,1.8973
bb3a2a62,bull,s63|s69|s91,3,0.0705170292,0.0191998051,72.8719,0.0,-15.4989,97,30.9278,0.337774,39,0.4021,687540.33,68.754,35.8974,1.3006,50.7243,31,0.3196,461089.71,46.109,35.4839,1.2635,39.1691,27,0.2784,-125678.84,-12.5679,18.5185,-0.2586,-6.9811,0.1115,0.0103,-10.7885,21,23.8095,0.016594,13,0.619,10366.45,1.0366,23.0769,0.1504,1.9553,0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.381,19699.86,1.97,25.0,0.3229,2.5835
a0052c6b,bull,s63|s91|s1|s15,4,0.0635488057,0.0187873781,66.6735,0.0,-14.5997,52,38.4615,0.338279,20,0.3846,437738.17,43.7738,45.0,1.8264,36.5278,18,0.3462,164715.48,16.4715,33.3333,0.8658,15.5844,14,0.2692,211746.93,21.1747,35.7143,1.0618,14.8658,2.7599,0.3158,-9.3454,11,27.2727,0.014261,10,0.9091,57136.14,5.7136,30.0,0.5913,5.9135,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0909,-19142.18,-1.9142,0.0,-1.8787,-1.8787
92ed8c37,bull,s48|s84|s14,3,0.0783654007,0.016841976,75.1297,0.0,-8.8471,43,34.8837,0.325621,26,0.6047,399175.03,39.9175,30.7692,1.2453,32.3768,13,0.3023,418722.45,41.8722,46.1538,2.71,35.2299,4,0.093,58211.18,5.8211,25.0,0.696,2.7839,8.0965,0.7665,-10.3491,16,25.0,0.024428,7,0.4375,63153.63,6.3154,28.5714,1.036,7.2521,0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.5625,32687.01,3.2687,22.2222,0.4315,3.8837
9169f2aa,bull,s14|s46|s91,3,0.0668046026,0.019420172,70.7091,0.0,-29.052,111,31.5315,0.290275,40,0.3604,418234.96,41.8235,32.5,0.8603,34.4115,37,0.3333,752948.47,75.2948,40.5405,1.5536,57.4825,34,0.3063,-126303.34,-12.6303,20.5882,-0.1668,-5.6712,1.2564,0.0899,-13.283,35,25.7143,0.029624,17,0.4857,3283.94,0.3284,23.5294,0.0868,1.4756,1,0.0286,-17642.39,-1.7642,0.0,-1.942,-1.942,17,0.4857,81514.7,8.1515,29.4118,0.594,10.0981
ecd140e7,bull,s8|s60|s27,3,0.0581247688,0.0197497949,67.5016,0.0,-38.242,180,32.2222,0.251947,70,0.3889,19057.88,1.9058,27.1429,0.1388,9.7131,54,0.3,1321099.16,132.1099,46.2963,1.6303,88.0375,56,0.3111,-105425.59,-10.5426,25.0,-0.0281,-1.5745,16.042,1.0879,-15.744,25,36.0,0.062468,9,0.36,133143.11,13.3143,44.4444,1.4861,13.375,1,0.04,56329.42,5.6329,100.0,5.8125,5.8125,15,0.6,6175.06,0.6175,26.6667,0.1017,1.5251
b8869a7d,bull,s41|s1|s59|s75,4,0.0591225073,0.0197248252,61.2325,0.0,-15.8191,66,37.8788,0.311109,22,0.3333,161769.13,16.1769,31.8182,0.5363,11.7985,32,0.4848,541398.03,54.1398,43.75,1.4771,47.2668,12,0.1818,101536.59,10.1537,33.3333,0.6558,7.8691,-6.7707,-1.1445,-12.62,7,14.2857,-0.003092,5,0.7143,-19844.25,-1.9844,20.0,-0.3955,-1.9777,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2857,-35200.84,-3.5201,0.0,-1.9725,-3.945
2a07a309,bull,s6|s36,2,0.0616158996,0.0177345429,58.8912,0.0,-15.7571,78,33.3333,0.288293,39,0.5,418315.36,41.8315,33.3333,0.8716,33.9909,27,0.3462,368649.71,36.865,37.037,1.1655,31.4672,12,0.1538,25179.68,2.518,25.0,0.2103,2.5237,7.1039,0.6964,-6.6579,9,33.3333,0.01952,7,0.7778,105432.52,10.5433,42.8571,1.6273,11.391,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2222,-33217.92,-3.3218,0.0,-1.7735,-3.5469
