id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
592468d0,bull,s94|s6|s43|s96,4,0.0729829504,0.0167033758,58.3984,0.0,-19.825,96,27.0833,0.255369,45,0.4688,802897.53,80.2898,35.5556,1.5185,68.3329,31,0.3229,22675.74,2.2676,19.3548,0.0655,2.0313,20,0.2083,18138.48,1.8138,20.0,0.1234,2.4678
79691fb0,bull,s15|s10,2,0.0578921147,0.0184837872,50.9966,0.0,-17.1492,107,32.7103,0.25067,57,0.5327,428731.15,42.8731,33.3333,0.6975,39.7566,33,0.3084,587353.58,58.7354,42.4242,1.3918,45.9298,17,0.1589,-228842.97,-22.8843,11.7647,-0.9498,-16.1473
06daa46e,bull,s94|s10|s26,3,0.0594030223,0.0188399434,52.7989,0.0,-26.0891,82,34.1463,0.235367,26,0.3171,419920.74,41.9921,42.3077,1.4263,37.0834,32,0.3902,400890.6,40.0891,37.5,1.0501,33.6037,24,0.2927,-86114.14,-8.6114,20.8333,-0.2539,-6.0944
d479996c,bull,s21|s87|s14,3,0.0618328818,0.0117329888,52.9714,0.0,-11.6627,42,33.3333,0.232594,21,0.5,211017.26,21.1017,28.5714,0.9286,19.5002,15,0.3571,327872.82,32.7873,40.0,1.7693,26.54,6,0.1429,99924.04,9.9924,33.3333,1.2789,7.6734
7a7876d9,bull,s42|s55|s60|s94,4,0.0540717929,0.0153537137,40.528,0.0,-14.6871,78,32.0513,0.214205,28,0.359,193321.17,19.3321,32.1429,0.6962,19.4926,28,0.359,380927.48,38.0927,39.2857,1.1921,33.3777,22,0.2821,17427.4,1.7427,22.7273,0.0425,0.9346
a0d562a0,bull,s3|s15|s42|s95|s46,5,0.0477554229,0.0198761184,38.5961,0.0,-19.6262,91,38.4615,0.21089,55,0.6044,259273.49,25.9273,36.3636,0.4717,25.9444,29,0.3187,349035.81,34.9036,44.8276,1.0441,30.2803,7,0.0769,-8240.66,-0.8241,28.5714,-0.0553,-0.387
a2170eb7,bull,s94|s45|s43,3,0.077986115,0.0190588349,46.6076,0.0,-22.9982,53,30.1887,0.208002,24,0.4528,528490.73,52.8491,41.6667,2.1377,51.3037,18,0.3396,92609.18,9.2609,22.2222,0.2507,4.5121,11,0.2075,-28713.84,-2.8714,18.1818,-0.1414,-1.5557
f9428fdd,bull,s78|s96,2,0.0623730938,0.0199177516,42.0871,0.0,-23.4371,57,35.0877,0.2033,26,0.4561,429536.05,42.9536,42.3077,1.4898,38.7338,20,0.3509,322081.87,32.2082,40.0,1.2999,25.9972,11,0.193,-183677.03,-18.3677,9.0909,-1.2437,-13.6804
dd1ca6ec,bull,s75|s35|s96,3,0.06184392,0.0192809787,50.6223,0.0,-30.0795,166,30.1205,0.202612,65,0.3916,642038.93,64.2039,35.3846,0.9425,61.2609,67,0.4036,481348.14,48.1348,31.3433,0.6146,41.1797,34,0.2048,-218205.97,-21.8206,17.6471,-0.4965,-16.8804
54ddbf85,bull,s44|s14|s94,3,0.0781008272,0.019928596,53.2208,0.0,-31.9138,153,26.1438,0.195573,60,0.3922,388783.8,38.8784,26.6667,0.6213,37.2755,57,0.3725,574337.13,57.4337,29.8246,0.9308,53.057,36,0.2353,-61602.06,-6.1602,19.4444,-0.0867,-3.1223
e1046f62,bull,s21|s14,2,0.0746392063,0.0145325808,54.7391,0.0,-6.3082,31,35.4839,0.19002,15,0.4839,260248.26,26.0248,33.3333,1.5191,22.787,11,0.3548,347615.58,34.7616,45.4545,2.6,28.6001,5,0.1613,20702.92,2.0703,20.0,0.3302,1.6509
6d243809,bear,s67|s101|s86,3,0.065599389,0.0176412338,36.8502,0.0,-17.5004,54,31.4815,0.189344,33,0.6111,72631.23,7.2631,24.2424,0.2538,8.3764,3,0.0556,35479.18,3.5479,33.3333,1.0106,3.0317,18,0.3333,377841.6,37.7842,44.4444,1.9355,34.8383
5caaabb9,bull,s60|s65|s42|s10,4,0.0784326538,0.0185224944,53.6315,0.0,-35.4668,134,25.3731,0.184245,62,0.4627,143382.31,14.3382,22.5806,0.3371,20.8977,54,0.403,619728.1,61.9728,29.6296,1.0205,55.1068,18,0.1343,87530.98,8.7531,22.2222,0.3023,5.4416
2545a1c7,bull,s43|s48|s96,3,0.0767701015,0.0198473248,42.8607,0.0,-24.3462,116,26.7241,0.178577,58,0.5,557696.49,55.7696,31.0345,1.0137,58.7969,41,0.3534,74585.8,7.4586,21.9512,0.1361,5.5817,17,0.1466,34249.82,3.425,23.5294,0.2886,4.9065
