id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
592468d0,bull,s94|s6|s43|s96,4,0.0729829504,0.0167033758,58.3984,0.0,-19.825,96,27.0833,0.255369,45,0.4688,802897.53,80.2898,35.5556,1.5185,68.3329,31,0.3229,22675.74,2.2676,19.3548,0.0655,2.0313,20,0.2083,18138.48,1.8138,20.0,0.1234,2.4678,0.297,0.0217,-16.8408,23,21.7391,0.007306,9,0.3913,-65646.7,-6.5647,11.1111,-0.6738,-6.0644,0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.6087,115365.15,11.5365,28.5714,0.8921,12.4898
79691fb0,bull,s15|s10,2,0.0578921147,0.0184837872,50.9966,0.0,-17.1492,107,32.7103,0.25067,57,0.5327,428731.15,42.8731,33.3333,0.6975,39.7566,33,0.3084,587353.58,58.7354,42.4242,1.3918,45.9298,17,0.1589,-228842.97,-22.8843,11.7647,-0.9498,-16.1473,-8.8346,-1.0648,-11.8462,19,21.0526,-0.002933,15,0.7895,-51065.7,-5.1066,20.0,-0.3209,-4.8129,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.2105,284.3,0.0284,25.0,0.061,0.2441
06daa46e,bull,s94|s10|s26,3,0.0594030223,0.0188399434,52.7989,0.0,-26.0891,82,34.1463,0.235367,26,0.3171,419920.74,41.9921,42.3077,1.4263,37.0834,32,0.3902,400890.6,40.0891,37.5,1.0501,33.6037,24,0.2927,-86114.14,-8.6114,20.8333,-0.2539,-6.0944,-1.8604,-0.314,-8.8089,5,20.0,0.002613,1,0.2,-18651.29,-1.8651,0.0,-1.884,-1.884,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,888.42,0.0888,25.0,0.0721,0.2883
aff10d21,bear,s66|s86|s99,3,0.0598927458,0.0182746558,20.1652,0.0,-16.8024,36,33.3333,0.093783,24,0.6667,-64012.19,-6.4012,20.8333,-0.199,-4.7755,1,0.0278,63577.76,6.3578,100.0,5.9893,5.9893,11,0.3056,279155.5,27.9155,54.5455,2.4362,26.7983,21.5616,0.8281,-14.2322,59,30.5085,0.135075,27,0.4576,-218335.93,-21.8336,14.8148,-0.6694,-18.0746,3,0.0508,200643.17,20.0643,100.0,5.9893,17.9678,29,0.4915,340584.34,34.0584,37.931,1.1375,32.9876
8ddb9c14,bear,s86|s101|s66,3,0.072725245,0.0144672683,36.4328,0.0,-15.3506,58,25.8621,0.177266,35,0.6034,100042.48,10.0042,20.0,0.2971,10.3993,3,0.0517,48364.17,4.8364,33.3333,1.4597,4.3791,20,0.3448,344213.56,34.4214,35.0,1.605,32.1002,12.1753,0.5672,-15.7309,34,23.5294,0.049026,15,0.4412,-148431.72,-14.8432,6.6667,-0.8654,-12.9817,3,0.0882,251803.38,25.1803,100.0,7.2725,21.8176,16,0.4706,93846.15,9.3846,25.0,0.7331,11.7294
a0d562a0,bull,s3|s15|s42|s95|s46,5,0.0477554229,0.0198761184,38.5961,0.0,-19.6262,91,38.4615,0.21089,55,0.6044,259273.49,25.9273,36.3636,0.4717,25.9444,29,0.3187,349035.81,34.9036,44.8276,1.0441,30.2803,7,0.0769,-8240.66,-0.8241,28.5714,-0.0553,-0.387,-2.0761,-0.389,-4.3114,7,28.5714,0.009027,3,0.4286,6477.57,0.6478,33.3333,0.2668,0.8003,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5714,-13275.53,-1.3276,25.0,-0.2968,-1.1873
6d243809,bear,s67|s101|s86,3,0.065599389,0.0176412338,36.8502,0.0,-17.5004,54,31.4815,0.189344,33,0.6111,72631.23,7.2631,24.2424,0.2538,8.3764,3,0.0556,35479.18,3.5479,33.3333,1.0106,3.0317,18,0.3333,377841.6,37.7842,44.4444,1.9355,34.8383,4.0157,0.2147,-17.9747,35,25.7143,0.027497,16,0.4571,-220477.21,-22.0477,6.25,-1.2439,-19.9019,3,0.0857,220520.15,22.052,100.0,6.5599,19.6798,16,0.4571,116835.98,11.6836,31.25,0.8371,13.3943
d479996c,bull,s21|s87|s14,3,0.0618328818,0.0117329888,52.9714,0.0,-11.6627,42,33.3333,0.232594,21,0.5,211017.26,21.1017,28.5714,0.9286,19.5002,15,0.3571,327872.82,32.7873,40.0,1.7693,26.54,6,0.1429,99924.04,9.9924,33.3333,1.2789,7.6734,-12.88,-3.7604,-12.88,10,0.0,-0.018032,9,0.9,-98583.58,-9.8584,0.0,-1.1733,-10.5597,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1,-11552.85,-1.1553,0.0,-1.1733,-1.1733
a2170eb7,bull,s94|s45|s43,3,0.077986115,0.0190588349,46.6076,0.0,-22.9982,53,30.1887,0.208002,24,0.4528,528490.73,52.8491,41.6667,2.1377,51.3037,18,0.3396,92609.18,9.2609,22.2222,0.2507,4.5121,11,0.2075,-28713.84,-2.8714,18.1818,-0.1414,-1.5557,-4.1523,-1.1511,-6.1431,2,0.0,-0.001402,2,1.0,-37613.37,-3.7613,0.0,-1.9059,-3.8118,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
7a7876d9,bull,s42|s55|s60|s94,4,0.0540717929,0.0153537137,40.528,0.0,-14.6871,78,32.0513,0.214205,28,0.359,193321.17,19.3321,32.1429,0.6962,19.4926,28,0.359,380927.48,38.0927,39.2857,1.1921,33.3777,22,0.2821,17427.4,1.7427,22.7273,0.0425,0.9346,-9.9358,-3.8497,-9.9358,6,0.0,-0.008346,5,0.8333,-73435.93,-7.3436,0.0,-1.5354,-7.6769,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1667,-14549.27,-1.4549,0.0,-1.5354,-1.5354
ab7cac2a,bull,s88|s93|s64|s96,4,0.026718014,0.0169997785,14.5239,0.0,-13.2913,77,48.0519,0.162377,49,0.6364,374917.16,37.4917,55.102,0.709,34.7391,5,0.0649,47565.33,4.7565,60.0,0.9231,4.6154,23,0.2987,-102772.45,-10.2772,30.4348,-0.3694,-8.497,-5.6388,-0.601,-14.9303,38,39.4737,0.038817,17,0.4474,10115.86,1.0116,41.1765,0.1002,1.7028,0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.5526,-11643.65,-1.1644,38.0952,-0.0345,-0.7253
22e62ce6,bear,s17|s101|s86|s61,4,0.0621523183,0.019305093,13.7797,0.0,-22.021,72,29.1667,0.076556,41,0.5694,-209413.49,-20.9413,17.0732,-0.5398,-22.1307,3,0.0417,16071.42,1.6071,33.3333,0.7847,2.3542,28,0.3889,463815.84,46.3816,46.4286,1.8514,51.8404,25.4862,1.1031,-10.9802,34,35.2941,0.118923,13,0.3824,-24524.88,-2.4525,23.0769,-0.0507,-0.6594,3,0.0882,228111.64,22.8112,100.0,6.2152,18.6457,18,0.5294,130489.79,13.049,33.3333,0.7847,14.1253
f9428fdd,bull,s78|s96,2,0.0623730938,0.0199177516,42.0871,0.0,-23.4371,57,35.0877,0.2033,26,0.4561,429536.05,42.9536,42.3077,1.4898,38.7338,20,0.3509,322081.87,32.2082,40.0,1.2999,25.9972,11,0.193,-183677.03,-18.3677,9.0909,-1.2437,-13.6804,-11.8522,-1.5524,-15.0707,13,15.3846,-0.012081,6,0.4615,-38968.71,-3.8969,16.6667,-0.6203,-3.7216,0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5385,-56044.21,-5.6044,14.2857,-0.8162,-5.7133
2545a1c7,bull,s43|s48|s96,3,0.0767701015,0.0198473248,42.8607,0.0,-24.3462,116,26.7241,0.178577,58,0.5,557696.49,55.7696,31.0345,1.0137,58.7969,41,0.3534,74585.8,7.4586,21.9512,0.1361,5.5817,17,0.1466,34249.82,3.425,23.5294,0.2886,4.9065,-0.3255,-0.0191,-16.8625,30,23.3333,0.010866,11,0.3667,-126235.97,-12.6236,9.0909,-1.1064,-12.1703,0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.6333,182796.27,18.2796,31.5789,1.0663,20.2605
