id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
f9b943fd,bull,s48|s4|s21,3,0.0457273325,0.0175506766,51.1365,0.0,-12.8847,43,46.5116,0.262667,21,0.4884,260450.92,26.0451,42.8571,0.9568,20.0938,6,0.1395,179825.54,17.9826,66.6667,2.4635,14.7808,16,0.3721,160682.14,16.0682,43.75,1.0133,16.2135,-5.116,-0.9261,-5.8458,9,22.2222,0.00516,4,0.4444,-8003.26,-0.8003,25.0,-0.1731,-0.6925,2,0.2222,-34721.71,-3.4722,0.0,-1.7551,-3.5101,3,0.3333,9222.59,0.9223,33.3333,0.3542,1.0626
b48db5d1,bull,s79|s34|s88|s35,4,0.0521872246,0.0166326416,50.8553,0.0,-13.9444,61,37.7049,0.274703,35,0.5738,551682.76,55.1683,42.8571,1.2862,45.0156,3,0.0492,27775.55,2.7776,33.3333,0.6307,1.8922,23,0.377,66102.98,6.6103,30.4348,0.4313,9.9188,-10.2762,-1.0311,-18.946,31,22.5806,-0.018725,16,0.5161,1491.35,0.1491,25.0,0.0572,0.9157,3,0.0968,-48014.67,-4.8015,0.0,-1.6633,-4.9898,12,0.3871,1446.62,0.1447,25.0,0.0572,0.6868
9699afa9,bull,s68|s6|s38|s73|s96,5,0.0788452038,0.019990024,55.6709,0.0,-13.9829,45,33.3333,0.252661,23,0.5111,415651.47,41.5651,34.7826,1.4387,33.0911,11,0.2444,39282.35,3.9282,27.2727,0.6965,7.6615,11,0.2444,225777.71,22.5778,36.3636,1.595,17.5451,-5.7536,-0.9575,-13.2505,7,14.2857,-0.002787,5,0.7143,-6241.55,-0.6242,20.0,-0.0223,-0.1115,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2857,-38241.48,-3.8241,0.0,-1.999,-3.998
4947793b,bull,s79|s21|s12,3,0.0336569355,0.0184514059,24.6982,0.0,-8.8472,52,48.0769,0.216482,27,0.5192,198499.12,19.8499,48.1481,0.6638,17.922,8,0.1538,119438.11,11.9438,62.5,1.4116,11.293,17,0.3269,46409.39,4.6409,41.1765,0.3005,5.1084,-2.0084,-0.4195,-7.9179,6,33.3333,0.008186,5,0.8333,11429.16,1.1429,40.0,0.2392,1.196,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1667,-19214.4,-1.9214,0.0,-1.8451,-1.8451
85d664bc,bull,s34|s21,2,0.0460215877,0.0177361585,39.7541,0.0,-21.5717,47,42.5532,0.208643,28,0.5957,167733.27,16.7733,35.7143,0.5034,14.0965,6,0.1277,181370.89,18.1371,66.6667,2.4769,14.8614,13,0.2766,153146.94,15.3147,46.1538,1.169,15.1976,-2.662,-0.3416,-8.8867,14,28.5714,0.013554,6,0.4286,17649.85,1.765,33.3333,0.3516,2.1099,3,0.2143,-53328.33,-5.3328,0.0,-1.7736,-5.3208,5,0.3571,36319.96,3.632,40.0,0.7767,3.8835
136334ad,bull,s1|s95|s38|s35,4,0.0510557888,0.0198226176,31.9124,0.0,-11.7192,54,38.8889,0.209159,27,0.5,29013.71,2.9014,29.6296,0.1178,3.1817,15,0.2778,279365.71,27.9366,53.3333,1.7979,26.9688,12,0.2222,134191.84,13.4192,41.6667,0.971,11.6521,-3.9487,-0.8713,-9.8793,5,20.0,0.001457,4,0.8,-10583.1,-1.0583,25.0,-0.2103,-0.8412,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,-19370.01,-1.937,0.0,-1.9823,-1.9823
ee3db822,bear,s29|s101|s26,3,0.0334771141,0.0195585903,20.2022,0.0,-10.3226,40,50.0,0.159873,29,0.725,238330.89,23.8331,51.7241,0.7874,22.8336,3,0.075,46124.38,4.6124,66.6667,1.5799,4.7396,8,0.2,290.89,0.0291,37.5,0.033,0.2638,-0.6759,-0.122,-6.3282,10,40.0,0.019662,7,0.7,19248.49,1.9248,42.8571,0.3171,2.2197,3,0.3,-5674.92,-0.5675,33.3333,-0.188,-0.564,0,0.0,0.0,0.0,0.0,0.0,0.0
f696deb2,bull,s43|s47|s21|s14,4,0.0684537074,0.0167234997,36.9082,0.0,-16.0516,45,31.1111,0.17353,26,0.5778,183403.58,18.3404,26.9231,0.6209,16.1429,8,0.1778,26351.28,2.6351,25.0,0.4571,3.6566,11,0.2444,267414.72,26.7415,45.4545,2.1993,24.1928,-1.118,-0.1375,-9.9293,5,20.0,0.002574,4,0.8,14528.2,1.4528,25.0,0.4571,1.8283,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,-16086.98,-1.6087,0.0,-1.6723,-1.6723
6c82a169,bear,s28|s61|s29,3,0.0770137825,0.0165445566,26.0675,0.0,-14.1227,46,26.087,0.12895,30,0.6522,150184.43,15.0184,23.3333,0.5286,15.8572,5,0.1087,10447.27,1.0447,20.0,0.2167,1.0836,11,0.2391,205345.61,20.5346,36.3636,1.7477,19.2243,1.119,0.1262,-8.9333,14,21.4286,0.011749,9,0.6429,31178.08,3.1178,22.2222,0.4246,3.8216,3,0.2143,40848.83,4.0849,33.3333,1.4642,4.3925,2,0.1429,-33198.04,-3.3198,0.0,-1.6545,-3.3089
feb3861f,bull,s59|s21|s9,3,0.0571907548,0.0140354702,28.5341,0.0,-14.0072,63,28.5714,0.157829,36,0.5714,209883.98,20.9884,27.7778,0.575,20.6985,9,0.1429,22737.94,2.2738,22.2222,0.1793,1.6133,18,0.2857,177605.0,17.7605,33.3333,0.9707,17.4719,-10.7239,-1.5277,-21.0555,20,15.0,-0.024425,9,0.45,72289.58,7.229,33.3333,0.9707,8.7359,3,0.15,-39437.95,-3.9438,0.0,-1.4035,-4.2106,8,0.4,-104351.42,-10.4351,0.0,-1.4035,-11.2284
