id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
450c45b0,bear,s100|s61|s81,3,0.0694687276,0.0175749864,64.4087,0.0,-14.7798,48,35.4167,0.306764,37,0.7708,373381.96,37.3382,29.7297,0.8303,30.7206,6,0.125,202593.26,20.2593,50.0,2.5947,15.5681,5,0.1042,198106.73,19.8107,60.0,3.4651,17.3256,-19.0588,-2.8459,-21.117,15,6.6667,-0.035876,6,0.4,-95449.85,-9.545,0.0,-1.7575,-10.545,4,0.2667,15069.36,1.5069,25.0,0.4186,1.6744,5,0.3333,-82048.76,-8.2049,0.0,-1.7575,-8.7875
443007e6,bull,s46|s55|s30,3,0.0757474282,0.019841955,59.6222,0.0,-24.546,59,32.2034,0.261461,30,0.5085,68178.39,6.8178,23.3333,0.2462,7.3867,21,0.3559,506537.92,50.6538,42.8571,2.1125,44.3623,8,0.1356,157431.07,15.7431,37.5,1.6004,12.8033,-12.3877,-3.8157,-12.3877,6,0.0,-0.010406,4,0.6667,-76733.19,-7.6733,0.0,-1.9842,-7.9368,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.3333,-35902.95,-3.5903,0.0,-1.9842,-3.9684
81c0a28d,bear,s52|s81,2,0.0788258529,0.010664926,58.0777,0.0,-14.5989,73,21.9178,0.254267,48,0.6575,685894.79,68.5895,25.0,1.1708,56.1973,16,0.2192,111460.64,11.1461,18.75,0.6115,9.7834,9,0.1233,-25179.78,-2.518,11.1111,-0.0722,-0.6494,-7.5873,-1.1204,-9.6925,13,7.6923,-0.009451,5,0.3846,-51475.43,-5.1475,0.0,-1.0665,-5.3325,5,0.3846,32661.79,3.2662,20.0,0.7233,3.6166,3,0.2308,-31619.05,-3.1619,0.0,-1.0665,-3.1995
466d0688,bear,s81|s90|s26,3,0.0736449878,0.0164699115,49.0043,0.0,-14.6724,54,29.6296,0.240889,32,0.5926,735157.15,73.5157,40.625,2.0139,64.4457,10,0.1852,-82289.38,-8.2289,10.0,-0.7458,-7.4584,12,0.2222,-32581.02,-3.2581,16.6667,-0.1451,-1.7409,-17.0063,-3.7977,-17.0063,10,0.0,-0.023809,3,0.3,-42526.96,-4.2527,0.0,-1.647,-4.941,0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.7,-108985.86,-10.8986,0.0,-1.647,-11.5289
7ed06104,bull,s41|s30|s93|s5,4,0.0697722941,0.017063242,44.4267,0.0,-12.2116,69,28.9855,0.228028,34,0.4928,107603.18,10.7603,23.5294,0.3369,11.4534,24,0.3478,510537.35,51.0537,41.6667,1.9118,45.8838,11,0.1594,-23271.88,-2.3272,18.1818,-0.1275,-1.4025,-15.8773,-4.8877,-15.8773,9,0.0,-0.020005,7,0.7778,-110366.33,-11.0366,0.0,-1.7063,-11.9443,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2222,-31876.93,-3.1877,0.0,-1.7063,-3.4126
eb374add,bear,s98|s81|s61,3,0.0792508162,0.0129269515,50.9488,0.0,-11.4715,44,27.2727,0.221055,32,0.7273,500869.12,50.0869,28.125,1.2998,41.5937,8,0.1818,86991.91,8.6992,25.0,1.0117,8.094,4,0.0909,34065.7,3.4066,25.0,1.0117,4.047,-10.0607,-1.4531,-11.3345,13,7.6923,-0.013304,5,0.3846,-61546.24,-6.1546,0.0,-1.2927,-6.4635,5,0.3846,23863.02,2.3863,20.0,0.5509,2.7543,3,0.2308,-37760.61,-3.7761,0.0,-1.2927,-3.8781
8db1ded8,bear,s61|s81,2,0.0622918882,0.0188839938,39.6926,0.0,-11.893,37,37.8378,0.175088,29,0.7838,298278.95,29.8279,34.4828,0.9108,26.4123,5,0.1351,72695.74,7.2696,40.0,1.3586,6.7932,3,0.0811,114495.44,11.4495,66.6667,3.5233,10.57,0.6837,0.0676,-10.0139,11,27.2727,0.011992,5,0.4545,-96783.84,-9.6784,0.0,-1.8884,-9.442,4,0.3636,81472.62,8.1473,50.0,2.1704,8.6816,2,0.1818,45001.04,4.5001,50.0,2.1704,4.3408
a0268da2,bull,s32|s6|s30|s54,4,0.0564020302,0.0199037585,30.4068,0.0,-13.5904,66,34.8485,0.185401,29,0.4394,95927.69,9.5928,31.0345,0.3777,10.9543,24,0.3636,378444.23,37.8444,45.8333,1.507,36.1673,13,0.197,-37804.36,-3.7804,23.0769,-0.2295,-2.9831,-10.4634,-3.4047,-10.4634,5,0.0,-0.007324,5,1.0,-95166.29,-9.5166,0.0,-1.9904,-9.9519,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
22ea024b,bull,s4|s46,2,0.054495569,0.0147433826,35.7466,0.0,-23.4045,135,28.1481,0.157217,76,0.563,314536.56,31.4537,27.6316,0.4388,33.3521,35,0.2593,380415.59,38.0416,37.1429,1.0974,38.4088,24,0.1778,-68362.84,-6.8363,16.6667,-0.3204,-7.6885,-3.1197,-0.3802,-12.6131,18,22.2222,0.005885,6,0.3333,-24031.03,-2.4031,16.6667,-0.3204,-1.9221,1,0.0556,56335.64,5.6336,100.0,5.4496,5.4496,11,0.6111,-26958.57,-2.6959,18.1818,-0.2154,-2.3699
66c841a8,bear,s51|s90|s81,3,0.039453196,0.0146178957,20.8046,0.0,-12.5448,59,37.2881,0.157448,41,0.6949,396644.15,39.6644,43.9024,0.9121,37.3946,9,0.1525,-27354.21,-2.7354,22.2222,-0.2602,-2.3419,9,0.1525,-32991.79,-3.2992,22.2222,-0.2602,-2.3419,-6.1772,-1.7015,-6.1772,7,14.2857,-5.4e-05,4,0.5714,-5026.84,-0.5027,25.0,-0.11,-0.44,1,0.1429,-14603.29,-1.4603,0.0,-1.4618,-1.4618,2,0.2857,-28482.67,-2.8483,0.0,-1.4618,-2.9236
