id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
3e0bff89,bull,s64|s93|s82,3,0.0194587719,0.0114267377,7.257,0.0,-6.4843,45,48.8889,0.140618,21,0.4667,70501.75,7.0502,47.619,0.3281,6.8894,9,0.2,18882.8,1.8883,44.4444,0.23,2.0701,15,0.3333,72442.01,7.2442,53.3333,0.5046,7.5683
39901459,bull,s4|s64|s27,3,0.0193925348,0.0117502377,4.6038,0.0,-6.5781,46,47.8261,0.130786,19,0.413,55797.8,5.5798,47.3684,0.3002,5.703,13,0.2826,31059.21,3.1059,46.1538,0.2623,3.4104,14,0.3043,51653.64,5.1654,50.0,0.3821,5.3496
6c9547b4,bull,s82|s1|s70,3,0.0208320016,0.0135192261,11.4186,0.0,-6.1692,32,56.25,0.125387,13,0.4062,61298.27,6.1298,53.8462,0.4978,6.4709,7,0.2188,44951.92,4.4952,57.1429,0.611,4.277,12,0.375,76939.44,7.6939,58.3333,0.6519,7.8228
ae416782,bull,s7|s3|s34,3,0.022866094,0.0138456522,8.663,0.0,-7.0224,38,50.0,0.124324,16,0.4211,146659.61,14.666,62.5,0.9099,14.5587,6,0.1579,24759.23,2.4759,50.0,0.451,2.7061,16,0.4211,-4676.71,-0.4677,37.5,-0.0079,-0.126
103867bd,bull,s35|s2|s5,3,0.0206936517,0.0124284871,10.6677,0.0,-4.0422,29,55.1724,0.113716,9,0.3103,88814.46,8.8814,66.6667,0.9653,8.6876,6,0.2069,-11673.64,-1.1674,33.3333,-0.1388,-0.8327,14,0.4828,91483.57,9.1484,57.1429,0.6498,9.0978
9da1fce4,bull,s53|s92|s43|s69|s87,5,0.0188899765,0.0119356308,11.3286,0.0,-4.7096,27,59.2593,0.11284,11,0.4074,118756.36,11.8756,72.7273,1.0483,11.5313,5,0.1852,-1091.02,-0.1091,40.0,0.0395,0.1973,11,0.4074,51745.51,5.1746,54.5455,0.4878,5.3662
7b38712e,bull,s24|s82|s26,3,0.0211997825,0.0129650379,9.2386,0.0,-7.3662,32,53.125,0.111508,10,0.3125,73363.77,7.3364,60.0,0.7534,7.5339,8,0.25,-3576.81,-0.3577,37.5,-0.0153,-0.1226,14,0.4375,92729.7,9.273,57.1429,0.6558,9.1808
9a843487,bull,s33|s87|s47|s7|s96,5,0.0216441051,0.0095683222,7.9775,0.0,-5.4429,36,44.4444,0.107218,9,0.25,101216.43,10.1216,66.6667,1.124,10.116,8,0.2222,16220.65,1.6221,37.5,0.2136,1.7091,19,0.5278,34196.3,3.4196,36.8421,0.1931,3.6689
f2758700,bull,s47|s6|s58|s38|s34,5,0.0188407434,0.0124450519,7.7248,0.0,-5.6148,29,55.1724,0.104152,11,0.3793,82908.3,8.2908,63.6364,0.7464,8.2105,7,0.2414,5750.88,0.5751,42.8571,0.0963,0.6742,11,0.3793,49140.27,4.914,54.5455,0.462,5.0819
84bef50f,bull,s15|s82|s27,3,0.0247485179,0.0139512993,12.8416,0.0,-5.0776,27,51.8519,0.103512,9,0.3333,69738.82,6.9739,55.5556,0.7549,6.7937,6,0.2222,33575.15,3.3575,50.0,0.5399,3.2392,12,0.4444,65913.7,6.5914,50.0,0.5399,6.4783
6dcc51e0,bull,s58|s65|s95,3,0.0188165956,0.0093459689,5.4159,0.0,-6.9445,37,45.9459,0.102614,14,0.3784,149623.8,14.9624,71.4286,1.077,15.0782,6,0.1622,-29583.02,-2.9583,16.6667,-0.4652,-2.7913,17,0.4595,8024.19,0.8024,35.2941,0.0594,1.0094
1142cfb3,bull,s82|s69|s53|s47,4,0.0205267795,0.0121424507,11.7259,0.0,-3.2982,24,58.3333,0.101764,11,0.4583,131130.04,13.113,72.7273,1.1617,12.7787,4,0.1667,-18366.19,-1.8366,25.0,-0.3975,-1.5901,9,0.375,54155.62,5.4156,55.5556,0.6007,5.4064
c93ec49b,bull,s96|s53|s8,3,0.021474627,0.0080498951,4.6975,0.0,-6.4814,45,37.7778,0.101411,16,0.3556,135823.23,13.5823,56.25,0.8558,13.6922,12,0.2667,-7965.03,-0.7965,25.0,-0.0669,-0.8025,17,0.3778,8014.65,0.8015,29.4118,0.0634,1.0774
a0c3fae2,bull,s64|s59|s7,3,0.0259213938,0.0114111261,8.3599,0.0,-6.9464,35,42.8571,0.09882,12,0.3429,86397.16,8.6397,50.0,0.7255,8.7062,7,0.2,31222.31,3.1222,42.8571,0.4589,3.212,16,0.4571,39802.4,3.9802,37.5,0.2589,4.1417
831e63ba,bull,s82|s84|s27,3,0.0269430507,0.0116471916,12.2228,0.0,-6.2651,29,44.8276,0.095456,10,0.3448,77918.57,7.7919,50.0,0.7648,7.6479,7,0.2414,37098.49,3.7098,42.8571,0.4891,3.424,12,0.4138,52746.12,5.2746,41.6667,0.4432,5.3185
5e1fc238,bull,s88|s39|s79,3,0.0204613529,0.0097732523,5.0252,0.0,-7.3658,36,44.4444,0.094562,15,0.4167,88329.04,8.8329,53.3333,0.6352,9.5278,7,0.1944,20489.15,2.0489,42.8571,0.3184,2.2291,14,0.3889,11079.66,1.108,35.7143,0.1025,1.4347
766ac745,bull,s88|s34|s64,3,0.0217716983,0.0094543945,1.5772,0.0,-8.8312,55,38.1818,0.094361,25,0.4545,42400.4,4.24,36.0,0.1787,4.4675,9,0.1636,36465.98,3.6466,44.4444,0.4424,3.9815,21,0.3818,47149.59,4.715,38.0952,0.2441,5.1266
15434605,bull,s4|s55|s78,3,0.0186691067,0.0105603287,2.9,0.0,-7.7122,37,45.9459,0.093463,17,0.4595,-6249.5,-0.625,35.2941,-0.0244,-0.4149,7,0.1892,71688.77,7.1689,71.4286,1.0318,7.2225,13,0.3514,37011.14,3.7011,46.1538,0.293,3.8092
ba8e6d44,bull,s65|s8|s27,3,0.0250029729,0.0139007711,11.9795,0.0,-5.6768,25,52.0,0.093444,7,0.28,101152.51,10.1153,71.4286,1.3888,9.7213,6,0.24,30735.65,3.0736,50.0,0.5551,3.3307,12,0.48,24732.88,2.4733,41.6667,0.2309,2.7709
941eee38,bull,s96|s32|s60|s39|s3,5,0.023051787,0.0120142563,8.9817,0.0,-6.3921,28,50.0,0.09338,10,0.3571,160333.84,16.0334,80.0,1.6039,16.0386,7,0.25,-14301.57,-1.4302,28.5714,-0.1995,-1.3968,11,0.3929,4980.25,0.498,36.3636,0.0737,0.8107
348d798c,bull,s68|s64|s4|s8,4,0.0217623571,0.01283328,6.8494,0.0,-7.4868,30,50.0,0.092962,10,0.3333,79013.84,7.9014,60.0,0.7924,7.9241,9,0.3,-12061.51,-1.2062,33.3333,-0.1301,-1.1713,11,0.3667,64203.96,6.4204,54.5455,0.6037,6.6408
