id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
3e0bff89,bull,s64|s93|s82,3,0.0194587719,0.0114267377,7.257,0.0,-6.4843,45,48.8889,0.140618,21,0.4667,70501.75,7.0502,47.619,0.3281,6.8894,9,0.2,18882.8,1.8883,44.4444,0.23,2.0701,15,0.3333,72442.01,7.2442,53.3333,0.5046,7.5683,-2.408,-7.9815,-5.5855,9,33.3333,0.01325,6,0.6667,-7176.79,-0.7177,33.3333,-0.1132,-0.6789,1,0.1111,-11172.59,-1.1173,0.0,-1.1427,-1.1427,2,0.2222,7524.74,0.7525,50.0,0.4016,0.8032
39901459,bull,s4|s64|s27,3,0.0193925348,0.0117502377,4.6038,0.0,-6.5781,46,47.8261,0.130786,19,0.413,55797.8,5.5798,47.3684,0.3002,5.703,13,0.2826,31059.21,3.1059,46.1538,0.2623,3.4104,14,0.3043,51653.64,5.1654,50.0,0.3821,5.3496,-1.6033,-4.6981,-4.9609,6,33.3333,0.009444,2,0.3333,7285.18,0.7285,50.0,0.3821,0.7642,2,0.3333,-23053.23,-2.3053,0.0,-1.175,-2.35,2,0.3333,7141.47,0.7141,50.0,0.3821,0.7642
6c9547b4,bull,s82|s1|s70,3,0.0208320016,0.0135192261,11.4186,0.0,-6.1692,32,56.25,0.125387,13,0.4062,61298.27,6.1298,53.8462,0.4978,6.4709,7,0.2188,44951.92,4.4952,57.1429,0.611,4.277,12,0.375,76939.44,7.6939,58.3333,0.6519,7.8228,-0.5184,-1.8695,-4.1219,5,40.0,0.010556,1,0.2,20040.84,2.0041,100.0,2.0832,2.0832,2,0.4,-26523.88,-2.6524,0.0,-1.3519,-2.7038,2,0.4,6786.51,0.6787,50.0,0.3656,0.7313
ae416782,bull,s7|s3|s34,3,0.022866094,0.0138456522,8.663,0.0,-7.0224,38,50.0,0.124324,16,0.4211,146659.61,14.666,62.5,0.9099,14.5587,6,0.1579,24759.23,2.4759,50.0,0.451,2.7061,16,0.4211,-4676.71,-0.4677,37.5,-0.0079,-0.126,-1.7626,-6.4539,-5.2578,6,33.3333,0.009261,3,0.5,-5090.38,-0.509,33.3333,-0.1608,-0.4825,1,0.1667,-13537.71,-1.3538,0.0,-1.3846,-1.3846,2,0.3333,8429.79,0.843,50.0,0.451,0.902
9da1fce4,bull,s53|s92|s43|s69|s87,5,0.0188899765,0.0119356308,11.3286,0.0,-4.7096,27,59.2593,0.11284,11,0.4074,118756.36,11.8756,72.7273,1.0483,11.5313,5,0.1852,-1091.02,-0.1091,40.0,0.0395,0.1973,11,0.4074,51745.51,5.1746,54.5455,0.4878,5.3662,-0.8564,-3.5809,-2.9484,5,40.0,0.010773,3,0.6,-5315.57,-0.5316,33.3333,-0.166,-0.4981,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,6512.51,0.6513,50.0,0.3477,0.6954
103867bd,bull,s35|s2|s5,3,0.0206936517,0.0124284871,10.6677,0.0,-4.0422,29,55.1724,0.113716,9,0.3103,88814.46,8.8814,66.6667,0.9653,8.6876,6,0.2069,-11673.64,-1.1674,33.3333,-0.1388,-0.8327,14,0.4828,91483.57,9.1484,57.1429,0.6498,9.0978,-1.5194,-4.7321,-4.2389,6,33.3333,0.009745,3,0.5,-4328.87,-0.4329,33.3333,-0.1388,-0.4163,1,0.1667,-12231.85,-1.2232,0.0,-1.2428,-1.2428,2,0.3333,7729.3,0.7729,50.0,0.4133,0.8265
7b38712e,bull,s24|s82|s26,3,0.0211997825,0.0129650379,9.2386,0.0,-7.3662,32,53.125,0.111508,10,0.3125,73363.77,7.3364,60.0,0.7534,7.5339,8,0.25,-3576.81,-0.3577,37.5,-0.0153,-0.1226,14,0.4375,92729.7,9.273,57.1429,0.6558,9.1808,-2.3482,-9.5669,-4.5228,6,33.3333,0.009245,3,0.5,-5017.62,-0.5018,33.3333,-0.1577,-0.473,1,0.1667,-12676.68,-1.2677,0.0,-1.2965,-1.2965,2,0.3333,7688.81,0.7689,50.0,0.4117,0.8235
1142cfb3,bull,s82|s69|s53|s47,4,0.0205267795,0.0121424507,11.7259,0.0,-3.2982,24,58.3333,0.101764,11,0.4583,131130.04,13.113,72.7273,1.1617,12.7787,4,0.1667,-18366.19,-1.8366,25.0,-0.3975,-1.5901,9,0.375,54155.62,5.4156,55.5556,0.6007,5.4064,0.7845,1.1847,-1.8394,4,50.0,0.01181,2,0.5,7817.0,0.7817,50.0,0.4192,0.8384,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,7850.35,0.785,50.0,0.4192,0.8384
f2758700,bull,s47|s6|s58|s38|s34,5,0.0188407434,0.0124450519,7.7248,0.0,-5.6148,29,55.1724,0.104152,11,0.3793,82908.3,8.2908,63.6364,0.7464,8.2105,7,0.2414,5750.88,0.5751,42.8571,0.0963,0.6742,11,0.3793,49140.27,4.914,54.5455,0.462,5.0819,-2.3096,-12.731,-4.5827,6,33.3333,0.009242,3,0.5,-6258.26,-0.6258,33.3333,-0.2016,-0.6049,1,0.1667,-12248.16,-1.2248,0.0,-1.2445,-1.2445,2,0.3333,5963.87,0.5964,50.0,0.3198,0.6396
84bef50f,bull,s15|s82|s27,3,0.0247485179,0.0139512993,12.8416,0.0,-5.0776,27,51.8519,0.103512,9,0.3333,69738.82,6.9739,55.5556,0.7549,6.7937,6,0.2222,33575.15,3.3575,50.0,0.5399,3.2392,12,0.4444,65913.7,6.5914,50.0,0.5399,6.4783,-1.4363,-4.1515,-5.0758,6,33.3333,0.009483,2,0.3333,10320.81,1.0321,50.0,0.5399,1.0797,3,0.5,-41181.09,-4.1181,0.0,-1.3951,-4.1854,1,0.1667,23913.19,2.3913,100.0,2.4749,2.4749
