id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
856bf832,bull,s43|s59|s27,3,0.0221471155,0.0132567161,15.7783,0.0,-6.8911,36,55.5556,0.150557,8,0.2222,36631.04,3.6631,50.0,0.4445,3.5562,10,0.2778,8003.91,0.8004,40.0,0.0905,0.9048,18,0.5,200339.52,20.034,66.6667,1.0346,18.6225
0a125b73,bull,s7|s3|s34,3,0.022866094,0.0138456522,8.6702,0.0,-9.6323,48,47.9167,0.143553,14,0.2917,102769.9,10.277,57.1429,0.7132,9.9855,7,0.1458,11961.4,1.1961,42.8571,0.1888,1.3216,27,0.5625,65379.65,6.538,44.4444,0.2471,6.6708
284cbdbd,bull,s44|s84|s27,3,0.0257759231,0.0097832153,12.9936,0.0,-6.5306,44,40.9091,0.136497,14,0.3182,120828.56,12.0829,50.0,0.7996,11.1949,9,0.2045,18210.64,1.8211,33.3333,0.207,1.8628,21,0.4773,77063.56,7.7064,38.0952,0.3763,7.9026
914573b7,bull,s5|s42|s54,3,0.0198852965,0.0131268341,8.3069,0.0,-4.9994,38,52.6316,0.133854,18,0.4737,95626.39,9.5626,55.5556,0.5213,9.3838,7,0.1842,40810.99,4.0811,57.1429,0.5737,4.0161,13,0.3421,26278.65,2.6279,46.1538,0.211,2.7424
aca0dabd,bull,s30|s42|s11|s65,4,0.0240557558,0.0096772244,14.9995,0.0,-3.5796,34,47.0588,0.129496,16,0.4706,122800.02,12.28,50.0,0.7189,11.5028,8,0.2353,24558.88,2.4559,37.5,0.2973,2.3781,10,0.2941,74966.35,7.4966,50.0,0.7189,7.1893
2d1ee6c1,bull,s82|s5|s70|s9,4,0.0223086007,0.0086163188,7.6421,0.0,-6.4154,51,39.2157,0.128969,18,0.3529,29737.24,2.9737,33.3333,0.1692,3.0456,10,0.1961,71475.61,7.1476,50.0,0.6846,6.8461,23,0.451,80649.89,8.065,39.1304,0.3485,8.0149
2b6162d7,bull,s84|s6|s44|s46,4,0.0221114522,0.0144247529,18.4111,0.0,-4.8296,25,64.0,0.125578,7,0.28,133350.22,13.335,85.7143,1.6892,11.8244,6,0.24,-17066.32,-1.7066,33.3333,-0.2246,-1.3476,12,0.48,123077.33,12.3077,66.6667,0.9933,11.9193
8af6c433,bull,s64|s9|s48,3,0.0234688484,0.0104436918,7.9761,0.0,-9.3729,48,41.6667,0.123634,20,0.4167,25827.75,2.5828,35.0,0.1426,2.8514,8,0.1667,54005.89,5.4006,50.0,0.6513,5.2101,20,0.4167,99291.33,9.9291,45.0,0.4817,9.6339
1e16be53,bull,s54|s42|s69|s44,4,0.022284631,0.0139472203,10.5008,0.0,-5.0581,32,53.125,0.11917,10,0.3125,157092.85,15.7093,80.0,1.5038,15.0383,6,0.1875,-13794.14,-1.3794,33.3333,-0.187,-1.122,16,0.5,28243.94,2.8244,43.75,0.1904,3.0467
55e61639,bull,s73|s7|s5|s39|s9,5,0.0240049293,0.0136160113,9.3245,0.0,-6.3949,35,48.5714,0.114679,16,0.4571,44018.62,4.4019,43.75,0.2843,4.549,6,0.1714,32606.99,3.2607,50.0,0.5194,3.1167,13,0.3714,88838.35,8.8838,53.8462,0.6641,8.6338
5dfab571,bull,s96|s6|s1,3,0.0223614856,0.0141829159,9.3246,0.0,-6.8913,33,51.5152,0.112972,10,0.303,79241.9,7.9242,60.0,0.7744,7.7437,8,0.2424,32870.58,3.2871,50.0,0.4089,3.2714,15,0.4545,41032.44,4.1032,46.6667,0.2871,4.3067
72706b9c,bull,s15|s82|s27,3,0.0247485179,0.0139512993,6.7309,0.0,-10.5177,42,45.2381,0.110111,16,0.381,48126.92,4.8127,43.75,0.298,4.7678,7,0.1667,-23122.88,-2.3123,28.5714,-0.2894,-2.0259,19,0.4524,123095.19,12.3095,52.6316,0.6417,12.1923
b77dba6e,bull,s70|s5|s65,3,0.0191833745,0.0104672085,0.123,0.0,-6.7337,52,42.3077,0.107214,20,0.3846,-2878.0,-0.2878,35.0,-0.009,-0.179,11,0.2115,32557.03,3.2557,45.4545,0.301,3.3114,21,0.4038,74078.81,7.4079,47.619,0.3652,7.6694
958dd845,bull,s30|s64|s39|s93|s32,5,0.0239347801,0.0149267161,5.8312,0.0,-8.4456,38,47.3684,0.106471,10,0.2632,43137.13,4.3137,50.0,0.4504,4.504,7,0.1842,52118.97,5.2119,57.1429,0.728,5.0959,21,0.5526,34935.58,3.4936,42.8571,0.1728,3.6292
5b08410c,bull,s6|s92|s41,3,0.0233699998,0.0082011935,7.4086,0.0,-6.1113,42,38.0952,0.105492,21,0.5,47881.89,4.7882,33.3333,0.2323,4.8773,8,0.1905,62599.08,6.2599,50.0,0.7584,6.0675,13,0.3095,52685.26,5.2685,38.4615,0.3942,5.124
3144ed2a,bull,s83|s42|s9,3,0.0266305875,0.0123377278,9.2536,0.0,-8.1674,37,43.2432,0.105259,15,0.4054,89850.69,8.9851,46.6667,0.5847,8.7712,7,0.1892,31118.83,3.1119,42.8571,0.4363,3.0541,15,0.4054,48010.48,4.801,40.0,0.325,4.8744
8677e869,bull,s39|s92|s69,3,0.0184950846,0.0108381108,2.115,0.0,-8.7706,44,45.4545,0.10429,17,0.3864,108086.85,10.8087,58.8235,0.6417,10.9084,8,0.1818,-348.14,-0.0348,37.5,0.0162,0.1295,19,0.4318,-1181.26,-0.1181,36.8421,-0.0031,-0.0592
d187e620,bull,s7|s83|s9,3,0.0249446814,0.0124324646,6.3845,0.0,-10.088,42,42.8571,0.10403,17,0.4048,10822.45,1.0822,35.2941,0.0759,1.2911,7,0.1667,25481.83,2.5482,42.8571,0.3586,2.5104,18,0.4286,113511.47,11.3511,50.0,0.6256,11.261
16ee217f,bull,s42|s58|s27,3,0.0264750468,0.0122644988,5.5808,0.0,-7.2403,42,40.4762,0.102506,14,0.3333,59428.46,5.9428,42.8571,0.4338,6.0734,12,0.2857,7040.9,0.7041,33.3333,0.0649,0.7784,16,0.381,73096.68,7.3097,43.75,0.4684,7.4945
e9a8a488,bull,s46|s30,2,0.0226764764,0.0112970485,11.8537,0.0,-4.7367,27,51.8519,0.101931,13,0.4815,94289.78,9.429,53.8462,0.6996,9.0953,6,0.2222,157.65,0.0158,33.3333,0.0027,0.0165,8,0.2963,82930.36,8.293,62.5,0.9936,7.9491
7a29e1f9,bull,s44|s33|s26,3,0.0192615493,0.0117508321,-0.3999,0.0,-6.2184,45,44.4444,0.101771,14,0.3111,82861.8,8.2862,57.1429,0.5971,8.3587,11,0.2444,-5995.31,-0.5995,36.3636,-0.0474,-0.521,20,0.4444,9556.72,0.9557,40.0,0.0654,1.3082
781773c9,bull,s30|s39|s75|s48|s1,5,0.0217722041,0.0108947596,5.7761,0.0,-5.0935,36,44.4444,0.101633,14,0.3889,112328.66,11.2329,57.1429,0.7772,10.8809,8,0.2222,10300.01,1.03,37.5,0.1355,1.0843,14,0.3889,8517.85,0.8518,35.7143,0.0772,1.0808
5e3d8bd4,bull,s84|s69|s54,3,0.0204678694,0.0134733859,8.2944,0.0,-11.3065,32,53.125,0.101525,13,0.4062,100786.29,10.0786,61.5385,0.7414,9.6376,7,0.2188,-66564.65,-6.6565,14.2857,-0.8625,-6.0372,12,0.375,114503.85,11.4504,66.6667,0.9154,10.9849
fa73332d,bull,s41|s84|s27,3,0.0317615867,0.0115308438,11.0386,0.0,-7.2612,37,37.8378,0.100554,16,0.4324,122075.55,12.2076,43.75,0.741,11.8554,5,0.1351,-15204.33,-1.5204,20.0,-0.2872,-1.4362,16,0.4324,73784.38,7.3784,37.5,0.4704,7.5261
7ed44010,bull,s4|s64|s27,3,0.0193925348,0.0117502377,-0.6314,0.0,-9.912,68,44.1176,0.100091,23,0.3382,70575.2,7.0575,47.8261,0.3144,7.2315,11,0.1618,-6046.23,-0.6046,36.3636,-0.0426,-0.4682,34,0.5,64154.45,6.4154,44.1176,0.1989,6.7634
65cb5718,bull,s88|s39|s79,3,0.0204613529,0.0097732523,4.7165,0.0,-7.1416,40,42.5,0.099953,18,0.45,93036.32,9.3036,50.0,0.5344,9.6193,7,0.175,22368.7,2.2369,42.8571,0.3184,2.2291,15,0.375,2049.34,0.2049,33.3333,0.0305,0.4574
852933fe,bull,s1|s39|s35|s43,4,0.0201612897,0.0087476695,1.8213,0.0,-7.2221,49,38.7755,0.099906,19,0.3878,92766.79,9.2767,47.3684,0.4946,9.3975,9,0.1837,7002.78,0.7003,33.3333,0.0889,0.7998,21,0.4286,18731.29,1.8731,33.3333,0.0889,1.8662
205f70bb,bull,s9|s79|s7|s55|s45,5,0.0219223743,0.0124757751,7.9922,0.0,-5.6176,30,50.0,0.09907,13,0.4333,43565.65,4.3566,46.1538,0.34,4.4204,6,0.2,-6107.33,-0.6107,33.3333,-0.101,-0.6058,11,0.3667,105111.77,10.5112,63.6364,0.9414,10.3554
cd6cd5a1,bull,s91|s54|s42,3,0.0250732612,0.0122236183,7.2222,0.0,-5.9493,34,44.1176,0.097508,12,0.3529,117086.9,11.7087,58.3333,0.9533,11.4395,8,0.2353,13169.42,1.3169,37.5,0.1763,1.4102,14,0.4118,12771.72,1.2772,35.7143,0.1097,1.5354
f948e10c,bull,s68|s64|s4|s8,4,0.0217623571,0.01283328,0.7196,0.0,-7.5219,43,44.186,0.097069,16,0.3721,70494.26,7.0494,50.0,0.4465,7.1433,8,0.186,1262.42,0.1262,37.5,0.014,0.1121,19,0.4419,29882.92,2.9883,42.1053,0.1733,3.2933
