id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
856bf832,bull,s43|s59|s27,3,0.0221471155,0.0132567161,15.7783,0.0,-6.8911,36,55.5556,0.150557,8,0.2222,36631.04,3.6631,50.0,0.4445,3.5562,10,0.2778,8003.91,0.8004,40.0,0.0905,0.9048,18,0.5,200339.52,20.034,66.6667,1.0346,18.6225,-3.6211,-12.6508,-6.9931,7,28.5714,0.007035,4,0.5714,-51925.01,-5.1925,0.0,-1.3257,-5.3027,3,0.4286,29310.11,2.931,66.6667,1.0346,3.1038,0,0.0,0.0,0.0,0.0,0.0,0.0
0a125b73,bull,s7|s3|s34,3,0.022866094,0.0138456522,8.6702,0.0,-9.6323,48,47.9167,0.143553,14,0.2917,102769.9,10.277,57.1429,0.7132,9.9855,7,0.1458,11961.4,1.1961,42.8571,0.1888,1.3216,27,0.5625,65379.65,6.538,44.4444,0.2471,6.6708,-3.7456,-6.8765,-7.891,10,30.0,0.010269,7,0.7,-60063.2,-6.0063,14.2857,-0.8601,-6.0208,3,0.3,31255.16,3.1255,66.6667,1.0629,3.1887,0,0.0,0.0,0.0,0.0,0.0,0.0
914573b7,bull,s5|s42|s54,3,0.0198852965,0.0131268341,8.3069,0.0,-4.9994,38,52.6316,0.133854,18,0.4737,95626.39,9.5626,55.5556,0.5213,9.3838,7,0.1842,40810.99,4.0811,57.1429,0.5737,4.0161,13,0.3421,26278.65,2.6279,46.1538,0.211,2.7424,-1.3074,-0.4081,-4.5471,6,33.3333,0.009735,5,0.8333,-32523.23,-3.2523,20.0,-0.6524,-3.2622,1,0.1667,19248.64,1.9249,100.0,1.9885,1.9885,0,0.0,0.0,0.0,0.0,0.0,0.0
2d1ee6c1,bull,s82|s5|s70|s9,4,0.0223086007,0.0086163188,7.6421,0.0,-6.4154,51,39.2157,0.128969,18,0.3529,29737.24,2.9737,33.3333,0.1692,3.0456,10,0.1961,71475.61,7.1476,50.0,0.6846,6.8461,23,0.451,80649.89,8.065,39.1304,0.3485,8.0149,-0.7914,-0.6193,-5.7014,8,25.0,0.008757,6,0.75,-51922.89,-5.1923,0.0,-0.8616,-5.1698,2,0.25,44514.76,4.4515,100.0,2.2309,4.4617,0,0.0,0.0,0.0,0.0,0.0,0.0
2b6162d7,bull,s84|s6|s44|s46,4,0.0221114522,0.0144247529,18.4111,0.0,-4.8296,25,64.0,0.125578,7,0.28,133350.22,13.335,85.7143,1.6892,11.8244,6,0.24,-17066.32,-1.7066,33.3333,-0.2246,-1.3476,12,0.48,123077.33,12.3077,66.6667,0.9933,11.9193,1.5042,1.759,-4.2659,4,50.0,0.011458,3,0.75,-6785.41,-0.6785,33.3333,-0.2246,-0.6738,1,0.25,21333.77,2.1334,100.0,2.2111,2.2111,0,0.0,0.0,0.0,0.0,0.0,0.0
284cbdbd,bull,s44|s84|s27,3,0.0257759231,0.0097832153,12.9936,0.0,-6.5306,44,40.9091,0.136497,14,0.3182,120828.56,12.0829,50.0,0.7996,11.1949,9,0.2045,18210.64,1.8211,33.3333,0.207,1.8628,21,0.4773,77063.56,7.7064,38.0952,0.3763,7.9026,-4.046,-5.2371,-6.8576,8,12.5,0.000119,6,0.75,-57084.61,-5.7085,0.0,-0.9783,-5.8699,2,0.25,14911.84,1.4912,50.0,0.7996,1.5993,0,0.0,0.0,0.0,0.0,0.0,0.0
8af6c433,bull,s64|s9|s48,3,0.0234688484,0.0104436918,7.9761,0.0,-9.3729,48,41.6667,0.123634,20,0.4167,25827.75,2.5828,35.0,0.1426,2.8514,8,0.1667,54005.89,5.4006,50.0,0.6513,5.2101,20,0.4167,99291.33,9.9291,45.0,0.4817,9.6339,-0.4281,-0.0307,-4.3513,7,28.5714,0.009933,4,0.5714,-41979.26,-4.1979,0.0,-1.0444,-4.1775,3,0.4286,36076.23,3.6076,66.6667,1.2165,3.6494,0,0.0,0.0,0.0,0.0,0.0,0.0
aca0dabd,bull,s30|s42|s11|s65,4,0.0240557558,0.0096772244,14.9995,0.0,-3.5796,34,47.0588,0.129496,16,0.4706,122800.02,12.28,50.0,0.7189,11.5028,8,0.2353,24558.88,2.4559,37.5,0.2973,2.3781,10,0.2941,74966.35,7.4966,50.0,0.7189,7.1893,-3.3613,-13.0715,-5.8037,6,16.6667,0.002297,4,0.6667,-4873.7,-0.4874,25.0,-0.1244,-0.4976,2,0.3333,-19406.94,-1.9407,0.0,-0.9677,-1.9354,0,0.0,0.0,0.0,0.0,0.0,0.0
5dfab571,bull,s96|s6|s1,3,0.0223614856,0.0141829159,9.3246,0.0,-6.8913,33,51.5152,0.112972,10,0.303,79241.9,7.9242,60.0,0.7744,7.7437,8,0.2424,32870.58,3.2871,50.0,0.4089,3.2714,15,0.4545,41032.44,4.1032,46.6667,0.2871,4.3067,0.759,1.1115,-3.7248,7,42.8571,0.016861,5,0.7143,-34980.1,-3.498,20.0,-0.6874,-3.437,2,0.2857,44379.47,4.4379,100.0,2.2361,4.4723,0,0.0,0.0,0.0,0.0,0.0,0.0
1e16be53,bull,s54|s42|s69|s44,4,0.022284631,0.0139472203,10.5008,0.0,-5.0581,32,53.125,0.11917,10,0.3125,157092.85,15.7093,80.0,1.5038,15.0383,6,0.1875,-13794.14,-1.3794,33.3333,-0.187,-1.122,16,0.5,28243.94,2.8244,43.75,0.1904,3.0467,-3.6785,-7.5717,-4.7893,7,28.5714,0.007929,6,0.8571,-47157.41,-4.7157,16.6667,-0.7909,-4.7451,1,0.1429,21625.48,2.1625,100.0,2.2285,2.2285,0,0.0,0.0,0.0,0.0,0.0,0.0
