id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
38c9a249,bull,s88|s39|s79,3,0.0204613529,0.0097732523,4.6922,0.0,-6.1478,34,44.1176,0.090221,12,0.3529,33342.88,3.3343,41.6667,0.2824,3.3894,6,0.1765,62368.84,6.2369,66.6667,1.0383,6.2299,16,0.4706,24057.83,2.4058,37.5,0.1565,2.5036,1.401,1.3508,-3.9757,9,44.4444,0.022862,3,0.3333,31320.02,3.132,66.6667,1.0383,3.1149,2,0.2222,10387.7,1.0388,50.0,0.5344,1.0688,4,0.4444,-9510.3,-0.951,25.0,-0.2215,-0.8858
64c42461,bull,s4|s64|s27,3,0.0193925348,0.0117502377,-3.9677,0.0,-11.4353,59,42.3729,0.076942,17,0.2881,46959.03,4.6959,47.0588,0.2905,4.9388,14,0.2373,22043.49,2.2043,42.8571,0.1597,2.2353,28,0.4746,11258.54,1.1259,39.2857,0.0484,1.3564,0.7513,-0.0134,-6.1451,13,46.1538,0.031988,4,0.3077,45902.59,4.5903,75.0,1.1607,4.6427,3,0.2308,-35619.15,-3.5619,0.0,-1.175,-3.5251,6,0.4615,22327.49,2.2327,50.0,0.3821,2.2927
fcb69bdb,bull,s15|s82|s27,3,0.0247485179,0.0139512993,1.6022,0.0,-8.6801,30,43.3333,0.066221,9,0.3,-50600.96,-5.0601,22.2222,-0.5351,-4.8162,6,0.2,71222.57,7.1223,66.6667,1.1849,7.1091,15,0.5,60097.8,6.0098,46.6667,0.4109,6.1629,5.0242,2.8317,-4.0638,9,55.5556,0.031423,3,0.3333,74252.23,7.4252,100.0,2.4749,7.4246,2,0.2222,-28280.54,-2.8281,0.0,-1.3951,-2.7903,4,0.4444,21600.28,2.16,50.0,0.5399,2.1594
167614fc,bull,s65|s41|s8|s7,4,0.0221654673,0.0109472248,-3.779,0.0,-8.52,46,36.9565,0.064578,12,0.2609,33006.05,3.3006,41.6667,0.285,3.4197,9,0.1957,-557.55,-0.0558,33.3333,0.009,0.0813,25,0.5435,21750.68,2.1751,36.0,0.0973,2.4334,-1.048,-3.4212,-6.4531,16,37.5,0.028464,4,0.25,22419.23,2.2419,50.0,0.5609,2.2436,4,0.25,-11822.62,-1.1823,25.0,-0.2669,-1.0676,8,0.5,10825.0,1.0825,37.5,0.147,1.176
6d33beff,bull,s4|s55|s78,3,0.0186691067,0.0105603287,0.3868,0.0,-6.922,32,43.75,0.0717,11,0.3438,87190.6,8.7191,63.6364,0.804,8.8442,7,0.2188,-16138.1,-1.6138,28.5714,-0.2209,-1.5463,14,0.4375,-2227.97,-0.2228,35.7143,-0.0121,-0.1697,0.0896,-1.2372,-4.9214,10,40.0,0.021119,3,0.3,26855.41,2.6855,66.6667,0.8926,2.6778,3,0.3,-3087.86,-0.3088,33.3333,-0.0817,-0.2452,4,0.4,-13175.49,-1.3175,25.0,-0.3253,-1.3012
a07c4c95,bull,s83|s82|s27,3,0.0263329321,0.016148465,2.3465,0.0,-7.2622,24,45.8333,0.060048,7,0.2917,-73978.64,-7.3979,14.2857,-1.008,-7.0558,5,0.2083,90094.42,9.0094,80.0,1.7837,8.9183,12,0.5,59621.98,5.9622,50.0,0.5092,6.1107,6.7287,2.9583,-4.4612,8,62.5,0.032165,3,0.375,78893.51,7.8894,100.0,2.6333,7.8999,2,0.25,-32748.77,-3.2749,0.0,-1.6148,-3.2297,3,0.375,37458.5,3.7459,66.6667,1.2172,3.6517
4f0b9616,bull,s9|s79|s7|s55|s45,5,0.0219223743,0.0124757751,3.3,0.0,-6.6461,26,46.1538,0.068496,9,0.3462,-13255.91,-1.3256,33.3333,-0.101,-0.9088,6,0.2308,63888.64,6.3889,66.6667,1.0456,6.2738,11,0.4231,35946.66,3.5947,45.4545,0.316,3.4757,5.2222,2.8572,-3.2706,4,75.0,0.018886,2,0.5,44680.35,4.468,100.0,2.1922,4.3845,1,0.25,22335.84,2.2336,100.0,2.1922,2.1922,1,0.25,-13221.52,-1.3222,0.0,-1.2476,-1.2476
1b6d0b51,bull,s15|s35|s33|s95,4,0.0195924546,0.0113837464,0.8587,0.0,-7.1359,29,44.8276,0.067576,11,0.3793,28706.3,2.8706,45.4545,0.2696,2.966,4,0.1379,-15172.15,-1.5172,25.0,-0.364,-1.4559,14,0.4828,55607.94,5.5608,50.0,0.4104,5.7461,2.2581,2.478,-2.9122,6,50.0,0.018035,2,0.3333,39568.27,3.9568,100.0,1.9592,3.9185,2,0.3333,8078.39,0.8078,50.0,0.4104,0.8209,2,0.3333,-23485.69,-2.3486,0.0,-1.1384,-2.2767
ce82b598,bull,s30|s64|s39|s93|s32,5,0.0239347801,0.0149267161,-1.5181,0.0,-8.0624,28,42.8571,0.055055,7,0.25,-27994.89,-2.7995,28.5714,-0.3823,-2.6764,5,0.1786,78811.36,7.8811,80.0,1.6162,8.0812,16,0.5714,-7951.14,-0.7951,37.5,-0.0354,-0.5658,2.3336,1.3356,-3.814,10,50.0,0.029578,2,0.2,48043.37,4.8043,100.0,2.3935,4.787,3,0.3,-6603.34,-0.6603,33.3333,-0.1973,-0.5919,5,0.5,2408.63,0.2409,40.0,0.0618,0.3089
26dbd46d,bull,s60|s78|s27,3,0.0233263422,0.014649752,3.4511,0.0,-7.1678,23,47.8261,0.062458,7,0.3043,47801.81,4.7802,57.1429,0.7051,4.9356,6,0.2609,25256.25,2.5256,50.0,0.4338,2.603,10,0.4348,4990.12,0.499,40.0,0.0541,0.5407,0.6868,1.1514,-6.5705,9,44.4444,0.020946,2,0.2222,46706.47,4.6706,100.0,2.3326,4.6653,2,0.2222,8954.95,0.8955,50.0,0.4338,0.8677,5,0.5556,-36672.71,-3.6673,20.0,-0.7055,-3.5273
