id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
9d339abb,bear,s89|s19|s26,3,0.0511780494,0.0080360141,-0.9628,0.0,-0.9628,1,0.0,-0.000135,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-7702.99,-0.7703,0.0,-0.8036,-0.8036
ca2e07bd,bear,s17|s66|s71,3,0.0555318966,0.0080459578,-0.9707,0.0,-0.9707,1,0.0,-0.000136,1,1.0,-7768.57,-0.7769,0.0,-0.8046,-0.8046,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
176ba83d,bear,s89|s19|s85|s61,4,0.0247955268,0.0081453482,-0.9733,0.0,-0.9733,1,0.0,-0.000136,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-7807.8,-0.7808,0.0,-0.8145,-0.8145
82c8ca11,bear,s61|s18|s66|s89,4,0.0790566095,0.0081124638,-0.9701,0.0,-0.9701,1,0.0,-0.000136,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-7776.27,-0.7776,0.0,-0.8112,-0.8112
d23c4f76,bear,s89|s76|s22,3,0.0488344107,0.0081751446,-0.9761,0.0,-0.9761,1,0.0,-0.000137,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-7836.36,-0.7836,0.0,-0.8175,-0.8175
7a31afbb,bear,s22|s85|s80|s67|s89,5,0.0226305017,0.0082089303,-0.9794,0.0,-0.9794,1,0.0,-0.000137,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-7868.74,-0.7869,0.0,-0.8209,-0.8209
21b13070,bear,s89|s66|s101|s22,4,0.0316071311,0.0082021555,-0.9787,0.0,-0.9787,1,0.0,-0.000137,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-7862.25,-0.7862,0.0,-0.8202,-0.8202
47e2016a,bear,s85|s89|s56|s31,4,0.0649576074,0.0082913435,-0.9873,0.0,-0.9873,1,0.0,-0.000138,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-7947.74,-0.7948,0.0,-0.8291,-0.8291
769a5176,bear,s20|s90|s28,3,0.0446530091,0.0082293236,-0.9859,0.0,-0.9859,1,0.0,-0.000138,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-7924.64,-0.7925,0.0,-0.8229,-0.8229
48bf3c70,bear,s31|s90|s71|s23,4,0.0439827434,0.0082275851,-0.9876,0.0,-0.9876,1,0.0,-0.000138,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-7938.24,-0.7938,0.0,-0.8228,-0.8228,0,0.0,0.0,0.0,0.0,0.0,0.0
