id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
f646ba17,bull,s48|s6|s39,3,0.0204309709,0.0108996566,1.8363,0.0,-0.7045,1,100.0,0.006105,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,20378.14,2.0378,100.0,2.0431,2.0431
a3edd92d,bull,s2|s32|s34|s42,4,0.0193523799,0.0084767089,1.7307,0.0,-0.7053,1,100.0,0.006096,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19323.5,1.9324,100.0,1.9352,1.9352
9f631ad7,bull,s21|s74|s27,3,0.0192871113,0.0125981919,1.6924,0.0,-0.7047,1,100.0,0.006093,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19242.16,1.9242,100.0,1.9287,1.9287
90946208,bull,s87|s53|s32,3,0.0190009477,0.0080602696,1.6964,0.0,-0.7056,1,100.0,0.006093,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18980.81,1.8981,100.0,1.9001,1.9001
6ee2934f,bull,s53|s92|s43|s69|s87,5,0.0188899765,0.0119356308,1.6853,0.0,-0.7056,1,100.0,0.006092,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18869.95,1.887,100.0,1.889,1.889
600ef6e1,bull,s92|s12|s6|s53|s78,5,0.0185991771,0.0114065275,1.6563,0.0,-0.7056,1,100.0,0.00609,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18579.46,1.8579,100.0,1.8599,1.8599
9510548f,bull,s68|s74|s34,3,0.0200900936,0.0124062289,1.5041,0.0,-0.7049,1,100.0,0.006078,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,20049.48,2.0049,100.0,2.009,2.009
d417a2df,bull,s21|s14|s68|s8,4,0.0198401901,0.0126505341,1.4794,0.0,-0.7049,1,100.0,0.006076,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19800.08,1.98,100.0,1.984,1.984
d2037126,bull,s9|s91,2,0.019511207,0.0095284886,1.4511,0.0,-0.7053,1,100.0,0.006074,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19482.09,1.9482,100.0,1.9511,1.9511
6fec0215,bull,s64|s93|s82,3,0.0194587719,0.0114267377,1.4458,0.0,-0.7053,1,100.0,0.006073,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19429.74,1.943,100.0,1.9459,1.9459
156ad505,bull,s69|s7|s26,3,0.0193605703,0.0107395762,1.4362,0.0,-0.7053,1,100.0,0.006073,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19333.13,1.9333,100.0,1.9361,1.9361
6916c99e,bull,s91|s24|s82|s58|s1,5,0.0194520256,0.0109584821,1.4452,0.0,-0.7053,1,100.0,0.006073,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19423.0,1.9423,100.0,1.9452,1.9452
c5d8cba0,bull,s60|s5|s82|s38,4,0.019431187,0.0099846729,1.4432,0.0,-0.7053,1,100.0,0.006073,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19403.65,1.9404,100.0,1.9431,1.9431
1b47b36e,bull,s11|s2|s1,3,0.0193599717,0.0110428036,1.436,0.0,-0.7053,1,100.0,0.006073,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19331.08,1.9331,100.0,1.936,1.936
aab7c287,bull,s44|s40|s58|s14,4,0.019244858,0.0109597402,1.4245,0.0,-0.7053,1,100.0,0.006072,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19216.14,1.9216,100.0,1.9245,1.9245
9518ca8d,bull,s36|s32|s30|s64|s12,5,0.0191263586,0.0107161594,1.4127,0.0,-0.7053,1,100.0,0.006071,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19097.82,1.9098,100.0,1.9126,1.9126
9657b915,bull,s47|s6|s58|s38|s34,5,0.0188407434,0.0124450519,1.4165,0.0,-0.7053,1,100.0,0.006071,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18814.04,1.8814,100.0,1.8841,1.8841
efc2695f,bull,s58|s36|s53,3,0.0191491642,0.008590656,1.415,0.0,-0.7053,1,100.0,0.006071,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19120.59,1.9121,100.0,1.9149,1.9149
482bb23b,bull,s2|s3|s64,3,0.0192201319,0.0126749595,1.422,0.0,-0.7053,1,100.0,0.006071,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19191.45,1.9191,100.0,1.922,1.922
beea8824,bull,s70|s5|s65,3,0.0191833745,0.0104672085,1.4184,0.0,-0.7053,1,100.0,0.006071,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19154.75,1.9155,100.0,1.9183,1.9183
0032720c,bull,s58|s14,2,0.0190406756,0.0096488944,1.4041,0.0,-0.7053,1,100.0,0.00607,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19012.26,1.9012,100.0,1.9041,1.9041
498c8065,bull,s68|s47|s6,3,0.0184808526,0.0111629698,1.4069,0.0,-0.7049,1,100.0,0.00607,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18443.5,1.8443,100.0,1.8481,1.8481
5980922a,bull,s32|s63|s70,3,0.0189648209,0.0118476113,1.3939,0.0,-0.7053,1,100.0,0.006069,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18936.52,1.8937,100.0,1.8965,1.8965
94e7456a,bull,s59|s9|s68,3,0.0183775105,0.0088352086,1.3966,0.0,-0.7049,1,100.0,0.006069,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18340.36,1.834,100.0,1.8378,1.8378
9caad230,bull,s6|s55|s78|s14,4,0.0182244618,0.0103400216,1.3818,0.0,-0.7051,1,100.0,0.006068,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18193.01,1.8193,100.0,1.8224,1.8224
968089af,bull,s68|s38|s82,3,0.0191546691,0.0085118946,1.3764,0.0,-0.7053,1,100.0,0.006068,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,19127.52,1.9128,100.0,1.9155,1.9155
