id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
5b182fa9,bear,s99|s28|s29|s17,4,0.0733955674,0.0083211042,-1.0309,0.0,-1.0309,1,0.0,-0.000144,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8304.98,-0.8305,0.0,-0.8321,-0.8321,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0315,0.0,-1.0315,1,0.0,-0.000144,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8309.63,-0.831,0.0,-0.8321,-0.8321,0,0.0,0.0,0.0,0.0,0.0,0.0
1731b43b,bear,s99|s25|s29|s90,4,0.0327210313,0.0080979186,-1.0077,0.0,-1.2975,1,0.0,-0.000158,1,1.0,-8074.42,-0.8074,0.0,-0.8098,-0.8098,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.009,0.0,-1.009,1,0.0,-0.000141,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8085.48,-0.8085,0.0,-0.8098,-0.8098,0,0.0,0.0,0.0,0.0,0.0,0.0
22a10039,bear,s100|s29|s99,3,0.0274538337,0.0084123819,-1.0402,0.0,-1.2185,1,0.0,-0.000156,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8397.59,-0.8398,0.0,-0.8412,-0.8412,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0405,0.0,-1.0405,1,0.0,-0.000146,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8399.46,-0.8399,0.0,-0.8412,-0.8412,0,0.0,0.0,0.0,0.0,0.0,0.0
bfa158fb,bear,s29|s67|s23,3,0.0459617634,0.0081328024,-1.1415,0.0,-1.2219,1,0.0,-0.000165,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8108.21,-0.8108,0.0,-0.8133,-0.8133,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0125,0.0,-1.0125,1,0.0,-0.000142,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8120.31,-0.812,0.0,-0.8133,-0.8133,0,0.0,0.0,0.0,0.0,0.0,0.0
f7735074,bear,s72|s13|s86|s98,4,0.0263225675,0.0080792902,-1.0755,0.0,-1.4023,1,0.0,-0.00017,1,1.0,-8056.7,-0.8057,0.0,-0.8079,-0.8079,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0054,0.0,-1.0054,1,0.0,-0.000141,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8052.76,-0.8053,0.0,-0.8079,-0.8079,0,0.0,0.0,0.0,0.0,0.0,0.0
0f08a87f,bear,s72|s86|s66|s13,4,0.0709896901,0.0080870741,-1.0763,0.0,-1.4031,1,0.0,-0.00017,1,1.0,-8064.46,-0.8064,0.0,-0.8087,-0.8087,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0062,0.0,-1.0062,1,0.0,-0.000141,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8060.51,-0.8061,0.0,-0.8087,-0.8087,0,0.0,0.0,0.0,0.0,0.0,0.0
f20603e2,bear,s100|s52|s23|s80,4,0.0328450161,0.0080781484,-1.0056,0.0,-1.5099,1,0.0,-0.000171,1,1.0,-8053.99,-0.8054,0.0,-0.8078,-0.8078,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0074,0.0,-1.0074,1,0.0,-0.000141,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8068.52,-0.8069,0.0,-0.8078,-0.8078,0,0.0,0.0,0.0,0.0,0.0,0.0
15135e03,bear,s29|s99|s89,3,0.0374217824,0.0086673364,-1.0645,0.0,-1.3541,1,0.0,-0.000166,1,1.0,-8642.19,-0.8642,0.0,-0.8667,-0.8667,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.066,0.0,-1.066,1,0.0,-0.000149,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8654.03,-0.8654,0.0,-0.8667,-0.8667,0,0.0,0.0,0.0,0.0,0.0,0.0
9008595f,bear,s23|s98|s29|s61,4,0.0758287621,0.0085647146,-1.1847,0.0,-1.5009,1,0.0,-0.000185,1,1.0,-8539.86,-0.854,0.0,-0.8565,-0.8565,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0557,0.0,-1.0557,1,0.0,-0.000148,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-8551.56,-0.8552,0.0,-0.8565,-0.8565,0,0.0,0.0,0.0,0.0,0.0,0.0
8701078c,bear,s56|s86|s16|s49,4,0.0420284021,0.0080010837,-1.1757,0.0,-1.803,1,0.0,-0.000202,1,1.0,-7985.63,-0.7986,0.0,-0.8001,-0.8001,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9976,0.0,-0.9976,1,0.0,-0.00014,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-7974.81,-0.7975,0.0,-0.8001,-0.8001,0,0.0,0.0,0.0,0.0,0.0,0.0
