id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
a380b5eb,bear,s28|s18|s100,3,0.0450684259,0.012982103,44.1463,0.0,-14.5317,82,34.1463,0.235429,41,0.5,240540.33,24.054,31.7073,0.5424,22.2391,17,0.2073,84279.3,8.4279,29.4118,0.4092,6.9557,24,0.2927,319678.37,31.9678,41.6667,1.1206,26.8935
b5bf9bf8,bull,s78|s47|s64,3,0.0465552155,0.0102816951,36.1378,0.0,-12.9023,61,31.1475,0.199287,29,0.4754,157498.35,15.7498,27.5862,0.5397,15.6526,10,0.1639,197707.22,19.7707,50.0,1.8137,18.1368,22,0.3607,144916.61,14.4917,27.2727,0.5219,11.4824
c9efd2c1,bull,s7|s21|s40,3,0.0473498965,0.0107002905,33.0596,0.0,-14.1944,67,29.8507,0.179207,30,0.4478,218340.33,21.834,30.0,0.6715,20.1443,13,0.194,-32638.66,-3.2639,15.3846,-0.1769,-2.3003,24,0.3582,299191.92,29.9192,37.5,1.1069,26.5645
d4eae55d,bull,s47|s33|s30,3,0.0523327152,0.0188757403,24.9222,0.0,-11.8678,46,36.9565,0.160959,18,0.3913,72669.88,7.267,33.3333,0.486,8.7487,13,0.2826,120064.09,12.0064,38.4615,0.8512,11.0658,15,0.3261,154104.89,15.4105,40.0,0.9608,14.4115
ec63ccfe,bear,s90|s77,2,0.0382117635,0.0163482214,21.1105,0.0,-15.9043,51,41.1765,0.160259,15,0.2941,12359.75,1.236,33.3333,0.1838,2.7577,10,0.1961,117688.96,11.7689,50.0,1.0932,10.9318,26,0.5098,198691.52,19.8692,42.3077,0.6735,17.5106
34803043,bear,s16|s89|s99,3,0.0737008392,0.0195466423,36.6374,0.0,-15.3308,40,32.5,0.158446,14,0.35,-49991.69,-4.9992,21.4286,0.0435,0.6089,6,0.15,74310.43,7.431,33.3333,1.1536,6.9215,20,0.5,448209.23,44.8209,40.0,1.7752,35.5047
551e714f,bear,s77|s90|s26,3,0.0290401717,0.0183443194,11.628,0.0,-13.3061,59,47.4576,0.148967,17,0.2881,60357.86,6.0358,47.0588,0.3954,6.7222,11,0.1864,82551.48,8.2551,54.5455,0.7502,8.2519,31,0.5254,100862.57,10.0863,45.1613,0.3055,9.4709
2240c0bf,bear,s57|s28|s18,3,0.0331310656,0.0143858481,20.9673,0.0,-19.1334,97,39.1753,0.143995,41,0.4227,163517.44,16.3517,39.0244,0.4157,17.0451,24,0.2474,81741.86,8.1742,37.5,0.3433,8.2392,32,0.3299,158971.87,15.8972,40.625,0.4918,15.7373
0503e6c1,bull,s95|s88|s64,3,0.0635130094,0.0193879183,35.1276,0.0,-30.7152,73,31.5068,0.142885,26,0.3562,-16400.8,-1.6401,23.0769,-0.0257,-0.668,18,0.2466,154958.86,15.4959,33.3333,0.8246,14.8423,29,0.3973,360542.51,36.0543,37.931,1.2057,34.9661
5b223108,bear,s17|s52|s71,3,0.0745534301,0.0176267471,36.9736,0.0,-13.4618,34,32.3529,0.139106,14,0.4118,234677.43,23.4677,35.7143,1.5295,21.4126,6,0.1765,-37528.84,-3.7529,16.6667,-0.2263,-1.358,14,0.4118,251805.76,25.1806,35.7143,1.5295,21.4126
fa0c8b69,bull,s78|s93|s9|s8,4,0.0251979844,0.0098444584,10.6179,0.0,-9.1641,50,40.0,0.134979,23,0.46,11241.32,1.1241,30.4348,0.0821,1.8875,7,0.14,115969.37,11.5969,71.4286,1.5186,10.6301,20,0.4,88527.65,8.8528,40.0,0.4173,8.345
32938a43,bull,s30|s14,2,0.0315401729,0.0194769589,9.005,0.0,-12.2576,47,46.8085,0.131292,21,0.4468,149514.87,14.9515,52.381,0.7246,15.2172,9,0.1915,24228.09,2.4228,44.4444,0.3197,2.8776,17,0.3617,24157.02,2.4157,41.1765,0.153,2.6012
