id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
a380b5eb,bear,s28|s18|s100,3,0.0450684259,0.012982103,44.1463,0.0,-14.5317,82,34.1463,0.235429,41,0.5,240540.33,24.054,31.7073,0.5424,22.2391,17,0.2073,84279.3,8.4279,29.4118,0.4092,6.9557,24,0.2927,319678.37,31.9678,41.6667,1.1206,26.8935,1.4738,0.2372,-13.7335,18,27.7778,0.01729,11,0.6111,88840.68,8.8841,36.3636,0.8127,8.9399,7,0.3889,-36325.72,-3.6326,14.2857,-0.4689,-3.2824,0,0.0,0.0,0.0,0.0,0.0,0.0
c9efd2c1,bull,s7|s21|s40,3,0.0473498965,0.0107002905,33.0596,0.0,-14.1944,67,29.8507,0.179207,30,0.4478,218340.33,21.834,30.0,0.6715,20.1443,13,0.194,-32638.66,-3.2639,15.3846,-0.1769,-2.3003,24,0.3582,299191.92,29.9192,37.5,1.1069,26.5645,5.0716,1.2791,-4.4053,14,28.5714,0.02598,10,0.7143,64437.01,6.4437,30.0,0.6715,6.7148,4,0.2857,14987.98,1.4988,25.0,0.3812,1.5249,0,0.0,0.0,0.0,0.0,0.0,0.0
b5bf9bf8,bull,s78|s47|s64,3,0.0465552155,0.0102816951,36.1378,0.0,-12.9023,61,31.1475,0.199287,29,0.4754,157498.35,15.7498,27.5862,0.5397,15.6526,10,0.1639,197707.22,19.7707,50.0,1.8137,18.1368,22,0.3607,144916.61,14.4917,27.2727,0.5219,11.4824,-5.9182,-2.8589,-11.1355,14,14.2857,-0.003982,11,0.7857,-55909.85,-5.591,9.0909,-0.5115,-5.6262,3,0.2143,23251.89,2.3252,33.3333,0.8664,2.5992,0,0.0,0.0,0.0,0.0,0.0,0.0
d4eae55d,bull,s47|s33|s30,3,0.0523327152,0.0188757403,24.9222,0.0,-11.8678,46,36.9565,0.160959,18,0.3913,72669.88,7.267,33.3333,0.486,8.7487,13,0.2826,120064.09,12.0064,38.4615,0.8512,11.0658,15,0.3261,154104.89,15.4105,40.0,0.9608,14.4115,4.1693,0.9896,-11.8932,9,33.3333,0.01458,7,0.7778,7390.4,0.739,28.5714,0.147,1.0287,2,0.2222,31425.95,3.1426,50.0,1.6728,3.3457,0,0.0,0.0,0.0,0.0,0.0,0.0
2240c0bf,bear,s57|s28|s18,3,0.0331310656,0.0143858481,20.9673,0.0,-19.1334,97,39.1753,0.143995,41,0.4227,163517.44,16.3517,39.0244,0.4157,17.0451,24,0.2474,81741.86,8.1742,37.5,0.3433,8.2392,32,0.3299,158971.87,15.8972,40.625,0.4918,15.7373,-3.0332,-1.525,-14.5309,19,31.5789,0.014824,13,0.6842,49108.39,4.9108,38.4615,0.389,5.0569,6,0.3158,-40493.1,-4.0493,16.6667,-0.6466,-3.8798,0,0.0,0.0,0.0,0.0,0.0,0.0
0503e6c1,bull,s95|s88|s64,3,0.0635130094,0.0193879183,35.1276,0.0,-30.7152,73,31.5068,0.142885,26,0.3562,-16400.8,-1.6401,23.0769,-0.0257,-0.668,18,0.2466,154958.86,15.4959,33.3333,0.8246,14.8423,29,0.3973,360542.51,36.0543,37.931,1.2057,34.9661,3.1797,0.6533,-8.2961,10,30.0,0.015566,9,0.9,67798.41,6.7798,33.3333,0.8246,7.4212,1,0.1,-19688.37,-1.9688,0.0,-1.9388,-1.9388,0,0.0,0.0,0.0,0.0,0.0,0.0
34803043,bear,s16|s89|s99,3,0.0737008392,0.0195466423,36.6374,0.0,-15.3308,40,32.5,0.158446,14,0.35,-49991.69,-4.9992,21.4286,0.0435,0.6089,6,0.15,74310.43,7.431,33.3333,1.1536,6.9215,20,0.5,448209.23,44.8209,40.0,1.7752,35.5047,-4.2623,-4.029,-5.452,2,0.0,-0.001336,2,1.0,-38631.38,-3.8631,0.0,-1.9547,-3.9093,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
32938a43,bull,s30|s14,2,0.0315401729,0.0194769589,9.005,0.0,-12.2576,47,46.8085,0.131292,21,0.4468,149514.87,14.9515,52.381,0.7246,15.2172,9,0.1915,24228.09,2.4228,44.4444,0.3197,2.8776,17,0.3617,24157.02,2.4157,41.1765,0.153,2.6012,-2.0491,-0.8918,-9.2945,15,40.0,0.025176,8,0.5333,-5734.86,-0.5735,37.5,-0.0346,-0.2764,7,0.4667,15347.18,1.5347,42.8571,0.2388,1.6713,0,0.0,0.0,0.0,0.0,0.0,0.0
8ee8ce95,bear,s28|s18|s23,3,0.036869713,0.0165106388,14.0439,0.0,-14.7179,61,39.3443,0.130055,29,0.4754,102574.84,10.2575,37.931,0.3737,10.8375,13,0.2131,50506.99,5.0507,38.4615,0.402,5.2263,19,0.3115,112041.15,11.2041,42.1053,0.5965,11.3341,1.9022,0.3606,-13.6864,16,37.5,0.025296,10,0.625,102030.06,10.203,50.0,1.018,10.1795,6,0.375,-49483.29,-4.9483,16.6667,-0.7614,-4.5683,0,0.0,0.0,0.0,0.0,0.0,0.0
6891e68e,bull,s88|s94|s27,3,0.0667667843,0.013281112,25.4537,0.0,-20.8885,62,24.1935,0.11173,25,0.4032,-26738.42,-2.6738,16.0,-0.0473,-1.1836,22,0.3548,119684.94,11.9685,22.7273,0.4912,10.8055,15,0.2419,297956.87,29.7957,40.0,1.8738,28.1071,14.2097,1.6918,-8.8093,18,27.7778,0.040948,17,0.9444,86433.52,8.6434,23.5294,0.5554,9.4413,1,0.0556,70167.38,7.0167,100.0,6.6767,6.6767,0,0.0,0.0,0.0,0.0,0.0,0.0
