id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
c947706e,bear,s28|s72|s27,3,0.0712517293,0.0134559536,70.5014,0.0,-18.3289,84,26.1905,0.30559,19,0.2262,203800.4,20.38,26.3158,0.8836,16.7875,28,0.3333,109638.81,10.9639,21.4286,0.4696,13.1479,37,0.4405,573845.28,57.3845,29.7297,1.1727,43.3914
2604e6a9,bear,s72|s51|s27,3,0.0717579704,0.0140043558,63.0835,0.0,-12.1074,49,30.6122,0.301691,10,0.2041,276800.41,27.68,40.0,2.0301,20.3006,13,0.2653,269375.66,26.9376,38.4615,1.8981,24.6755,26,0.5306,173733.3,17.3733,23.0769,0.5787,15.0461
28ef6a69,bear,s80|s37|s27,3,0.0742474674,0.0165402387,63.7567,0.0,-18.4756,74,28.3784,0.284735,22,0.2973,158090.72,15.8091,27.2727,0.822,18.0841,18,0.2432,-15268.7,-1.5269,16.6667,-0.1409,-2.5361,34,0.4595,663270.27,66.327,35.2941,1.5502,52.7084
2f9d6ab8,bear,s37|s90|s98,3,0.0369630818,0.0158256167,42.7079,0.0,-11.8289,53,47.1698,0.276854,23,0.434,308267.42,30.8267,52.1739,1.1716,26.9475,14,0.2642,166126.3,16.6126,50.0,1.0569,14.7962,16,0.3019,74460.29,7.446,37.5,0.397,6.3522
78773dec,bear,s90|s16|s18,3,0.0702592308,0.0141641248,64.7745,0.0,-22.5343,72,27.7778,0.274828,14,0.1944,173037.39,17.3037,28.5714,0.9957,13.9396,26,0.3611,234150.96,23.4151,26.9231,0.8565,22.2696,32,0.4444,400502.32,40.0502,28.125,0.958,30.6558
6dc69e01,bear,s18|s90,2,0.0546782007,0.0171519849,39.2953,0.0,-14.3808,50,36.0,0.222039,13,0.26,236116.71,23.6117,46.1538,1.6,20.8005,18,0.36,205758.49,20.5758,38.8889,1.0782,19.4076,19,0.38,32195.3,3.2195,26.3158,0.1751,3.3263
a927b50f,bear,s18|s101|s27,3,0.0620168252,0.0190352904,47.3182,0.0,-21.2837,99,31.3131,0.219361,23,0.2323,145229.21,14.5229,30.4348,0.5633,12.9553,24,0.2424,100233.2,10.0233,29.1667,0.4605,11.0518,52,0.5253,441246.52,44.1247,32.6923,0.7463,38.8051
28453133,bear,s18|s90|s67,3,0.0440892589,0.016635612,35.0951,0.0,-13.6589,62,38.7097,0.215533,20,0.3226,157590.47,15.759,40.0,0.7654,15.3087,19,0.3065,107050.1,10.705,36.8421,0.5737,10.8997,23,0.371,193403.89,19.3404,39.1304,0.7126,16.3905
e97a9805,bear,s90|s80|s37,3,0.0365450466,0.0129805102,34.2497,0.0,-14.651,91,37.3626,0.205134,37,0.4066,347403.46,34.7403,43.2432,0.8436,31.213,21,0.2308,81288.65,8.1289,33.3333,0.3528,7.4088,33,0.3626,126948.8,12.6949,33.3333,0.3528,11.6424
9a5642db,bear,s62|s90|s18,3,0.0580741948,0.0155216404,37.762,0.0,-14.7605,61,31.1475,0.200209,16,0.2623,327929.58,32.793,43.75,1.6677,26.6825,20,0.3279,109809.75,10.981,30.0,0.6557,13.1142,25,0.4098,45074.57,4.5075,24.0,0.2141,5.3534
1a2b23b7,bear,s16|s19|s27,3,0.0789766473,0.016098639,47.8559,0.0,-12.8698,41,29.2683,0.197308,8,0.1951,173510.48,17.351,37.5,1.9555,15.6437,10,0.2439,147380.82,14.7381,30.0,1.2424,12.4239,23,0.561,211676.2,21.1676,26.087,0.8704,20.0183
2ed3118c,bear,s50|s18|s20,3,0.0519331854,0.0163231502,36.4289,0.0,-14.9064,45,37.7778,0.192897,14,0.3111,106521.47,10.6521,35.7143,0.8054,11.2758,10,0.2222,133312.86,13.3313,40.0,1.0979,10.9794,21,0.4667,234909.14,23.4909,38.0952,0.9679,20.3265
2d8a8fae,bear,s20|s72|s27,3,0.0657710802,0.0154158207,39.203,0.0,-16.1485,64,28.125,0.192742,13,0.2031,155754.28,15.5754,30.7692,0.9565,12.4342,17,0.2656,223808.29,22.3808,35.2941,1.3238,22.5052,34,0.5312,140722.56,14.0723,23.5294,0.3687,12.5357
e677ce0f,bear,s20|s66|s18,3,0.0498443991,0.0135511953,36.2054,0.0,-11.8319,44,36.3636,0.192207,13,0.2955,141423.58,14.1424,38.4615,1.0832,14.0812,12,0.2727,111743.57,11.1744,33.3333,0.7581,9.0968,19,0.4318,220613.34,22.0613,36.8421,0.9805,18.6296
c876fb76,bear,s67|s18|s27,3,0.0669269748,0.0171486949,46.3486,0.0,-26.6052,88,28.4091,0.190806,20,0.2273,85763.07,8.5763,25.0,0.387,7.7404,26,0.2955,44296.87,4.4297,23.0769,0.2253,5.8588,42,0.4773,507487.02,50.7487,33.3333,1.0877,45.6814
437bb775,bear,s18|s80|s27,3,0.0707865425,0.0170305241,43.8472,0.0,-22.1008,94,26.5957,0.188874,19,0.2021,135291.84,13.5292,26.3158,0.6079,11.5505,27,0.2872,-94391.07,-9.4391,18.5185,-0.0768,-2.0739,48,0.5106,605029.82,60.503,31.25,1.0412,49.9791
847ecc53,bear,s28|s81|s27,3,0.051495737,0.0088874464,40.1393,0.0,-17.2475,69,26.087,0.187076,24,0.3478,229057.6,22.9058,29.1667,0.8724,20.9384,20,0.2899,136847.63,13.6848,25.0,0.6208,12.4167,25,0.3623,157171.44,15.7171,24.0,0.5605,14.0113
eb26ecd0,bear,s100|s20|s52,3,0.0493017079,0.018901537,32.6832,0.0,-13.6729,44,40.9091,0.186948,14,0.3182,75548.08,7.5548,35.7143,0.5457,7.6395,12,0.2727,-55481.54,-5.5482,25.0,-0.1851,-2.2209,18,0.4091,417657.64,41.7658,55.5556,1.8989,34.1805
113b5e71,bear,s76|s20|s27,3,0.0223909932,0.0129567789,14.7918,0.0,-4.8981,47,51.0638,0.185804,9,0.1915,101468.87,10.1469,66.6667,1.0608,9.5476,23,0.4894,19674.49,1.9674,39.1304,0.0875,2.0124,15,0.3191,125161.02,12.5161,60.0,0.8252,12.3778
52aacad1,bear,s71|s18|s20,3,0.0730108596,0.0131164991,44.2475,0.0,-14.7723,42,28.5714,0.183445,15,0.3571,151567.68,15.1568,26.6667,0.9851,14.7762,11,0.2619,251239.7,25.124,36.3636,1.8203,20.0228,16,0.381,145465.76,14.5466,25.0,0.8415,13.4645
a86b2299,bear,s85|s98|s52|s37|s80,5,0.0289815696,0.0164429372,19.7916,0.0,-13.1417,49,48.9796,0.182946,19,0.3878,35936.13,3.5936,42.1053,0.2683,5.098,13,0.2653,120255.36,12.0255,53.8462,0.8016,10.4213,17,0.3469,146813.12,14.6813,52.9412,0.7605,12.9291
1892c578,bear,s18|s80|s51,3,0.0504493162,0.0157758004,33.5928,0.0,-18.9613,57,35.0877,0.18275,18,0.3158,178496.64,17.8497,38.8889,0.9978,17.9611,10,0.1754,60204.06,6.0204,30.0,0.4092,4.0917,29,0.5088,233607.81,23.3608,34.4828,0.706,20.4753
4d7accba,bear,s16|s98|s20,3,0.0701060398,0.0192450323,46.84,0.0,-13.8285,35,37.1429,0.180112,10,0.2857,-44792.43,-4.4792,20.0,-0.1375,-1.3748,11,0.3143,187981.79,18.7982,36.3636,1.3246,14.5709,14,0.4,412361.15,41.2361,50.0,2.5431,35.6027
5c485271,bear,s77|s90|s26,3,0.0290401717,0.0183443194,19.9752,0.0,-10.6947,44,52.2727,0.180079,12,0.2727,218047.84,21.8048,75.0,1.7194,20.6329,15,0.3409,104323.44,10.4323,53.3333,0.6927,10.3911,17,0.3864,-31310.9,-3.1311,35.2941,-0.162,-2.7546
3d0dc4c1,bear,s90|s16|s37,3,0.0658770293,0.0166726409,35.8999,0.0,-18.8288,58,29.3103,0.175044,19,0.3276,169592.68,16.9593,31.5789,0.9396,17.8518,17,0.2931,151034.57,15.1035,29.4118,0.7607,12.9313,22,0.3793,138006.57,13.8007,27.2727,0.5841,12.85
57c094d5,bear,s101|s25|s72,3,0.0690566478,0.0170767061,32.3481,0.0,-15.3125,51,29.4118,0.17169,10,0.1961,76145.95,7.6146,30.0,0.8763,8.7633,18,0.3529,130963.76,13.0964,27.7778,0.6849,12.3286,23,0.451,238213.1,23.8213,30.4348,0.9138,21.0169
b38d341a,bear,s52|s67|s56,3,0.0312026153,0.0171060293,16.2402,0.0,-10.4159,57,45.614,0.170555,12,0.2105,148146.74,14.8147,58.3333,1.1074,13.2888,15,0.2632,-80985.42,-8.0985,26.6667,-0.4224,-6.3356,30,0.5263,217931.08,21.7931,50.0,0.7048,21.1449
a913b3c7,bear,s52|s31|s57,3,0.0788261019,0.0186610303,48.6923,0.0,-9.5601,31,35.4839,0.168975,10,0.3226,106806.09,10.6806,30.0,1.0585,10.5851,5,0.1613,87168.63,8.7169,40.0,2.0334,10.1669,16,0.5161,370752.7,37.0753,37.5,1.7897,28.6346
