id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct
54ed45ea,bear,s89|s71|s61,3,0.0202796546,0.0094008412,4.7271,0.0,-2.5165,6,66.6667,0.025363,1,0.1667,-9390.66,-0.9391,0.0,-0.9401,-0.9401,2,0.3333,11621.41,1.1621,50.0,0.5439,1.0879,3,0.5,60489.5,6.049,100.0,2.028,6.0839
ec8c02b8,bear,s29|s97|s72,3,0.019326602,0.0091008329,-0.3089,0.0,-4.1044,10,40.0,0.02129,1,0.1,-9091.31,-0.9091,0.0,-0.9101,-0.9101,2,0.2,10020.8,1.0021,50.0,0.5113,1.0226,7,0.7,20355.22,2.0355,42.8571,0.3082,2.1576
bbbb04e4,bear,s81|s52|s29,3,0.0192801492,0.0117877182,-0.4242,0.0,-4.7836,10,40.0,0.02079,4,0.4,13606.94,1.3607,50.0,0.3746,1.4985,0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6,-8709.8,-0.871,33.3333,-0.1432,-0.8591
1f6e5d7f,bull,s64|s93|s82,3,0.0194587719,0.0114267377,-0.899,0.0,-5.5163,10,40.0,0.019971,1,0.1,19437.79,1.9438,100.0,1.9459,1.9459,4,0.4,-46382.4,-4.6382,0.0,-1.1427,-4.5707,5,0.5,35462.9,3.5463,60.0,0.7105,3.5523
1a1b5f37,bull,s4|s64|s27,3,0.0193925348,0.0117502377,-1.1189,0.0,-5.4276,10,40.0,0.019848,1,0.1,19372.21,1.9372,100.0,1.9393,1.9393,4,0.4,-47638.08,-4.7638,0.0,-1.175,-4.7001,5,0.5,34572.5,3.4572,60.0,0.6935,3.4677
6f670ee0,bear,s13|s52|s27,3,0.0186323356,0.0089962178,-2.9913,0.0,-6.6416,16,31.25,0.019795,6,0.375,-486.64,-0.0487,33.3333,0.0213,0.128,4,0.25,-7766.97,-0.7767,25.0,-0.2089,-0.8356,6,0.375,941.2,0.0941,33.3333,0.0213,0.128
de0c4e03,bear,s25|s90,2,0.0201353922,0.0106657439,5.5402,0.0,-0.7843,3,100.0,0.019188,1,0.3333,20851.18,2.0851,100.0,2.0135,2.0135,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6667,40592.96,4.0593,100.0,2.0135,4.0271
defcfe42,bull,s59|s9|s68,3,0.0183775105,0.0088352086,-1.1216,0.0,-6.3161,11,36.3636,0.018844,4,0.3636,18981.57,1.8982,50.0,0.4771,1.9085,2,0.1818,-17838.75,-1.7839,0.0,-0.8835,-1.767,5,0.4545,10175.13,1.0175,40.0,0.205,1.0249
7756600b,bear,s50|s90,2,0.0211570378,0.0115711539,4.4219,0.0,-2.6792,4,75.0,0.018772,1,0.25,21653.87,2.1654,100.0,2.1157,2.1157,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,30602.02,3.0602,66.6667,1.0248,3.0743
cd8c40f2,bear,s98|s18|s61,3,0.0206542115,0.0089317659,-1.7179,0.0,-5.7754,12,33.3333,0.018193,2,0.1667,11051.53,1.1052,50.0,0.5861,1.1722,1,0.0833,-8825.19,-0.8825,0.0,-0.8932,-0.8932,9,0.75,7242.46,0.7242,33.3333,0.093,0.8372
