id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
36b47aa7,bull,s82|s69|s53|s47,4,0.0205267795,0.0121424507,1.6544,0.0,-3.7815,8,50.0,0.023244,2,0.25,7998.72,0.7999,50.0,0.4192,0.8384,1,0.125,20885.37,2.0885,100.0,2.0527,2.0527,5,0.625,4191.93,0.4192,40.0,0.0925,0.4626,1.9001,0.0,-0.783,1,100.0,0.006105,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,20506.26,2.0506,100.0,2.0527,2.0527
d507b3a8,bull,s75|s94|s12,3,0.0182245433,0.0114748239,1.0128,0.0,-3.7387,8,50.0,0.022854,1,0.125,18594.55,1.8595,100.0,1.8225,1.8225,2,0.25,6469.02,0.6469,50.0,0.3375,0.675,5,0.625,1507.77,0.1508,40.0,0.0405,0.2025,1.998,0.0,-0.6838,1,100.0,0.006119,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18206.32,1.8206,100.0,1.8225,1.8225
11aa923f,bull,s6|s46,2,0.0208285405,0.0121949714,1.6015,0.0,-4.774,8,50.0,0.022733,1,0.125,20807.73,2.0808,100.0,2.0829,2.0829,2,0.25,8624.15,0.8624,50.0,0.4317,0.8634,5,0.625,4711.71,0.4712,40.0,0.1014,0.5072,1.798,0.0,-0.5201,1,100.0,0.006113,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,20807.72,2.0808,100.0,2.0829,2.0829
52e2d31d,bull,s10|s42|s93|s87,4,0.0188357008,0.0107399169,0.2655,0.0,-4.6227,9,44.4444,0.021695,1,0.1111,-10896.23,-1.0896,0.0,-1.074,-1.074,1,0.1111,18816.88,1.8817,100.0,1.8836,1.8836,7,0.7778,13238.76,1.3239,42.8571,0.1935,1.3547,2.0243,0.0,-0.5201,1,100.0,0.006131,1,1.0,18816.86,1.8817,100.0,1.8836,1.8836,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
06a694f5,bull,s39|s92|s69,3,0.0184950846,0.0108381108,0.0819,0.0,-4.7019,9,44.4444,0.02152,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3333,-3619.47,-0.3619,33.3333,-0.106,-0.3181,6,0.6667,22921.06,2.2921,50.0,0.3828,2.2971,2.1442,0.0,-0.6838,1,100.0,0.006131,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18476.58,1.8477,100.0,1.8495,1.8495
95803438,bull,s53|s92|s43|s69|s87,5,0.0188899765,0.0119356308,-0.3177,0.0,-5.1927,9,44.4444,0.020967,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2222,6817.62,0.6818,50.0,0.3477,0.6954,7,0.7778,8476.35,0.8476,42.8571,0.1275,0.8927,2.0647,0.0,-0.6838,1,100.0,0.006124,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18871.09,1.8871,100.0,1.889,1.889
553efdd8,bull,s91|s82|s26,3,0.0220323607,0.0125457172,-0.153,0.0,-5.7707,9,44.4444,0.020774,1,0.1111,-12794.96,-1.2795,0.0,-1.2546,-1.2546,1,0.1111,22010.34,2.201,100.0,2.2032,2.2032,7,0.7778,15254.37,1.5254,42.8571,0.2273,1.5914,2.0504,0.0,-0.7927,1,100.0,0.006116,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,22010.32,2.201,100.0,2.2032,2.2032
febe8f6c,bull,s47|s6|s58|s38|s34,5,0.0188407434,0.0124450519,-0.5936,0.0,-5.4414,9,44.4444,0.020634,1,0.1111,-12723.05,-1.2723,0.0,-1.2445,-1.2445,2,0.2222,6282.31,0.6282,50.0,0.3198,0.6396,6,0.6667,18957.69,1.8958,50.0,0.3198,1.9187,2.0598,0.0,-0.6838,1,100.0,0.006124,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18821.91,1.8822,100.0,1.8841,1.8841
e61a5017,bull,s4|s55|s78,3,0.0186691067,0.0105603287,-0.9664,0.0,-5.7484,10,40.0,0.019778,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2,8069.99,0.807,50.0,0.4054,0.8109,8,0.8,2700.02,0.27,37.5,0.0401,0.3206,2.4855,0.0,-0.6838,1,100.0,0.006158,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18650.44,1.865,100.0,1.8669,1.8669
5927a5df,bull,s21|s14|s35,3,0.0183790465,0.0082924734,-0.7413,0.0,-5.4534,11,36.3636,0.019748,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.1818,10052.55,1.0053,50.0,0.5043,1.0087,9,0.8182,4990.62,0.4991,33.3333,0.0598,0.5382,2.4281,0.0,-0.6838,1,100.0,0.006153,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,18360.67,1.8361,100.0,1.8379,1.8379
