id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score
f451f945,bull,s36|s93|s83|s64,4,0.0785964964,0.018276273,86.1777,0.0,-15.2448,60,35.0,0.403976
ec25b38d,bear,s85|s13|s81|s101,4,0.0674409563,0.017237304,65.8996,0.0,-12.1201,49,38.7755,0.336693
8c0beff2,bear,s81|s50|s89|s13|s67,5,0.065501943,0.0160741546,64.3352,0.0,-11.9098,46,39.1304,0.311882
d28d8e50,bear,s85|s81|s50|s28|s71,5,0.0779361968,0.0175231969,65.6846,0.0,-14.881,75,30.6667,0.310096
029f8ff5,bear,s28|s86|s22|s25|s62,5,0.06793067,0.0160922465,65.0217,0.0,-21.6256,67,34.3284,0.298195
af69157b,bull,s73|s92|s91|s33,4,0.0534350842,0.015659354,52.4662,0.0,-11.184,64,39.0625,0.2935
d05d9a45,bear,s81|s101|s66|s23|s25,5,0.0770544209,0.0150867822,66.1583,0.0,-21.5001,73,28.7671,0.286434
e3450113,bull,s41|s95|s87|s55,4,0.0703290471,0.0161368043,56.265,0.0,-14.7884,56,33.9286,0.282481
91eaca17,bull,s59|s95|s69|s73|s55,5,0.0433348926,0.0198241128,41.7761,0.0,-11.6513,53,49.0566,0.27932
08de1b45,bear,s81|s23|s71|s22|s16,5,0.0452318349,0.0133434101,43.6135,0.0,-7.4698,52,42.3077,0.278968
e954541d,bear,s28|s81|s25|s50,4,0.0759761562,0.018396124,63.038,0.0,-13.3742,43,37.2093,0.278345
1b2b5992,bull,s95|s68|s40|s75|s93,5,0.0602878971,0.0196813115,63.9039,0.0,-11.0427,38,47.3684,0.27709
6f8e1e3f,bull,s30|s40|s26,3,0.0785569539,0.0170818008,66.9246,0.0,-25.0712,123,27.6423,0.275412
081de5df,bear,s100|s19|s51|s29|s22,5,0.0448568358,0.0182771424,52.0853,0.0,-20.6877,100,43.0,0.275278
c183994b,bear,s56|s22|s76|s86,4,0.0722399159,0.0193274126,60.1839,0.0,-21.7407,47,38.2979,0.272983
f41e20b2,bear,s81|s13|s16|s28|s85,5,0.0775147575,0.0156743775,62.9936,0.0,-22.4478,75,29.3333,0.272631
979df9de,bear,s19|s81|s25|s67,4,0.0712433235,0.0161321315,53.2091,0.0,-13.6498,54,33.3333,0.271887
500ee2d8,bear,s23|s101|s77|s85,4,0.0435356047,0.0161164702,46.242,0.0,-14.519,76,43.4211,0.271674
a89bd879,bear,s81|s16|s28|s50,4,0.0571494965,0.0165134342,52.6494,0.0,-20.4418,59,38.9831,0.266221
a9793ecc,bear,s76|s50|s22|s81|s23,5,0.0619581039,0.0183860806,52.7537,0.0,-9.0734,43,41.8605,0.266063
8ddf9768,bear,s13|s100|s22|s86,4,0.0489644118,0.0195681585,43.5031,0.0,-18.2508,52,46.1538,0.257721
b38c0b3a,bull,s38|s74|s41|s83,4,0.0766585208,0.0121134654,62.1859,0.0,-20.623,128,23.4375,0.257187
d554370b,bear,s85|s77|s25|s81,4,0.0737606494,0.0193653466,50.2333,0.0,-15.4505,56,33.9286,0.256368
d350f6f3,bear,s89|s81|s100|s16|s51,5,0.0548329026,0.0154514854,46.7156,0.0,-14.5107,64,37.5,0.25583
12a61b7c,bear,s86|s13|s22|s76,4,0.0772629676,0.0190347598,64.449,0.0,-22.7899,42,38.0952,0.255118
434b88bb,bull,s40|s59|s73|s11,4,0.0370860629,0.0175266568,34.7742,0.0,-11.229,63,49.2063,0.253029
6d642f4b,bear,s13|s76|s51|s72,4,0.0330876422,0.0155649424,33.3473,0.0,-9.4634,71,49.2958,0.252886
7989a7ce,bear,s20|s29|s17|s67,4,0.0446244546,0.0152657195,45.1161,0.0,-16.0613,93,39.7849,0.251635
01757ad4,bull,s55|s40|s47|s30|s93,5,0.0764736399,0.0154322534,50.2051,0.0,-14.3589,52,30.7692,0.250051
108cb2bc,bear,s97|s29|s22|s100|s31,5,0.0692574524,0.0179357218,45.504,0.0,-13.408,51,35.2941,0.247674
98a6c5fa,bull,s74|s83|s38|s14,4,0.0793656653,0.0177836717,58.7964,0.0,-24.0913,107,28.0374,0.247024
345bdb1d,bull,s11|s91|s73|s63,4,0.044367167,0.0174914523,35.522,0.0,-10.2357,59,44.0678,0.243584
06f7a98d,bear,s23|s51|s18|s85|s22,5,0.0412036928,0.0179409411,38.8695,0.0,-12.9947,45,51.1111,0.242844
286987be,bear,s72|s85|s81|s23|s89,5,0.0753122521,0.0107064946,48.7727,0.0,-11.9213,51,27.451,0.24168
c64f2e0a,bull,s15|s88|s79|s83,4,0.0725828828,0.0182912625,49.334,0.0,-18.1341,61,32.7869,0.241294
