id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score
f4fa9bb7,bear,s19|s23|s31|s16|s22|s18,6,0.0323671068,0.0108083418,12.0984,0.0,-6.4573,44,40.9091,0.133539
f9d46a68,bear,s19|s22|s23|s25|s31|s18,6,0.0315806349,0.0103632619,7.4608,0.0,-7.2967,47,38.2979,0.115476
6a17b967,bear,s31|s19|s23|s22|s37,5,0.0344465309,0.0105409253,11.6524,0.0,-7.8623,41,39.0244,0.114879
f0ee7085,bear,s23|s28|s19,3,0.0336724855,0.0163520726,8.3491,0.0,-8.6237,37,45.9459,0.107569
d6bdfb43,bear,s20|s28|s26,3,0.0329197978,0.0160927819,9.9284,0.0,-9.4653,33,48.4848,0.10347
2d726549,bear,s37|s13|s28|s22|s31|s23|s20,7,0.0283877966,0.0142391892,5.0893,0.0,-6.769,36,47.2222,0.102036
a6e5ecfd,bear,s13|s19|s22|s31,4,0.0317863388,0.0104482156,3.6019,0.0,-8.6622,50,36.0,0.096421
ee20a9eb,bear,s23|s37|s22|s17|s31|s20,6,0.0323458907,0.0135617739,4.5235,0.0,-10.7967,44,40.9091,0.095419
5db8be03,bear,s20|s29|s37|s23|s28|s13,6,0.0291629634,0.013967467,3.6722,0.0,-11.6343,38,44.7368,0.086637
45c750b3,bear,s31|s20|s23,3,0.0315902293,0.0135234001,2.0566,0.0,-11.4825,44,40.9091,0.084925
e6465162,bear,s28|s25|s20|s37|s23|s13,6,0.0395188512,0.0090231504,8.4087,0.0,-8.6302,43,30.2326,0.08466
6cc9fbb7,bear,s31|s16|s22,3,0.0292817538,0.0099599488,2.208,0.0,-11.2093,48,37.5,0.084196
88000ab5,bear,s31|s29|s16|s28|s37|s13,6,0.0330044043,0.0141227098,1.3028,0.0,-8.7875,43,39.5349,0.08381
0fdde9b6,bear,s18|s29|s13|s23|s28|s20,6,0.0330137702,0.0191435285,3.1152,0.0,-11.9573,34,47.0588,0.08008
9e3e5939,bear,s13|s17|s31,3,0.0326064325,0.0133867077,0.1663,0.0,-10.1834,47,38.2979,0.079908
631fe42d,bear,s22|s29|s28,3,0.0409076246,0.0106794699,6.2755,0.0,-10.493,44,31.8182,0.078388
b7779e19,bear,s31|s25|s23|s22,4,0.0340057476,0.0190414936,1.7024,0.0,-10.7589,35,45.7143,0.078173
1ea22cad,bear,s28|s20|s13|s31|s19|s23|s17,7,0.03450471,0.0136056014,3.1799,0.0,-11.3457,42,38.0952,0.078093
f87249bc,bear,s29|s17|s23|s31|s19|s28,6,0.0314417021,0.0151933024,0.9547,0.0,-11.6266,40,42.5,0.077151
99ac1ee6,bear,s18|s23|s13|s31|s16|s22,6,0.0346212145,0.0127993275,5.659,0.0,-8.1635,33,39.3939,0.076776
